
Durata casatoriei, Ani, UM: Numar, Valoare
15-19 ani, Anul 1994, Numar, 4360
15-19 ani, Anul 1995, Numar, 3708
15-19 ani, Anul 1996, Numar, 3823
15-19 ani, Anul 1997, Numar, 3781
15-19 ani, Anul 1998, Numar, 4276
15-19 ani, Anul 1999, Numar, 3564
15-19 ani, Anul 2000, Numar, 3081
15-19 ani, Anul 2001, Numar, 3209
15-19 ani, Anul 2002, Numar, 3512
15-19 ani, Anul 2003, Numar, 3836
15-19 ani, Anul 2004, Numar, 4272
15-19 ani, Anul 2005, Numar, 4187
15-19 ani, Anul 2006, Numar, 4373
15-19 ani, Anul 2007, Numar, 5155
15-19 ani, Anul 2008, Numar, 5040
15-19 ani, Anul 2009, Numar, 4478
15-19 ani, Anul 2010, Numar, 4360
15-19 ani, Anul 2011, Numar, 4395
15-19 ani, Anul 2012, Numar, 3753
15-19 ani, Anul 2013, Numar, 3556
15-19 ani, Anul 2014, Numar, 3257
15-19 ani, Anul 2015, Numar, 4003
15-19 ani, Anul 2016, Numar, 3883
20 ani si peste, Anul 1990, Numar, 4254
20 ani si peste, Anul 1991, Numar, 4843
20 ani si peste, Anul 1992, Numar, 3737
20 ani si peste, Anul 1993, Numar, 4085
20 ani si peste, Anul 1994, Numar, 4638
20 ani si peste, Anul 1995, Numar, 4211
20 ani si peste, Anul 1996, Numar, 4650
20 ani si peste, Anul 1997, Numar, 4779
20 ani si peste, Anul 1998, Numar, 5534
20 ani si peste, Anul 1999, Numar, 4922
20 ani si peste, Anul 2000, Numar, 4644
20 ani si peste, Anul 2001, Numar, 5025
20 ani si peste, Anul 2002, Numar, 5331
20 ani si peste, Anul 2003, Numar, 5708
20 ani si peste, Anul 2004, Numar, 6114
20 ani si peste, Anul 2005, Numar, 5976
20 ani si peste, Anul 2006, Numar, 5899
20 ani si peste, Anul 2007, Numar, 6804
20 ani si peste, Anul 2008, Numar, 7193
20 ani si peste, Anul 2009, Numar, 6523
20 ani si peste, Anul 2010, Numar, 6684
20 ani si peste, Anul 2011, Numar, 7419
20 ani si peste, Anul 2012, Numar, 6534
20 ani si peste, Anul 2013, Numar, 6129
20 ani si peste, Anul 2014, Numar, 5987
20 ani si peste, Anul 2015, Numar, 7039
20 ani si peste, Anul 2016, Numar, 7188
