
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Bihor, 27560 BOROD, Anul 2008, Numar persoane, 145
0- 4 ani, Masculin, Bihor, 27560 BOROD, Anul 2009, Numar persoane, 140
0- 4 ani, Masculin, Bihor, 27560 BOROD, Anul 2010, Numar persoane, 133
0- 4 ani, Masculin, Bihor, 27560 BOROD, Anul 2011, Numar persoane, 130
0- 4 ani, Masculin, Bihor, 27560 BOROD, Anul 2012, Numar persoane, 137
0- 4 ani, Masculin, Bihor, 27631 BORS, Anul 2007, Numar persoane, 78
0- 4 ani, Masculin, Bihor, 27631 BORS, Anul 2008, Numar persoane, 76
0- 4 ani, Masculin, Bihor, 27631 BORS, Anul 2009, Numar persoane, 82
0- 4 ani, Masculin, Bihor, 27631 BORS, Anul 2010, Numar persoane, 92
0- 4 ani, Masculin, Bihor, 27631 BORS, Anul 2011, Numar persoane, 93
0- 4 ani, Masculin, Bihor, 27631 BORS, Anul 2012, Numar persoane, 84
0- 4 ani, Masculin, Bihor, 27686 BRATCA, Anul 2007, Numar persoane, 118
0- 4 ani, Masculin, Bihor, 27686 BRATCA, Anul 2008, Numar persoane, 116
0- 4 ani, Masculin, Bihor, 27686 BRATCA, Anul 2009, Numar persoane, 104
0- 4 ani, Masculin, Bihor, 27686 BRATCA, Anul 2010, Numar persoane, 110
0- 4 ani, Masculin, Bihor, 27686 BRATCA, Anul 2011, Numar persoane, 112
0- 4 ani, Masculin, Bihor, 27686 BRATCA, Anul 2012, Numar persoane, 109
0- 4 ani, Masculin, Bihor, 27757 BRUSTURI, Anul 2007, Numar persoane, 94
0- 4 ani, Masculin, Bihor, 27757 BRUSTURI, Anul 2008, Numar persoane, 91
0- 4 ani, Masculin, Bihor, 27757 BRUSTURI, Anul 2009, Numar persoane, 84
0- 4 ani, Masculin, Bihor, 27757 BRUSTURI, Anul 2010, Numar persoane, 81
0- 4 ani, Masculin, Bihor, 27757 BRUSTURI, Anul 2011, Numar persoane, 81
0- 4 ani, Masculin, Bihor, 27757 BRUSTURI, Anul 2012, Numar persoane, 75
0- 4 ani, Masculin, Bihor, 27846 BUDUREASA, Anul 2007, Numar persoane, 81
0- 4 ani, Masculin, Bihor, 27846 BUDUREASA, Anul 2008, Numar persoane, 71
0- 4 ani, Masculin, Bihor, 27846 BUDUREASA, Anul 2009, Numar persoane, 71
0- 4 ani, Masculin, Bihor, 27846 BUDUREASA, Anul 2010, Numar persoane, 80
0- 4 ani, Masculin, Bihor, 27846 BUDUREASA, Anul 2011, Numar persoane, 84
0- 4 ani, Masculin, Bihor, 27846 BUDUREASA, Anul 2012, Numar persoane, 90
0- 4 ani, Masculin, Bihor, 27908 BUDUSLAU, Anul 2007, Numar persoane, 63
0- 4 ani, Masculin, Bihor, 27908 BUDUSLAU, Anul 2008, Numar persoane, 72
0- 4 ani, Masculin, Bihor, 27908 BUDUSLAU, Anul 2009, Numar persoane, 73
0- 4 ani, Masculin, Bihor, 27908 BUDUSLAU, Anul 2010, Numar persoane, 85
0- 4 ani, Masculin, Bihor, 27908 BUDUSLAU, Anul 2011, Numar persoane, 81
0- 4 ani, Masculin, Bihor, 27908 BUDUSLAU, Anul 2012, Numar persoane, 81
0- 4 ani, Masculin, Bihor, 27935 BULZ, Anul 2007, Numar persoane, 47
0- 4 ani, Masculin, Bihor, 27935 BULZ, Anul 2008, Numar persoane, 44
0- 4 ani, Masculin, Bihor, 27935 BULZ, Anul 2009, Numar persoane, 36
0- 4 ani, Masculin, Bihor, 27935 BULZ, Anul 2010, Numar persoane, 36
0- 4 ani, Masculin, Bihor, 27935 BULZ, Anul 2011, Numar persoane, 30
0- 4 ani, Masculin, Bihor, 27935 BULZ, Anul 2012, Numar persoane, 37
0- 4 ani, Masculin, Bihor, 27971 BUNTESTI, Anul 2007, Numar persoane, 127
0- 4 ani, Masculin, Bihor, 27971 BUNTESTI, Anul 2008, Numar persoane, 123
0- 4 ani, Masculin, Bihor, 27971 BUNTESTI, Anul 2009, Numar persoane, 114
0- 4 ani, Masculin, Bihor, 27971 BUNTESTI, Anul 2010, Numar persoane, 90
0- 4 ani, Masculin, Bihor, 27971 BUNTESTI, Anul 2011, Numar persoane, 81
0- 4 ani, Masculin, Bihor, 27971 BUNTESTI, Anul 2012, Numar persoane, 85
0- 4 ani, Masculin, Bihor, 28077 CABESTI, Anul 2007, Numar persoane, 63
0- 4 ani, Masculin, Bihor, 28077 CABESTI, Anul 2008, Numar persoane, 52
0- 4 ani, Masculin, Bihor, 28077 CABESTI, Anul 2009, Numar persoane, 44
0- 4 ani, Masculin, Bihor, 28077 CABESTI, Anul 2010, Numar persoane, 41
0- 4 ani, Masculin, Bihor, 28077 CABESTI, Anul 2011, Numar persoane, 39
0- 4 ani, Masculin, Bihor, 28077 CABESTI, Anul 2012, Numar persoane, 30
0- 4 ani, Masculin, Bihor, 28139 CAPILNA, Anul 2007, Numar persoane, 24
0- 4 ani, Masculin, Bihor, 28139 CAPILNA, Anul 2008, Numar persoane, 29
0- 4 ani, Masculin, Bihor, 28139 CAPILNA, Anul 2009, Numar persoane, 26
0- 4 ani, Masculin, Bihor, 28139 CAPILNA, Anul 2010, Numar persoane, 27
0- 4 ani, Masculin, Bihor, 28139 CAPILNA, Anul 2011, Numar persoane, 28
0- 4 ani, Masculin, Bihor, 28139 CAPILNA, Anul 2012, Numar persoane, 32
0- 4 ani, Masculin, Bihor, 28193 CARPINET, Anul 2007, Numar persoane, 43
0- 4 ani, Masculin, Bihor, 28193 CARPINET, Anul 2008, Numar persoane, 38
0- 4 ani, Masculin, Bihor, 28193 CARPINET, Anul 2009, Numar persoane, 38
0- 4 ani, Masculin, Bihor, 28193 CARPINET, Anul 2010, Numar persoane, 31
0- 4 ani, Masculin, Bihor, 28193 CARPINET, Anul 2011, Numar persoane, 25
0- 4 ani, Masculin, Bihor, 28193 CARPINET, Anul 2012, Numar persoane, 25
0- 4 ani, Masculin, Bihor, 28246 CEFA, Anul 2007, Numar persoane, 78
0- 4 ani, Masculin, Bihor, 28246 CEFA, Anul 2008, Numar persoane, 66
0- 4 ani, Masculin, Bihor, 28246 CEFA, Anul 2009, Numar persoane, 68
0- 4 ani, Masculin, Bihor, 28246 CEFA, Anul 2010, Numar persoane, 71
0- 4 ani, Masculin, Bihor, 28246 CEFA, Anul 2011, Numar persoane, 72
0- 4 ani, Masculin, Bihor, 28246 CEFA, Anul 2012, Numar persoane, 72
0- 4 ani, Masculin, Bihor, 28335 CEICA, Anul 2007, Numar persoane, 100
0- 4 ani, Masculin, Bihor, 28335 CEICA, Anul 2008, Numar persoane, 103
0- 4 ani, Masculin, Bihor, 28335 CEICA, Anul 2009, Numar persoane, 94
0- 4 ani, Masculin, Bihor, 28335 CEICA, Anul 2010, Numar persoane, 86
0- 4 ani, Masculin, Bihor, 28335 CEICA, Anul 2011, Numar persoane, 101
0- 4 ani, Masculin, Bihor, 28335 CEICA, Anul 2012, Numar persoane, 87
