
Grupe de varsta a sotului , Grupa de varsta a sotiei, Ani, UM: Numar, Valoare
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1998, Numar, 328
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1999, Numar, 300
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2000, Numar, 269
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2001, Numar, 249
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2002, Numar, 251
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2003, Numar, 242
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2004, Numar, 247
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2005, Numar, 217
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2006, Numar, 199
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2007, Numar, 173
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2008, Numar, 134
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2009, Numar, 126
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2010, Numar, 132
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2011, Numar, 148
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2012, Numar, 124
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2013, Numar, 99
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2014, Numar, 68
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2015, Numar, 86
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 2016, Numar, 68
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1990, Numar, 43
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1991, Numar, 40
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1992, Numar, 52
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1993, Numar, 37
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1994, Numar, 29
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1995, Numar, 25
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1996, Numar, 30
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1997, Numar, 13
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1998, Numar, 35
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 1999, Numar, 43
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2000, Numar, 55
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2001, Numar, 47
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2002, Numar, 37
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2003, Numar, 34
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2004, Numar, 45
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2005, Numar, 40
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2006, Numar, 43
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2007, Numar, 40
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2008, Numar, 53
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2009, Numar, 40
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2010, Numar, 33
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2011, Numar, 23
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2012, Numar, 28
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2013, Numar, 20
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2014, Numar, 10
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2015, Numar, 5
Varsta sotului 20-24 ani, Varsta sotiei 30-34 ani, Anul 2016, Numar, 4
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1990, Numar, 14
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1991, Numar, 11
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1992, Numar, 3
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1993, Numar, 4
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1994, Numar, 6
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1995, Numar, 7
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1996, Numar, 5
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1997, Numar, 6
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1998, Numar, 11
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 1999, Numar, 4
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2000, Numar, 7
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2001, Numar, 3
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2002, Numar, 8
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2003, Numar, 20
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2004, Numar, 19
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2005, Numar, 17
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2006, Numar, 21
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2007, Numar, 23
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2008, Numar, 13
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2009, Numar, 15
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2010, Numar, 12
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2011, Numar, 3
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2012, Numar, 5
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2013, Numar, 6
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2014, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2015, Numar, 4
Varsta sotului 20-24 ani, Varsta sotiei 35-39 ani, Anul 2016, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 1990, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 1991, Numar, 8
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 1992, Numar, 8
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 1993, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 1994, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 1996, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 1997, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 1998, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 1999, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2000, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2001, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2002, Numar, 4
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2003, Numar, 3
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2004, Numar, 4
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2005, Numar, 3
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2006, Numar, 4
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2008, Numar, 6
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2009, Numar, 3
