
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Brasov, 40438 MUNICIPIUL SACELE, Anul 1998, Numar persoane, 294
Brasov, 40438 MUNICIPIUL SACELE, Anul 1999, Numar persoane, 293
Brasov, 40438 MUNICIPIUL SACELE, Anul 2000, Numar persoane, 267
Brasov, 40438 MUNICIPIUL SACELE, Anul 2001, Numar persoane, 308
Brasov, 40438 MUNICIPIUL SACELE, Anul 2002, Numar persoane, 329
Brasov, 40438 MUNICIPIUL SACELE, Anul 2003, Numar persoane, 288
Brasov, 40438 MUNICIPIUL SACELE, Anul 2004, Numar persoane, 296
Brasov, 40438 MUNICIPIUL SACELE, Anul 2005, Numar persoane, 305
Brasov, 40438 MUNICIPIUL SACELE, Anul 2006, Numar persoane, 280
Brasov, 40438 MUNICIPIUL SACELE, Anul 2007, Numar persoane, 311
Brasov, 40438 MUNICIPIUL SACELE, Anul 2008, Numar persoane, 322
Brasov, 40438 MUNICIPIUL SACELE, Anul 2009, Numar persoane, 274
Brasov, 40438 MUNICIPIUL SACELE, Anul 2010, Numar persoane, 301
Brasov, 40438 MUNICIPIUL SACELE, Anul 2011, Numar persoane, 262
Brasov, 40438 MUNICIPIUL SACELE, Anul 2012, Numar persoane, 312
Brasov, 40438 MUNICIPIUL SACELE, Anul 2013, Numar persoane, 327
Brasov, 40438 MUNICIPIUL SACELE, Anul 2014, Numar persoane, 317
Brasov, 40438 MUNICIPIUL SACELE, Anul 2015, Numar persoane, 308
Brasov, 40438 MUNICIPIUL SACELE, Anul 2016, Numar persoane, 338
Brasov, 40214 ORAS GHIMBAV, Anul 1990, Numar persoane, 39
Brasov, 40214 ORAS GHIMBAV, Anul 1991, Numar persoane, 28
Brasov, 40214 ORAS GHIMBAV, Anul 1992, Numar persoane, 27
Brasov, 40214 ORAS GHIMBAV, Anul 1993, Numar persoane, 33
Brasov, 40214 ORAS GHIMBAV, Anul 1994, Numar persoane, 40
Brasov, 40214 ORAS GHIMBAV, Anul 1995, Numar persoane, 34
Brasov, 40214 ORAS GHIMBAV, Anul 1996, Numar persoane, 36
Brasov, 40214 ORAS GHIMBAV, Anul 1997, Numar persoane, 37
Brasov, 40214 ORAS GHIMBAV, Anul 1998, Numar persoane, 35
Brasov, 40214 ORAS GHIMBAV, Anul 1999, Numar persoane, 35
Brasov, 40214 ORAS GHIMBAV, Anul 2000, Numar persoane, 38
Brasov, 40214 ORAS GHIMBAV, Anul 2001, Numar persoane, 35
