
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2012, Numar persoane, 393
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2013, Numar persoane, 406
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2014, Numar persoane, 454
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2015, Numar persoane, 358
Mures, 117827 ORAS IERNUT, Anul 1990, Numar persoane, 487
Mures, 117827 ORAS IERNUT, Anul 1991, Numar persoane, 173
Mures, 117827 ORAS IERNUT, Anul 1992, Numar persoane, 200
Mures, 117827 ORAS IERNUT, Anul 1993, Numar persoane, 114
Mures, 117827 ORAS IERNUT, Anul 1994, Numar persoane, 158
Mures, 117827 ORAS IERNUT, Anul 1995, Numar persoane, 159
Mures, 117827 ORAS IERNUT, Anul 1996, Numar persoane, 156
Mures, 117827 ORAS IERNUT, Anul 1997, Numar persoane, 147
Mures, 117827 ORAS IERNUT, Anul 1998, Numar persoane, 125
Mures, 117827 ORAS IERNUT, Anul 1999, Numar persoane, 127
Mures, 117827 ORAS IERNUT, Anul 2000, Numar persoane, 98
Mures, 117827 ORAS IERNUT, Anul 2001, Numar persoane, 132
Mures, 117827 ORAS IERNUT, Anul 2002, Numar persoane, 140
Mures, 117827 ORAS IERNUT, Anul 2003, Numar persoane, 133
Mures, 117827 ORAS IERNUT, Anul 2004, Numar persoane, 149
Mures, 117827 ORAS IERNUT, Anul 2005, Numar persoane, 113
Mures, 117827 ORAS IERNUT, Anul 2006, Numar persoane, 149
Mures, 117827 ORAS IERNUT, Anul 2007, Numar persoane, 151
Mures, 117827 ORAS IERNUT, Anul 2008, Numar persoane, 130
Mures, 117827 ORAS IERNUT, Anul 2009, Numar persoane, 115
Mures, 117827 ORAS IERNUT, Anul 2010, Numar persoane, 175
Mures, 117827 ORAS IERNUT, Anul 2011, Numar persoane, 138
Mures, 117827 ORAS IERNUT, Anul 2012, Numar persoane, 113
Mures, 117827 ORAS IERNUT, Anul 2013, Numar persoane, 116
Mures, 117827 ORAS IERNUT, Anul 2014, Numar persoane, 133
Mures, 117827 ORAS IERNUT, Anul 2015, Numar persoane, 132
Mures, 114710 ORAS LUDUS, Anul 1990, Numar persoane, 460
Mures, 114710 ORAS LUDUS, Anul 1991, Numar persoane, 176
Mures, 114710 ORAS LUDUS, Anul 1992, Numar persoane, 231
Mures, 114710 ORAS LUDUS, Anul 1993, Numar persoane, 171
Mures, 114710 ORAS LUDUS, Anul 1994, Numar persoane, 174
Mures, 114710 ORAS LUDUS, Anul 1995, Numar persoane, 270
Mures, 114710 ORAS LUDUS, Anul 1996, Numar persoane, 317
Mures, 114710 ORAS LUDUS, Anul 1997, Numar persoane, 304
Mures, 114710 ORAS LUDUS, Anul 1998, Numar persoane, 282
Mures, 114710 ORAS LUDUS, Anul 1999, Numar persoane, 271
Mures, 114710 ORAS LUDUS, Anul 2000, Numar persoane, 276
Mures, 114710 ORAS LUDUS, Anul 2001, Numar persoane, 251
Mures, 114710 ORAS LUDUS, Anul 2002, Numar persoane, 275
Mures, 114710 ORAS LUDUS, Anul 2003, Numar persoane, 306
Mures, 114710 ORAS LUDUS, Anul 2004, Numar persoane, 303
Mures, 114710 ORAS LUDUS, Anul 2005, Numar persoane, 199
Mures, 114710 ORAS LUDUS, Anul 2006, Numar persoane, 247
Mures, 114710 ORAS LUDUS, Anul 2007, Numar persoane, 256
Mures, 114710 ORAS LUDUS, Anul 2008, Numar persoane, 247
Mures, 114710 ORAS LUDUS, Anul 2009, Numar persoane, 192
Mures, 114710 ORAS LUDUS, Anul 2010, Numar persoane, 261
Mures, 114710 ORAS LUDUS, Anul 2011, Numar persoane, 202
Mures, 114710 ORAS LUDUS, Anul 2012, Numar persoane, 233
Mures, 114710 ORAS LUDUS, Anul 2013, Numar persoane, 212
Mures, 114710 ORAS LUDUS, Anul 2014, Numar persoane, 208
Mures, 114710 ORAS LUDUS, Anul 2015, Numar persoane, 240
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1990, Numar persoane, 275
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1991, Numar persoane, 75
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1992, Numar persoane, 106
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1993, Numar persoane, 84
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1994, Numar persoane, 67
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1995, Numar persoane, 140
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1996, Numar persoane, 112
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1997, Numar persoane, 91
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1998, Numar persoane, 54
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 1999, Numar persoane, 56
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2000, Numar persoane, 37
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2001, Numar persoane, 77
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2002, Numar persoane, 84
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2003, Numar persoane, 124
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2004, Numar persoane, 108
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2005, Numar persoane, 79
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2006, Numar persoane, 111
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2007, Numar persoane, 123
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2008, Numar persoane, 107
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2009, Numar persoane, 85
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2010, Numar persoane, 159
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2011, Numar persoane, 85
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2012, Numar persoane, 96
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2013, Numar persoane, 96
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2014, Numar persoane, 118
Mures, 118281 ORAS MIERCUREA NIRAJULUI, Anul 2015, Numar persoane, 90
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1990, Numar persoane, 171
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1991, Numar persoane, 82
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1992, Numar persoane, 87
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1993, Numar persoane, 47
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1994, Numar persoane, 78
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1995, Numar persoane, 128
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1996, Numar persoane, 62
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1997, Numar persoane, 51
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1998, Numar persoane, 62
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 1999, Numar persoane, 72
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2000, Numar persoane, 75
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2001, Numar persoane, 56
