
Judete, Localitati , Ani, UM: Numar, Valoare
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2001, Numar, 62
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2002, Numar, 83
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2003, Numar, 79
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2004, Numar, 60
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2005, Numar, 59
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2006, Numar, 57
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2007, Numar, 45
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2008, Numar, 44
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2009, Numar, 45
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2010, Numar, 50
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2011, Numar, 34
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2012, Numar, 37
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2013, Numar, 32
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2014, Numar, 28
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2015, Numar, 39
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2016, Numar, 31
Satu Mare, 136642 ORAS TASNAD, Anul 1990, Numar, 7
Satu Mare, 136642 ORAS TASNAD, Anul 1991, Numar, 15
Satu Mare, 136642 ORAS TASNAD, Anul 1992, Numar, 6
Satu Mare, 136642 ORAS TASNAD, Anul 1993, Numar, 16
Satu Mare, 136642 ORAS TASNAD, Anul 1994, Numar, 9
Satu Mare, 136642 ORAS TASNAD, Anul 1995, Numar, 22
Satu Mare, 136642 ORAS TASNAD, Anul 1996, Numar, 16
Satu Mare, 136642 ORAS TASNAD, Anul 1997, Numar, 21
Satu Mare, 136642 ORAS TASNAD, Anul 1998, Numar, 10
Satu Mare, 136642 ORAS TASNAD, Anul 1999, Numar, 16
Satu Mare, 136642 ORAS TASNAD, Anul 2000, Numar, 15
Satu Mare, 136642 ORAS TASNAD, Anul 2001, Numar, 7
Satu Mare, 136642 ORAS TASNAD, Anul 2002, Numar, 18
Satu Mare, 136642 ORAS TASNAD, Anul 2003, Numar, 10
Satu Mare, 136642 ORAS TASNAD, Anul 2004, Numar, 10
Satu Mare, 136642 ORAS TASNAD, Anul 2005, Numar, 14
Satu Mare, 136642 ORAS TASNAD, Anul 2006, Numar, 20
Satu Mare, 136642 ORAS TASNAD, Anul 2007, Numar, 15
