
Tari de provenienta, Ani, UM: Numar persoane, Valoare
Ungaria, Anul 2007, Numar persoane, 249
Ungaria, Anul 2008, Numar persoane, 368
Ungaria, Anul 2009, Numar persoane, 335
Ungaria, Anul 2010, Numar persoane, 294
Ungaria, Anul 2011, Numar persoane, 248
Ungaria, Anul 2012, Numar persoane, 166
Ungaria, Anul 2013, Numar persoane, 158
Ungaria, Anul 2014, Numar persoane, 163
Ungaria, Anul 2015, Numar persoane, 227
Ungaria, Anul 2016, Numar persoane, 228
Alte tari, Anul 1994, Numar persoane, 184
Alte tari, Anul 1995, Numar persoane, 706
Alte tari, Anul 1996, Numar persoane, 256
Alte tari, Anul 1997, Numar persoane, 536
Alte tari, Anul 1998, Numar persoane, 473
Alte tari, Anul 1999, Numar persoane, 389
Alte tari, Anul 2000, Numar persoane, 287
Alte tari, Anul 2001, Numar persoane, 319
Alte tari, Anul 2002, Numar persoane, 298
Alte tari, Anul 2003, Numar persoane, 232
Alte tari, Anul 2004, Numar persoane, 377
Alte tari, Anul 2005, Numar persoane, 441
Alte tari, Anul 2006, Numar persoane, 1824
Alte tari, Anul 2007, Numar persoane, 2679
Alte tari, Anul 2008, Numar persoane, 2909
Alte tari, Anul 2009, Numar persoane, 2321
Alte tari, Anul 2010, Numar persoane, 2009
Alte tari, Anul 2011, Numar persoane, 3253
Alte tari, Anul 2012, Numar persoane, 2715
Alte tari, Anul 2013, Numar persoane, 1044
Alte tari, Anul 2014, Numar persoane, 13212
Alte tari, Anul 2015, Numar persoane, 4276
Alte tari, Anul 2016, Numar persoane, 5456
