
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Bihor, 26840 ORAS STEI, Anul 1997, Numar persoane, 183
Bihor, 26840 ORAS STEI, Anul 1998, Numar persoane, 206
Bihor, 26840 ORAS STEI, Anul 1999, Numar persoane, 216
Bihor, 26840 ORAS STEI, Anul 2000, Numar persoane, 194
Bihor, 26840 ORAS STEI, Anul 2001, Numar persoane, 153
Bihor, 26840 ORAS STEI, Anul 2002, Numar persoane, 180
Bihor, 26840 ORAS STEI, Anul 2003, Numar persoane, 152
Bihor, 26840 ORAS STEI, Anul 2004, Numar persoane, 247
Bihor, 26840 ORAS STEI, Anul 2005, Numar persoane, 112
Bihor, 26840 ORAS STEI, Anul 2006, Numar persoane, 246
Bihor, 26840 ORAS STEI, Anul 2007, Numar persoane, 243
Bihor, 26840 ORAS STEI, Anul 2008, Numar persoane, 266
Bihor, 26840 ORAS STEI, Anul 2009, Numar persoane, 207
Bihor, 26840 ORAS STEI, Anul 2010, Numar persoane, 254
Bihor, 26840 ORAS STEI, Anul 2011, Numar persoane, 179
Bihor, 26840 ORAS STEI, Anul 2012, Numar persoane, 254
Bihor, 26840 ORAS STEI, Anul 2013, Numar persoane, 172
Bihor, 26840 ORAS STEI, Anul 2014, Numar persoane, 233
Bihor, 26840 ORAS STEI, Anul 2015, Numar persoane, 178
Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 1990, Numar persoane, 216
Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 1991, Numar persoane, 89
Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 1992, Numar persoane, 94
Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 1993, Numar persoane, 71
Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 1994, Numar persoane, 63
Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 1995, Numar persoane, 94
Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 1996, Numar persoane, 105
Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 1997, Numar persoane, 105
