
Judete, Localitati , Ani, UM: Numar, Valoare
Satu Mare, 136642 ORAS TASNAD, Anul 2003, Numar, 53
Satu Mare, 136642 ORAS TASNAD, Anul 2004, Numar, 59
Satu Mare, 136642 ORAS TASNAD, Anul 2005, Numar, 49
Satu Mare, 136642 ORAS TASNAD, Anul 2006, Numar, 55
Satu Mare, 136642 ORAS TASNAD, Anul 2007, Numar, 105
Satu Mare, 136642 ORAS TASNAD, Anul 2008, Numar, 59
Satu Mare, 136642 ORAS TASNAD, Anul 2009, Numar, 59
Satu Mare, 136642 ORAS TASNAD, Anul 2010, Numar, 39
Satu Mare, 136642 ORAS TASNAD, Anul 2011, Numar, 39
Satu Mare, 136642 ORAS TASNAD, Anul 2012, Numar, 45
Satu Mare, 136642 ORAS TASNAD, Anul 2013, Numar, 54
Satu Mare, 136642 ORAS TASNAD, Anul 2014, Numar, 53
Satu Mare, 136642 ORAS TASNAD, Anul 2015, Numar, 52
Satu Mare, 136642 ORAS TASNAD, Anul 2016, Numar, 48
Satu Mare, 136713 ACIS, Anul 1990, Numar, 26
Satu Mare, 136713 ACIS, Anul 1991, Numar, 18
Satu Mare, 136713 ACIS, Anul 1992, Numar, 28
Satu Mare, 136713 ACIS, Anul 1993, Numar, 15
Satu Mare, 136713 ACIS, Anul 1994, Numar, 22
Satu Mare, 136713 ACIS, Anul 1995, Numar, 17
Satu Mare, 136713 ACIS, Anul 1996, Numar, 13
Satu Mare, 136713 ACIS, Anul 1997, Numar, 16
Satu Mare, 136713 ACIS, Anul 1998, Numar, 20
Satu Mare, 136713 ACIS, Anul 1999, Numar, 14
Satu Mare, 136713 ACIS, Anul 2000, Numar, 15
Satu Mare, 136713 ACIS, Anul 2001, Numar, 18
Satu Mare, 136713 ACIS, Anul 2002, Numar, 19
Satu Mare, 136713 ACIS, Anul 2003, Numar, 12
Satu Mare, 136713 ACIS, Anul 2004, Numar, 19
Satu Mare, 136713 ACIS, Anul 2005, Numar, 33
Satu Mare, 136713 ACIS, Anul 2006, Numar, 24
Satu Mare, 136713 ACIS, Anul 2007, Numar, 54
Satu Mare, 136713 ACIS, Anul 2008, Numar, 29
Satu Mare, 136713 ACIS, Anul 2009, Numar, 12
Satu Mare, 136713 ACIS, Anul 2010, Numar, 15
Satu Mare, 136713 ACIS, Anul 2011, Numar, 12
Satu Mare, 136713 ACIS, Anul 2012, Numar, 17
Satu Mare, 136713 ACIS, Anul 2013, Numar, 27
Satu Mare, 136713 ACIS, Anul 2014, Numar, 9
Satu Mare, 136713 ACIS, Anul 2015, Numar, 14
Satu Mare, 136713 ACIS, Anul 2016, Numar, 15
Satu Mare, 179873 AGRIS, Anul 2004, Numar, 4
Satu Mare, 179873 AGRIS, Anul 2005, Numar, 15
Satu Mare, 179873 AGRIS, Anul 2006, Numar, 8
Satu Mare, 179873 AGRIS, Anul 2007, Numar, 14
Satu Mare, 179873 AGRIS, Anul 2008, Numar, 18
Satu Mare, 179873 AGRIS, Anul 2009, Numar, 13
Satu Mare, 179873 AGRIS, Anul 2010, Numar, 15
Satu Mare, 179873 AGRIS, Anul 2011, Numar, 11
Satu Mare, 179873 AGRIS, Anul 2012, Numar, 10
Satu Mare, 179873 AGRIS, Anul 2013, Numar, 9
Satu Mare, 179873 AGRIS, Anul 2014, Numar, 17
Satu Mare, 179873 AGRIS, Anul 2015, Numar, 14
Satu Mare, 179873 AGRIS, Anul 2016, Numar, 14
Satu Mare, 136768 ANDRID, Anul 1990, Numar, 8
Satu Mare, 136768 ANDRID, Anul 1991, Numar, 21
Satu Mare, 136768 ANDRID, Anul 1992, Numar, 19
Satu Mare, 136768 ANDRID, Anul 1993, Numar, 14
Satu Mare, 136768 ANDRID, Anul 1994, Numar, 17
Satu Mare, 136768 ANDRID, Anul 1995, Numar, 15
Satu Mare, 136768 ANDRID, Anul 1996, Numar, 17
Satu Mare, 136768 ANDRID, Anul 1997, Numar, 17
Satu Mare, 136768 ANDRID, Anul 1998, Numar, 15
Satu Mare, 136768 ANDRID, Anul 1999, Numar, 15
Satu Mare, 136768 ANDRID, Anul 2000, Numar, 12
Satu Mare, 136768 ANDRID, Anul 2001, Numar, 15
Satu Mare, 136768 ANDRID, Anul 2002, Numar, 16
Satu Mare, 136768 ANDRID, Anul 2003, Numar, 15
Satu Mare, 136768 ANDRID, Anul 2004, Numar, 7
Satu Mare, 136768 ANDRID, Anul 2005, Numar, 12
Satu Mare, 136768 ANDRID, Anul 2006, Numar, 9
Satu Mare, 136768 ANDRID, Anul 2007, Numar, 50
Satu Mare, 136768 ANDRID, Anul 2008, Numar, 10
Satu Mare, 136768 ANDRID, Anul 2009, Numar, 16
Satu Mare, 136768 ANDRID, Anul 2010, Numar, 14
Satu Mare, 136768 ANDRID, Anul 2011, Numar, 7
Satu Mare, 136768 ANDRID, Anul 2012, Numar, 3
Satu Mare, 136768 ANDRID, Anul 2013, Numar, 5
Satu Mare, 136768 ANDRID, Anul 2015, Numar, 8
Satu Mare, 136768 ANDRID, Anul 2016, Numar, 4
Satu Mare, 136802 APA, Anul 1990, Numar, 19
Satu Mare, 136802 APA, Anul 1991, Numar, 17
Satu Mare, 136802 APA, Anul 1992, Numar, 28
Satu Mare, 136802 APA, Anul 1993, Numar, 22
Satu Mare, 136802 APA, Anul 1994, Numar, 19
Satu Mare, 136802 APA, Anul 1995, Numar, 16
Satu Mare, 136802 APA, Anul 1996, Numar, 7
Satu Mare, 136802 APA, Anul 1997, Numar, 16
Satu Mare, 136802 APA, Anul 1998, Numar, 23
Satu Mare, 136802 APA, Anul 1999, Numar, 16
Satu Mare, 136802 APA, Anul 2000, Numar, 17
Satu Mare, 136802 APA, Anul 2001, Numar, 12
Satu Mare, 136802 APA, Anul 2002, Numar, 18
Satu Mare, 136802 APA, Anul 2003, Numar, 16
Satu Mare, 136802 APA, Anul 2004, Numar, 13
Satu Mare, 136802 APA, Anul 2005, Numar, 14
Satu Mare, 136802 APA, Anul 2006, Numar, 12
Satu Mare, 136802 APA, Anul 2007, Numar, 30
Satu Mare, 136802 APA, Anul 2008, Numar, 31
Satu Mare, 136802 APA, Anul 2009, Numar, 11
Satu Mare, 136802 APA, Anul 2010, Numar, 22
Satu Mare, 136802 APA, Anul 2011, Numar, 14
Satu Mare, 136802 APA, Anul 2012, Numar, 23
Satu Mare, 136802 APA, Anul 2013, Numar, 9
Satu Mare, 136802 APA, Anul 2014, Numar, 10
Satu Mare, 136802 APA, Anul 2015, Numar, 9
Satu Mare, 136802 APA, Anul 2016, Numar, 14
Satu Mare, 136919 BATARCI, Anul 1990, Numar, 32
Satu Mare, 136919 BATARCI, Anul 1991, Numar, 36
Satu Mare, 136919 BATARCI, Anul 1992, Numar, 52
Satu Mare, 136919 BATARCI, Anul 1993, Numar, 34
Satu Mare, 136919 BATARCI, Anul 1994, Numar, 35
Satu Mare, 136919 BATARCI, Anul 1995, Numar, 33
Satu Mare, 136919 BATARCI, Anul 1996, Numar, 39
Satu Mare, 136919 BATARCI, Anul 1997, Numar, 43
Satu Mare, 136919 BATARCI, Anul 1998, Numar, 29
Satu Mare, 136919 BATARCI, Anul 1999, Numar, 17
Satu Mare, 136919 BATARCI, Anul 2000, Numar, 30
Satu Mare, 136919 BATARCI, Anul 2001, Numar, 39
Satu Mare, 136919 BATARCI, Anul 2002, Numar, 26
Satu Mare, 136919 BATARCI, Anul 2003, Numar, 26
Satu Mare, 136919 BATARCI, Anul 2004, Numar, 23
Satu Mare, 136919 BATARCI, Anul 2005, Numar, 23
Satu Mare, 136919 BATARCI, Anul 2006, Numar, 24
Satu Mare, 136919 BATARCI, Anul 2007, Numar, 29
Satu Mare, 136919 BATARCI, Anul 2008, Numar, 26
Satu Mare, 136919 BATARCI, Anul 2009, Numar, 14
Satu Mare, 136919 BATARCI, Anul 2010, Numar, 29
Satu Mare, 136919 BATARCI, Anul 2011, Numar, 21
Satu Mare, 136919 BATARCI, Anul 2012, Numar, 24
Satu Mare, 136919 BATARCI, Anul 2013, Numar, 23
Satu Mare, 136919 BATARCI, Anul 2014, Numar, 29
Satu Mare, 136919 BATARCI, Anul 2015, Numar, 31
Satu Mare, 136919 BATARCI, Anul 2016, Numar, 19
Satu Mare, 136964 BELTIUG, Anul 1990, Numar, 21
Satu Mare, 136964 BELTIUG, Anul 1991, Numar, 21
Satu Mare, 136964 BELTIUG, Anul 1992, Numar, 16
Satu Mare, 136964 BELTIUG, Anul 1993, Numar, 20
Satu Mare, 136964 BELTIUG, Anul 1994, Numar, 13
Satu Mare, 136964 BELTIUG, Anul 1995, Numar, 17
Satu Mare, 136964 BELTIUG, Anul 1996, Numar, 22
Satu Mare, 136964 BELTIUG, Anul 1997, Numar, 17
Satu Mare, 136964 BELTIUG, Anul 1998, Numar, 17
Satu Mare, 136964 BELTIUG, Anul 1999, Numar, 10
Satu Mare, 136964 BELTIUG, Anul 2000, Numar, 8
Satu Mare, 136964 BELTIUG, Anul 2001, Numar, 6
Satu Mare, 136964 BELTIUG, Anul 2002, Numar, 12
Satu Mare, 136964 BELTIUG, Anul 2003, Numar, 22
Satu Mare, 136964 BELTIUG, Anul 2004, Numar, 16
Satu Mare, 136964 BELTIUG, Anul 2005, Numar, 15
Satu Mare, 136964 BELTIUG, Anul 2006, Numar, 18
Satu Mare, 136964 BELTIUG, Anul 2007, Numar, 58
Satu Mare, 136964 BELTIUG, Anul 2008, Numar, 12
Satu Mare, 136964 BELTIUG, Anul 2009, Numar, 30
Satu Mare, 136964 BELTIUG, Anul 2010, Numar, 18
