
Starea civila anterioara a sotului, Starea civila anterioara a sotiei, Ani, UM: Numar, Valoare
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1990, Numar, 1336
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1991, Numar, 1236
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1992, Numar, 1189
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1993, Numar, 1103
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1994, Numar, 1064
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1995, Numar, 1023
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1996, Numar, 978
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1997, Numar, 957
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1998, Numar, 963
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 1999, Numar, 842
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2000, Numar, 843
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2001, Numar, 837
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2002, Numar, 778
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2003, Numar, 783
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2004, Numar, 878
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2005, Numar, 840
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2006, Numar, 821
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2007, Numar, 760
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2008, Numar, 750
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2009, Numar, 514
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2010, Numar, 470
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2011, Numar, 485
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2012, Numar, 491
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2013, Numar, 459
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2014, Numar, 471
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2015, Numar, 498
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:divortata, Anul 2016, Numar, 538
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1990, Numar, 8002
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1991, Numar, 7650
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1992, Numar, 7701
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1993, Numar, 7647
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1994, Numar, 8927
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1995, Numar, 9228
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1996, Numar, 9035
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1997, Numar, 9109
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1998, Numar, 9055
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 1999, Numar, 8737
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2000, Numar, 8609
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2001, Numar, 8354
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2002, Numar, 8096
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2003, Numar, 8452
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2004, Numar, 9433
