falu|megye|hun
Bistra, Telec |Bicazu Ardelean, NT|Bisztrapataka
Bistra Muresului |Deda, MS|Dédabisztratelep
Bistrita |Municipiul Bistrita, BN|Beszterce
Bistrita Bargaului |Bistrita Bargaului, BN|Borgóbeszterce
Bita |Reci, CV|Bita
Biusa |Benesat, SJ|Bősháza
Bixad |Malnas, CV|Sepsibükszád
Bixad |Bixad, SM|Bikszád
Bizusa Bai |Ileanda, SJ|Büdöspataka
Blaj |Municipiul Blaj, AB|Balázsfalva
Blaj-Sat, Blaj |Municipiul Blaj, AB|Kisbalázsfalva
Blaja |Oras Tasnad, SM|Tasnádbalázsháza
Blajova |Nitchidorf, TM|Balázsd
Blandiana |Blandiana, AB|Maroskarna
Blajel |Blajel, SB|Balázstelke
Blajeni |Blajeni, HD|Blezseny
Blajeni-Vulcan |Blajeni, HD|
Blajenii de Jos |sintereag, BN|Alsóbalázsfalva
Blajenii de Sus |sintereag, BN|Felsőbalázsfalva
Blidari |Municipiul Baia Mare, MM|Kőbánya
Blidaresti |Bobalna, CJ|Tálosfalva
Blidesti |Rosia Montana, AB|
Blidireasa |Ibanesti, MS|Blidirászaházcsoport
Boarta |seica Mare, SB|Mihályfalva
Bobaia |Bosorod, HD|Bobája
Bobaresti |Sohodol, AB|
Bobaresti |Vidra, AB|
Bobalna |Bobalna, CJ|Alparét
Bobalna |Rapoltu Mare, HD|Bábolna
Bobda |Cenei, TM|Papd
Bobocea, Sita Buzaului |Sita Buzaului, CV|Babócsa
Bobohalma |Municipiul Tarnaveni, MS|Bábahalma
Bobota |Bobota, SJ|Nagyderzsida
Boc, Muntele Sacelului |Baisoara, CJ|
Bocesti |Mogos, AB|
Bochia |Beliu, AR|Boklya
Bocicau |Tarna Mare, SM|Bocskó
Bocicoel |Bogdan Voda, MM|Kisbocskó
Bocicoiu Mare |Bocicoiu Mare, MM|Nagybocskó
Bociu |Margau, CJ|Bocs
Bocsig |Bocsig, AR|Bokszeg
Bocsa |Oras Bocsa, CS|Boksánbánya
Bocsa |Bocsa, SJ|Oláhbaksa
Bocsa Mare |Certeju de Sus, HD|Boksatelep
Bocsa Mica |Certeju de Sus, HD|
Bocsa Romana, Bocsa |Oras Bocsa, CS|Várboksán
Bocsitura |Oras Cugir, AB|Boksiturahavas
Bocsita |Hereclean, SJ|Magyarbaksa
Bod |Bod, BV|Botfalu
Bodesti |Vadu Motilor, AB|
Bodesti |Halmagiu, AR|Bogyafalva
Bodia |Buciumi, SJ|Szilágybogya
Bodiu, Ucuris |Olcea, BH|Bogy
Bodo |Balint, TM|Nagybodófalva
Bodoc |Bodoc, CV|Sepsibodok
Bodogaia |Secuieni, HR|Alsóboldogfalva
Bodos |Oras Baraolt, CV|Bodos
Bodresti |Ciuruleasa, AB|
Bodrog |Apahida, CJ|Bodrog
Bodrogu Nou |Felnac, AR|Újbodrog
Bodrogu Vechi |Pecica, AR|Óbodrog
Bogata |Calarasi, CJ|Bogátpuszta
Bogata |Bogata, MS|Marosbogát
Bogata de Jos |Vad, CJ|Alsóbogáta
Bogata de Sus |Vad, CJ|Felsőbogáta
Bogata Olteana |Hoghiz, BV|Oltbogát
Bogatu Roman |Pauca, SB|Oláhbogát
Bogaltin |Cornereva, CS|Bogoltény
Bogda |Bogda, TM|Rigósfürdő
Bogdan Voda |Bogdan Voda, MM|Izakonyha
Bogdana |Buciumi, SJ|Kásapatak
Bogdand |Bogdand, SM|Bogdánd
Bogdanesti |Mogos, AB|
Bogdanesti, Tauni |Valea Lunga, AB|
Bogdanesti |Vidra, AB|
Bogei |Tauteu, BH|Bozsaly
Boghis |Doba, SM|Csengerbagos
Boghis |Nusfalau, SJ|Szilágybagos
Boglesti |Ciuruleasa, AB|
Bogodinti |Sasca Montana, CS|Bogorfalva
Bogomirea, Valea Florilor |Ploscos, CJ|Bagoly
Boholt |soimus, HD|Boholt
Boholt |Beclean, BV|Boholc
Boia Barzii |Vetel, HD|Bojabirz
Boian |Ceanu Mare, CJ|Mezőbő
Boian |Bazna, SB|Alsóbajom
Boianu Crasnei, Cizer |Cizer, SJ|Boján
