falu|megye|hun
Cristur-Criseni |Criseni, SJ|Szilágyfőkeresztúr
Cristur-sieu |sieu-Odorhei, BN|Bethlenkeresztúr
Cristuru Secuiesc |Oras Cristuru Secuiesc, HR|Székelykeresztúr
Cris |Blajeni, HD|
Cris |Danes, MS|Keresd
Crisan |Ribita, HD|Váka
Crisana, Zerind |Zerind, AR|
Criscior |Criscior, HD|Kristyor
Criseni |Vintu de Jos, AB|
Criseni |Mociu, CJ|Tótháza
Criseni |Atid, HR|Kőrispatak
Criseni, Calan |Oras Calan, HD|
Criseni |Craidorolt, SM|Kőröstelep
Criseni |Criseni, SJ|Cigányi
Cristelec |Maeriste, SJ|Kerestelek
Cristioru de Jos |Cristioru de Jos, BH|Biharkristyór
Cristioru de Sus |Cristioru de Jos, BH|Felsőbiharkristyór
Crit |Bunesti, BV|Szászkeresztúr
Criva |Densus, HD|Krivapuszta
Crivadia |Banita, HD|Krivádia
Crivina, Prejmer |Prejmer, BV|
Crivina, Vama Buzaului |Vama Buzaului, BV|
Crivina |Nadrag, TM|Alsógörbed
Crivina de Sus |Pietroasa, TM|Felsőgörbed
Crivina Mare, intorsura Buzaului |Oras intorsura 
Buzaului, CV|
Crivina Mica, intorsura Buzaului |Oras intorsura 
Buzaului, CV|
Crivobara |Secas, TM|Krimárvára
Crizbav |Halchiu, BV|Krizba
Crocna |Dieci, AR|Koroknya
Crocna, Turia |Turia, CV|Karatna
Crocna si Volal, Turia |Turia, CV|Karatnavolál
Cruceni |sagu, AR|Temeskeresztes
Cruceni |Foeni, TM|Torontálkeresztes
Crucisor |Crucisor, SM|Borválaszút
Crusovat |Cornea, CS|Körtvélypatak
Crusovita |Sichevita, CS|Krusovica
Cublesu |Cuzaplac, SJ|Almásköblös
Cublesu Somesan |Panticeu, CJ|Magyarköblös
Cubulcut |Sacueni, BH|Érköbölkút
Cucerdea |Cucerdea, MS|Oláhkocsárd
Cuceu |Oras Jibou, SJ|Kucsó
Cuci |Cuci, MS|Kutyfalva
Cuciulat |Letca, SJ|Kocsoládfalva
Cuciulata |Hoghiz, BV|Kucsuláta
Cucu |Odoreu, SM|Kak
Cucuceni |Rieni, BH|Kakucsány
Cucuis |Beriu, HD|Kukuis
Cucuta |Ceru-Bacainti, AB|
Cufoaia |Oras Targu Lapus, MM|Kohópatak
Cugir |Oras Cugir, AB|Kudzsir
Cugirul Nou, Cugir |Oras Cugir, AB|Újkudzsir
Cuias |Savarsin, AR|Felsőköves
Cuied |Buteni, AR|Köved
Cuies |Ilia, HD|Kulyes
Cuiesd |Brusturi, BH|Kövesd
Cuiesd |Panet, MS|Székelykövesd
Culcea |Sacalaseni, MM|Kővárkölcse
Culciu Mare |Culciu, SM|Nagykolcs
Culciu Mic |Culciu, SM|Kiskolcs
Culdesti |Vidra, AB|
Culpiu |Ceuasu de Campie, MS|Mezőkölpény
Cund |Bahnea, MS|Kund
Cunta |spring, AB|Konca
Cupseni |Cupseni, MM|Kupsafalva
Cuptoare |Cornea, CS|Kuptorja
Cuptoare |Municipiul Resita CS|Kuptora
Cuptoare Secu, Cuptoare + Secu |Municipiul Resita CS|Kemenceszék
Curaturi |Rosia Montana, AB|
Curatele |Curatele, BH|Tisztásfalva
Curciu |Darlos, SB|Küküllőkőrös
Curechiu |Bucuresci, HD|Kurety
Curete |Raciu, MS|
Curmatura |Lupsa, AB|
Curmatura |Sichevita, CS|
Curmetea, Ramet |Ramet, AB|
Curpeni |Ceru-Bacainti, AB|Kurpény
Curpenii Silvasului |Toplita, HD|Kurpeny
Curtea |Curtea, TM|Kurtya
Curteni |Santana de Mures, MS|Udvarfalva
Curtici |Oras Curtici, AR|Kürtös
Curtuiuseni |Curtuiuseni, BH|Érkörtvélyes
Curtuiusu Dejului |Vad, CJ|Déskörtvélyes
Curtuiusu Mare |Valea Chioarului, MM|Nagykörtvélyes
Curtuiusu Mic |Copalnic-Manastur, MM|Kiskörtvélyes
Custura |Caseiu, CJ|Dumbráva
Cusuius |Lazuri de Beius, BH|Köszvényes
Cusma |Livezile, BN|Kusma
Cusmed |Atid, HR|Küsmöd
Custelnic |Oras Tarnaveni, MS|Csüdőtelke
Cut |Cilnic, AB|Kútfalva
Cutca |Sanmartin, CJ|Kötke
Cutin |Pestisu Mic, HD|Kutyén
Cutina |Bethausen, TM|Gutonya
Cutis |Almasu, SJ|Kiskökényes
Cutus |Halchiu, BV|Kutastelep
Cuta |Socond, SM|Laphegy
Cuvesdia |sistarovat, AR|Temeskövesd
Cuvin |Ghioroc, AR|Aradkövi
Cuzap |Popesti, BH|Középes
Cuzaplac |Cuzaplac, SJ|Középlak
Cuzdrioara |Cuzdrioara, CJ|Kozárvár
Dacia |Jibert, BV|Garat
Dacia |Doba, SM|
Daia |Ulies, HR|Székelydálya
Daia |Apold, MS|Szászdálya
Daia |Bahnea, MS|Dányán
Daia |Rosia, SB|Dolmány
Daia Romana |Daia Romana, AB|Oláhdálya
Dalboset |Dalboset, CS|Dalbosfalva
Dalci |Turnu Ruieni, CS|Dálcs
Dalnic |Moacsa, CV|Dálnok
Dalu |Sanger, MS|Fodorkút
Damis |Bratca, BH|Erdődámos
Danes |Danes, MS|Dános
Dara |Dorolt, SM|Szamosdara
Darot |Unguras, CJ|Daróc
Darova |Darova, TM|Daruvár
Darova Noua, Darova |Darova, TM|Újdaruvár
Davidesti, Badai |Avram Iancu, AB|
Dabaca |Dabaca, CJ|Doboka
Dabaca |Toplita, HD|Doboka
Dabaceni |Ileanda, SJ|Kisdoboka
Daisoara |Ungra, BV|Longodár
Dalghiu |Vama Buzaului, BV|Döblön
Damacuseni |Oras Targu Lapus, MM|Domokos
Damieni |Eremitu, MS|Deményháza
Damuc |Damuc, NT|Gyergyódamuk
Damucu de Jos, Damuc |Damuc, NT|
Damucu de Sus, Damuc |Damuc, NT|
Dandut |Oras Campeni, AB|
Danesti |Danesti, HR|Csíkdánfalva
Danesti |sisesti, MM|Bajfalu
Danesti Chioarului |Miresu Mare, MM|Dánfalva
Danilesti, Dealu Goiesti |Vidra, AB|
Danulesti |Gurasada, HD|Danulesd
Daranesti, Petrosani |Municipiul Petrosani, HD|Derenyesd
Daroaia |Rosia Montana, AB|
Dataseni |Cuci, MS|Marosdátos
Dalja Mare |Municipiul Petrosani, HD|Nagydilzsa
Dalja Mica |Municipiul Petrosani, HD|Kisdilzsa
Dambau |Adamus, MS|Küküllődombó
Dambu |Sanpetru de Campie, MS|Meződomb
Dambu Mare |Mica, CJ|Nagydomb
Dambureni |Bistra, AB|
Damburile |Suatu, CJ|Deák-, Krisán- és Pikkeltanyák
Dancu |Aghiresu, CJ|Dank
Dancu Mare |Martinesti, HD|Nagydenk
Dancu Mic |Martinesti, HD|Kisdenk
Dangau Mare |Capusu Mare, CJ|Bánffydongó
Dangau Mic |Capusu Mare, CJ|Gyerőfidongó
Darja |Panticeu, CJ|Magyarderzse
Darjiu |Darjiu, HR|Székelyderzs
Darlesti |Horea, AB|
Darlos |Darlos, SB|Darlac
Deag |Oras Iernut, MS|Marosdég
Deaj |Mica, MS|Désfalva
Deal |Calnic, AB|Dál
Dealu |Dealu, HR|Oroszhegy
Dealu Armanului |Galautas, HR|Ármándombja
Dealu Babii |Oras Vulcan, HD|Hegyvulkán
Dealu Bajului |Arieseni, AB|
Dealu Bistrii |Oras Campeni, AB|
Dealu Botii |Belis, CJ|Kerekhegy
Dealu Capsei |Oras Campeni, AB|
Dealu Caselor |Salciua, AB|Dealu casilor
Dealu Corbului |Vima Mica, MM|
Dealu Cretului, sercaita |sinca, BV|
Dealu Crisului |Avram Iancu, AB|
Dealu Doamnei, Vladesti |Ramet, AB|
Dealu Dostatului |Dostat, AB|
Dealu Ferului |Vintu de Jos, AB|Vashegy
Dealu Frumos |Garda de Sus, AB|
Dealu Frumos |Vadu Motilor, AB|
Dealu Frumos |Merghindeal, SB|Lesses
Dealu Geoagiului |intregalde, AB|Havasgyógy
Dealu Goiesti |Vidra, AB|
Dealu Lamasoi |Albac, AB|
Dealu Mare, Cerbu |Bucium, AB|
Dealu Mare |Risca, CJ|
Dealu Mare |Valisoara, HD|Gyalumáre
Dealu Mare |Coroieni, MM|Dűlőfalva
Dealu Mic |Toplita, HD|Párosza
Dealu Muntelui |Bistra, AB|
Dealu Negru |Calatele, CJ|Bánffytelep
Dealu Ordancusii |Garda de Sus, AB|
Dealu Poienii, Poiana Ampoiului |Metes, AB|
Dealu Presecii, Presaca |Pauca, SB|
Dealu Racovei, Brad |Municipiul Brad, HD|
Dealu Roatei |Oras Zlatna, AB|
Dealu stefanitei |Romuli, BN|
Dealu Taului, Brad |Municipiul Brad, HD|
Dealul Alamorului, Alamor |Loamnes, SB|Lászlótanya
Dealul Hasagului, seica Mare |seica Mare, SB|
Dealul lui stefan, Cavaran |Constantin Daicoviciu, CS|Istvánhegy
Dealul Sibiului, Buia |seica Mare, SB|
Decebal |Vetis, SM|Újtelep
Decea |Miraslau, AB|Marosdécse
Deda |Deda, MS|Déda
Dedrad |Batos, MS|Dedrád
Dej |Municipiul Dej, CJ|Dés
Deja |Salatig, SJ|Désháza
Dejan |Moravita, TM|Dézsánfalva
Dejani |Recea, BV|Dezsán
Dejutiu |Mugeni, HR|Décsfalva
Delani |Oras Beius, BH|Gyalány
Deleni, Salciua de Jos |Salciua, AB|
Deleni |Petrestii de Jos, CJ|Indal
Deleni |Zam, HD|
Deleni |Ideciu de Jos, MS|Oroszidecs
Deleni |Pogaceaua, MS|Ökröstó
Deleni |Dobrin, SJ|Nagymonújfalu
Deleni, Sorostin |seica Mica, SB|
Deleni-Obarsia |Municipiul Blaj, AB|Obursa tanya
Delenii |Bagaciu, MS|Magyarsáros
Delinesti |Paltinis, CS|Delényes
Delnita |Pauleni-Ciuc, HR|Csíkdelne
Delureni |Bratca, BH|Báródbeznye
Delureni |Urmenis, BN|Mezőújlak
Demertana, siclod |Atid, HR|Demetertanya
Densus |Densus, HD|Demsus
Denta |Denta, TM|Denta
Deoncesti |Sohodol, AB|
Derna |Derna, BH|Felsőderna
Dernisoara |Derna, BH|Alsóderna
Dersida |Bobota, SJ|Kisderzsida
Desesti |Desesti, MM|Desze
Desag |Zetea, HR|Desághátja
Deta |Oras Deta, TM|Detta
Deusu |Chinteni, CJ|Diós
Deva |Municipiul Deva, HD|Déva
Deve |Albac, AB|
Dezesti |Farliug, CS|Dezesd
Dezmir |Apahida, CJ|Dezmér
Dezna |Dezna, AR|Dézna
Dicanesti |Dragesti, BH|Dékányos
Dieci |Dieci, AR|Décse
Dijir |Abram, BH|Dizsér
Dileu Nou |Sanpaul, MS|Magyardellő
Dileu Vechi |Ogra, MS|Oláhdellő
Dilimani |Sohodol, AB|
Dindesti |Andrid, SM|Érdengeleg
Dindestiu Mic |Petresti, SM|Kisdengeleg
Dinias |Peciu Nou, TM|Torontáldinnyés
Diosig |Diosig, BH|Bihardiószeg
Diosod |Hereclean, SJ|Diósad
Dipsa |Galatii Bistritei, BN|Dipse
Ditrau |Ditrau, HR|Ditró
Divici |Pojejena, CS|Divécs
Diviciorii Mari |Sanmartin, CJ|Nagydevecser
Diviciorii Mici |Sanmartin, CJ|Kisdevecser
Doba |Doba, SM|Szamosdob
Doba |Dobrin, SJ|Nagydoba
Doba Mica, Doba |Dobrin, SJ|Kisdoba
Dobarca |Miercurea Sibiului, SB|Doborka
Dobarlau |Dobarlau, CV|Dobolló
Dobeni |Mugeni, HR|Székelydobó
Dobolii de Jos |Ilieni, CV|Aldoboly
Dobolii de Sus |Borosneu Mare, CV|Feldoboly
Dobolt |Halmeu, SM|Dabolc
Doboseni |Bradut, CV|Székelyszáldobos
Dobra |sugag, AB|Dobratelep
Dobra |Dobra, HD|Dobra
Dobra |Papiu Ilarian, MS|Dobratanya
Dobra |Supur, SM|Dobra
Dobraia |Cornereva, CS|
Dobresti |Garda de Sus, AB|
Dobresti, Totesti |Vadu Motilor, AB|
Dobresti |Dobresti, BH|Bihardobrosd
Dobresti, Petrila |Oras Petrila, HD|Dobrest rész
Dobresti |Bara, TM|Dobrosd
Dobric |Caianu Mic, BN|Nagydebrek
Dobricel |Caianu Mic, BN|Kisdebrek
Dobricionesti |Magesti, BH|Doborcsány
Dobricu Lapusului |Oras Targu Lapus, MM|Láposdebrek
Dobrin |Dobrin, SJ|Debren
Dobrocina |Galgau, SJ|Döbörcsény
Dobrot |Oras Zlatna, AB|
Dobrot |Tomesti, HD|Dobroc
Doclin |Doclin, CS|Doklény
Dodocani, Uricani |Oras Uricani, HD|
Dogaresti |Bucium, AB|
Dognecea |Dognecea, CS|Dognácska
Doh |Maeriste, SJ|Doh
Dolat |Banloc, TM|Dóc
Dole, Valea Morii |Vidra, AB|
Dolea |Suplacu de Barcau, BH|Dólyapuszta
Dolesti |Avram Iancu, AB|
Dolheni |Ileanda, SJ|Ilondapatak
Dolina |Cornereva, CS|
Dolu |Zimbor, SJ|Almásdál
Domald, Viisoara |Viisoara, MS|Domáld
Doman |Municipiul Resita CS|Domány
Domasnea |Domasnea, CS|Domásnya
Domanesti |Moftin, SM|Domahida
Domnesti |Mariselu, BN|Bilak
Domnin |Somes-Odorhei, SJ|Dabjon
Domosu |Sancraiu, CJ|Kalotadámos
Donceni |Oras Sebis, AR|Dancsfalva
Dopca |Hoghiz, BV|Datk
Doptau |sona, AB|Dobtanya
Dorgos |Dorgos, AR|Dorgos
Dorna |Aschileu, CJ|
Dorobanti |Oras Curtici, AR|Kisiratos
Dorolea |Livezile, BN|Aszubeszterce
Dorolt |Dorolt, SM|Pusztadaróc
Doroltu |Aghiresu, CJ|Nádasdaróc
Dos |Vidra, AB|
Dosu Bricii |Chiuiesti, CJ|Bricshát
Dosu Luncii |Vidra, AB|
Dosu Napului |Ceanu Mare, CJ|
Dosu Vasesti |Vidra, AB|
Dosu Salciei, Silivasu de Campie |Silivasu de Campie, BN|
Dosul Glodului, Strucut |Ceanu Mare, CJ|
Dostat |Dostat, AB|Hosszútelke
Dostina, Teaca |Teaca, BN|Dosztálytanya
Draga |Silivasu de Campie, BN|Drágatanya
Dragomiresti |Dragomiresti, MM|Dragomérfalva
Dragomiresti |stiuca, TM|Dragomér
Dragsina |Cheveresu Mare, TM|Temesfalva
Dragu |Dragu, SJ|Drág
Dragu-Brad |Blajeni, HD|
Drajova, Cornea |Cornea, CS|
Drasov |spring, AB|Drassó
Draut |Tarnova, AR|Doroszlófalva
Draculea Bandului |Band, MS|Drekulyatelep
Draculesti, Ploscos |Ploscos, CJ|Ördöngős
Draganesti, sibot |sibot, AB|
Draganesti |Draganesti, BH|Dragánfalva
Dragesti |Dragesti, BH|Drágcséke
Draghia |Coroieni, MM|Drágosfalva
Dragoesti, Ponorel |Vidra, AB|
Dragoiesti |Racovita, TM|Drágonyfalva
Dragoiesti-Lunca |Vidra, AB|
Dragoteni |Remetea, BH|Drágota
Dragsinesti |Fardea, TM|Drágfalva
Dragus |Vistea, BV|Dragus
Draguseni |Turulung, SM|Túrterebestelep
Drauseni |Cata, BV|Homoróddaróc
Drambar |Ciugud, AB|Dombár
Drencova |Berzasca, CS|Drenkova
Dretea |Manastireni, CJ|Deréte
Drevedeni, Barzogani |Mogos, AB|
Dric |Oras Campeni, AB|
Dridif |Voila, BV|Dridif
Drighiu |Halmasd, SJ|Detrehem
Drinova |Barna, TM|Derenyő
Dristie |sopotu Nou, CS|Dristye
Drojdii |Magherani, MS|Seprőd
Drumul Carului |Moieciu, BV|
Dubesti |Ohaba Lunga, TM|Dobosd
Dubistea de Padure |Hodac, MS|Erdődubiste
Dubova |Dubova, MH|Dunatölgyes
Duboz |Nitchidorf, TM|Temesdoboz
Dud |Tarnova, AR|Dúd
Duda |Subcetate, HR|Duda
Dudesti |Luncoiu de Jos, HD|Dudesd hegyrész
Dudestii Noi |Becicherecu Mic, TM|Újbesenyő
Dudestii Vechi |Dudestii Vechi, TM|Óbesenyő
Duduieni |Poiana Vadului, AB|
Dulcea |Ibanesti, MS|Dulcsa
Dulcele |Gurahont, AR|Édeslak
Duleu |Farliug, CS|Dulló
Dumbrava |Oras Zlatna, AB|
Dumacesti |Avram Iancu, AB|
Dumbrava |Ciugud, AB|Lombfalva
Dumbrava |Sasciori, AB|Sebeskákova
Dumbrava |Unirea, AB|Dombró
Dumbrava |Plescuta, AR|Körösdombró
Dumbrava |Holod, BH|Tenkemocsár
Dumbrava |Livezile, BN|Dumbrava cigánytelep
Dumbrava |Nuseni, BN|Nyírmezőtanya
Dumbrava |Capusu Mare, CJ|Gyerővásárhely
Dumbrava |Pestisu Mic, HD|Erdőhát
Dumbrava |Oras Targu Lapus, MM|Kisdebrecen
Dumbrava |Vatava, MS|Marosliget
Dumbrava |Livada, SM|Meggyesgombás
Dumbrava |Dumbrava, TM|Igazfalva
Dumbrava de Jos |Ribita, HD|Alsózsunk
Dumbrava de Sus |Ribita, HD|Felsőzsunk
Dumbravani |Buntesti, BH|Dombrovány
Dumbraveni |Ciceu-Giurgesti, BN|Gáncs
Dumbraveni |Oras Dumbraveni, SB|Erzsébetváros
Dumbravioara |Ernei, MS|Sáromberke
Dumbravita |Ceru-Bacainti, AB|
Dumbravita |Barzava, AR|Alsódombró
Dumbravita |Holod, BH|Kisdombró
Dumbravita |Caianu Mic, BN|Dögmező
Dumbravita |Dumbravita, BV|Szúnyogszék
Dumbravita |Ilia, HD|Dumbravica
Dumbravita |Dumbravita, MM|Szakállasdombó
Dumbravita |Dumbravita, TM|Újszentes
Dumbravita de Codru |soimi, BH|Havasdombró
Dumesti |Salciua, AB|Dumest
Dumesti |Vorta, HD|Dumesd
Dumitra |Sintimbru, AB|Demeterpataka
Dumitra |Dumitra, BN|Nagydemeter
Dumitreni |Balauseri, MS|Szentdemeter
Dumitresti, Dumitrestii |Miercurea Nirajului, MS|Demeterfalva
Dumitrestii |Miercurea Nirajului, MS|Demeterfalva
Dumitrita |Cetate, BN|Kisdemeter
Dumuslau |Carastelec, SJ|Szilágydomoszló
Dupa Deal, Brazesti |Oras Baia de Aries, AB|
Dupa Deal |Lupsa, AB|
Dupa Deal |Ponor, AB|
Dupa Deal |Milas, BN|Hegymögött
Dupa Deal, Nuseni |Nuseni, BN|Hegymegett
Dupa Deal, Archiud |Teaca, BN|Hegymegett tanya
Dupa Deal |Cuci, MS|Hegymegett
Dupa Deal |Iclanzel, MS|Völgyön-túl
Dupa Deal, Mica |Mica, MS|
Dupa Deal, Tarnaveni |Municipiul Tarnaveni, MS|Pekritanya
Dupa Hula, Daia |Apold, MS|
Dupa Piatra |Buces, HD|Dupapiátra
Dupa Plese |Albac, AB|
Dupa Vale, Bozies |Chiochis, BN|Patakmögött
Dupus |Atel, SB|Táblás
Durasti |Bistra, AB|
Durusa |Valea Chioarului, MM|Durusa
Dusesti |Ceica, BH|Dusafalva
Eftimie Murgu |Eftimie Murgu, CS|Ógerlistye
Eghersec |Ciucsangeorgiu, HR|Egerszék
Eibenthal |Dubova, MH|Tiszafa
Elciu |Recea-Cristur, CJ|Völcs
Eliseni |Secuieni, HR|Székelyszenterzsébet
Enciu |Matei, BN|Szászencs
Episcopia Bihorului |Municipiul Oradea, BH|Biharpüspöki
Ercea |Bala, MS|Nagyercse
Eremieni |Magherani, MS|Nyárádszentimre
Eremitu |Eremitu, MS|Nyárádremete
Eresteghin, Moacsa |Moacsa, CV|Eresztevény
Eriu-Sancrai |Craidorolt, SM|Érszentkirály
Ernea |Oras Dumbraveni, SB|Ernye
Ernei |Ernei, MS|Nagyernye
Ersig |Vermes, CS|Érszeg
Escu |Recea-Cristur, CJ|Veck
Estelnic |Poian, CV|Esztelnek
Eselnita |Eselnita, MH|Dunaorbágy
Eteni |Odoreu, SM|Etény
Etfalau, Zoltan |Ghidfalau, CV|Étfalva
Ezeris |Ezeris, CS|Ezeres
Fabrica |Garbou, SJ|Cukorgyártelep
Falca |Mociu, CJ|Falka
Fata, Cristuru Secuiesc |Oras Cristuru Secuiesc, HR|Fata
Fata |Albac, AB|
Fata Abrudului |Oras Campeni, AB|
Fata Cristesei |Arieseni, AB|
Fata Lapusului |Arieseni, AB|
Fata Lazesti |Scarisoara, AB|
Fata Pietrii |Stremt, AB|Facapetri
Fata Rosie |Batrana, HD|
Fadimac |Balint, TM|Fagymag
Fagadau, Samboleni |Camarasu, CJ|
Fagadau Lotului, Bezidu Nou |Sangeorgiu de Padure, MS|Lócifogadó
Fagadaua, Blajel |Blajel, SB|Fogadók
Fagaras |Municipiul Fagaras, BV|Fogaras
Faget |Valea Lunga, AB|Oláhbükkös
Faget |Ghimes-Faget, BC|Gyimesbükk 
Faget |Oras Faget, TM|Facsád
Fagetu |Plopis, SJ|Magyarpatak
Fagetu de Jos |Poiana Vadului, AB|
Fagetu de Sus |Poiana Vadului, AB|
Fagetu de Sus |Ghimes-Faget, BC|
Fagetu German, Faget |Oras Faget, TM|Németfacset
Fagetu Ierii |Iara, CJ|Bikalat
Fagetu Romanesc, Faget |Oras Faget, TM|Románfacset
Fagetel |Frumoasa, HR|Bükklok
Fagetel |Remetea, HR|Kisbükk
Fagetel |Dobra, HD|Fazacsel
Falcusa |Poiana Blenchii, SJ|Falkosány
Fancica |Abramut, BH|Érfancsika
Faragau |Faragau, MS|Faragó
Farasesti |Pietroasa, TM|Forrásfalva
Farau |Farau, AB|Magyarforró
Farcas-Tau, Draga |Silivasu de Campie, BN|Farkastó
Farcasa |Farcasa, MM|Farkasaszó
Farcadin |General Berthelot, HD|Felsőfarkadin
Faureni |Vultureni, CJ|Kolozskovácsi
Fauresti |Copalnic-Manastur, MM|Kováskápolnok
Fanate |Campani, BH|Fonóháza
Fanate, Ocnita |Teaca, BN|Szénafűtanya
Fanate |Urmenis, BN|Szarvadi szénafűdűlő
Fanate |Ceanu Mare, CJ|Funatzile dűlő
Fanate |Cernesti, MM|Kővárfonác
Fanate |Band, MS|Fekete
Fanate |Faragau, MS|Fönácé
Fanate, Iara de Mures |Gornesti, MS|Szénáságy
Fanate |Iclanzel, MS|Szénafű
Fanate |Taureni, MS|Kincstáribirtok
Fanatele Capusului |Iclanzel, MS|Úriszénafű
Fanatele Manicului, Manic |Chiochis, BN|Szénafű
Fanatele Madarasului |Band, MS|Hidegvölgy
Fanatele Silivasului |Silivasu de Campie, BN|Bircágtanya
Fanatele Socolului |Cozma, MS|Szokoliszénafű
Fancel |Dealu, HR|Székelyfancsal
Fantana |Hoghiz, BV|Olthidegkút
Fantana |Lunca Cernii de Jos, HD|Vádtelep
Fantana Babii |Pogaceaua, MS|
Fantana Brazilor |Corund, HR|Fenyőkút
Fantanele |Ceru-Bacainti, AB|
Fantanele |Fantanele, AR|Angyalkút
Fantanele |Matei, BN|Újős
Fantanele, Clapa |Tritenii de Jos, CJ|Funtinellai tanyák
Fantanele |Oras Targu Lapus, MM|Lápospataka
Fantanele |Fantanele, MS|Gyulakuta
Fantanele |Dragu, SJ|Tövises
Fantanele |Saliste, SB|Szebenkákova
Fantanele Rus |Rus, SJ|Kabalapatak
Fantanita |Micestii de Campie, BN|Mezőköbölkút
Fardea |Fardea, TM|Ferde
Farliug |Farliug, CS|Furluk
Fascarai, Dosu Napului |Ceanu Mare, CJ|
Fasca |Varciorog, BH|Várfancsika
Federi |Pui, HD|Fégyér
Fegernic |Sarbi, BH|Almásfegyvernek
Fegernicu Nou |Sarbi, BH|Újfegyvernek
Feisa |Jidvei, AB|Küküllőfajsz
Feiurdeni |Chinteni, CJ|Fejérd
Felcheriu |Osorhei, BH|Felkér
Feldioara |Feldioara, BV|Földvár
Feldioara |Ucea, BV|Földvár
Feldioara |Catina, CJ|Melegföldvár
Feldru |Feldru, BN|Földra
Feleac |Nuseni, BN|Fellak
Feleacu |Feleacu, CJ|Erdőfelek
Feleag |Vanatori, MS|Magyarfelek
Feliceni |Feliceni, HR|Felsőboldogfalva
Felmer |soars, BV|Felmér
Felnac |Felnac, AR|Fönlak
Feneris |Pocola, BH|Fenyéres
Fenes |Oras Zlatna, AB|Fenes
Fenes |Armenis, CS|Fényes
Fenis |Gurahont, AR|Körösfényes
Fenispatac, Solocma |Ghindari, MS|Fenyőspatak
Feregi |Cerbal, HD|Feresd
Ferendia |Jamu Mare, TM|Ferend
Feresti |Bucium, AB|
Feresti |Giulesti, MM|Fejérfalva
Ferice |Buntesti, BH|Fericse
Fericea |Valea Chioarului, MM|Szamosfericse
Fericet |Horea, AB|
Ferneziu |Municipiul Baia Mare, MM|Alsófernezely
Fersig |Satulung, MM|Fehérszék
Fetea, Biertan |Biertan, SB|
Fetindia |Mesesenii de Jos, SJ|Gurzófalva
Feteni |Oras Cugir, AB|Fecehavas
Fiad |Telciu, BN|Bánffytelep
Fibis |Masloc, TM|Temesfüves
Ficaresti |Vidra, AB|
Ficatar |Racovita, TM|Feketeér
Figa |Oras Beclean, BN|Füge
Fildu de Jos |Fildu de Jos, SJ|Alsófüld
Fildu de Mijloc |Fildu de Jos, SJ|Középfüld
Fildu de Sus |Fildu de Jos, SJ|Felsőfüld
Filea |Deda, MS|Füleháza
Filea de Jos |Ciurila, CJ|Alsófüle
Filea de Sus |Ciurila, CJ|Felsőfüle
Filia |Bradut, CV|Erdőfüle
Filias |Oras Cristuru Secuiesc, HR|Fiatfalva
Filitelnic |Balauseri, MS|Fületelke
Filpea |Subcetate, HR|Fülpe
Filpisu Mare |Breaza, MS|Magyarfülpös
Filpisu Mic |Breaza, MS|Kisfülpös
Finciu |Calatele, CJ|Kalotaújfalu
Finis |Finis, BH|Várasfenes
Finisel |Savadisla, CJ|Kisfenes
Finteusu Mare |somcuta Mare, MM|Nagyfentős
Finteusu Mic |Satulung, MM|Kisfentős
Fintoag |Lapugiu de Jos, HD|Fintóág
Firiteaz |sagu, AR|Féregyház
Firiza |Municipiul Baia Mare, MM|Felsőfernezely
Firizoni, Valea de Brazi |Oras Uricani, HD|
Firma, Banita |Banita, HD|
Firminis |Mirsid, SJ|Fürményes
Firtanus |Avramesti, HR|Firtosmartonos
Firtusu |Lupeni, HR|Firtosváralja
Fiscut |sagu, AR|Temesfűzkút
Fistaresti, Achimitesti |Avram Iancu, AB|
Fiser |Oras Rupea, BV|Sövénység
Fitod |Sancraieni, HR|Fitód
Fitcau |Alunis, MS|Fickópataka
Fizes |Berzovia, CS|Krassófüzes
Fizes |Baita, HD|Füzesd
Fizes |Sag, SJ|Krasznafüzes
Fizesti |Pui, HD|Füzesd
Fizesu Gherlii |Fizesu Gherlii, CJ|Ördöngösfüzes
Fizis |Finis, BH|Füzegy
Flitesti |Municipiul Blaj, AB|
Florese, Cernisoara Florese |Bunila, HD|Floresze
Floresti |Oras Campeni, AB|
Floresti |Bucium, AB|
Floresti |Ramet, AB|
Floresti |Scarisoara, AB|
Floresti |Nimigea, BN|Virágosberek
Floresti |Floresti, CJ|Szászfenes
Floresti |Laslea, SB|Földszin
Floroaia |Oras intorsura Buzaului, CV|Virágospatak
Floroaia Mica, intorsura Buzaului |Oras intorsura Buzaului, CV|Kis-Virágospatak
Fodora |Aschileu, CJ|Magyarfodorháza
Fodora |Galgau, SJ|Oláhfodorháza
Fodorhaza, Gad |Ciacova, TM|Fodorház
Foeni |Foeni, TM|Fény
Fofeldea |Nocrich, SB|Hóföld
Foglas |Suplacu de Barcau, BH|Fogás
Foi, Craciunesti |Craciunesti, MS|Folyfalva
Foieni |Foieni, SM|Mezőfény
Folea |Voiteg, TM|Fólya
Folt |Rapoltu Mare, HD|Folt
Fonau |Husasau de Tinca, BH|Rózsafalva
Forau |Uileacu de Beius, BH|Belényesforró
Fornadia |soimus, HD|Fornádia
Forosig |Holod, BH|Forrószeg
Forotic |Forotic, CS|Forotik
Forteni |Feliceni, HR|Farcád
Fotos |Ghidfalau, CV|Fotosmartonos
Fotos, Fotos |Ghidfalau, CV|Fotos
