
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 1805708
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 1802232
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 1797441
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 1790503
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 1785898
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 1781831
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 1778079
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 1775731
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 1769469
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 1763045
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 1755907
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 1750111
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 1744545
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 1738375
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 1733918
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 1729297
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 1724119
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 1716954
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 1708514
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 1699101
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 1689143
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 1242883
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 1240033
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 1238013
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 1235780
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 1232286
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 1228263
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 1224424
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 1221098
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 1217880
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 1215482
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 1211283
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 1206078
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 1200542
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 1195584
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 1190365
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 1184031
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 1178843
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 1172942
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 1167476
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 1160246
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 1153665
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 1146690
Total, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 1139818
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 161159
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 151508
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 141403
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 132789
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 127211
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 123684
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 122102
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 121896
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 122109
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 123723
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 124507
