
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Masculin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 1307606
Total, Masculin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 1305696
Total, Masculin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 1304479
Total, Masculin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 1302699
Total, Masculin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 1302216
Total, Masculin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 1301617
Total, Masculin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 1300863
Total, Masculin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 1299543
Total, Masculin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 1297792
Total, Masculin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 1296157
Total, Masculin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 1294768
Total, Masculin, Total, Regiunea VEST, Anul 1992, Numar persoane, 1036404
Total, Masculin, Total, Regiunea VEST, Anul 1993, Numar persoane, 1036337
Total, Masculin, Total, Regiunea VEST, Anul 1994, Numar persoane, 1034302
Total, Masculin, Total, Regiunea VEST, Anul 1995, Numar persoane, 1031744
Total, Masculin, Total, Regiunea VEST, Anul 1996, Numar persoane, 1028245
Total, Masculin, Total, Regiunea VEST, Anul 1997, Numar persoane, 1023980
Total, Masculin, Total, Regiunea VEST, Anul 1998, Numar persoane, 1018494
Total, Masculin, Total, Regiunea VEST, Anul 1999, Numar persoane, 1014314
Total, Masculin, Total, Regiunea VEST, Anul 2000, Numar persoane, 1010312
Total, Masculin, Total, Regiunea VEST, Anul 2001, Numar persoane, 1007792
Total, Masculin, Total, Regiunea VEST, Anul 2002, Numar persoane, 1005699
Total, Masculin, Total, Regiunea VEST, Anul 2003, Numar persoane, 1002735
Total, Masculin, Total, Regiunea VEST, Anul 2004, Numar persoane, 1000321
Total, Masculin, Total, Regiunea VEST, Anul 2005, Numar persoane, 997955
Total, Masculin, Total, Regiunea VEST, Anul 2006, Numar persoane, 995849
Total, Masculin, Total, Regiunea VEST, Anul 2007, Numar persoane, 994735
Total, Masculin, Total, Regiunea VEST, Anul 2008, Numar persoane, 994901
Total, Masculin, Total, Regiunea VEST, Anul 2009, Numar persoane, 994556
Total, Masculin, Total, Regiunea VEST, Anul 2010, Numar persoane, 993113
Total, Masculin, Total, Regiunea VEST, Anul 2011, Numar persoane, 991513
Total, Masculin, Total, Regiunea VEST, Anul 2012, Numar persoane, 988907
Total, Masculin, Total, Regiunea VEST, Anul 2013, Numar persoane, 986404
Total, Masculin, Total, Regiunea VEST, Anul 2014, Numar persoane, 983441
Total, Feminin, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 1496976
Total, Feminin, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 1493490
Total, Feminin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 1491030
Total, Feminin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 1488414
Total, Feminin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 1484250
Total, Feminin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 1479888
Total, Feminin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 1475995
Total, Feminin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 1473941
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 1471683
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 1469930
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 1466985
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 1463943
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 1461175
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 1457985
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 1456173
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 1454794
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 1454265
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 1454902
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 1455231
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 1455514
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 1454641
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 1453244
Total, Feminin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 1451646
Total, Feminin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 1365197
Total, Feminin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 1363963
Total, Feminin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 1362742
Total, Feminin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 1362090
Total, Feminin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 1358807
Total, Feminin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 1356542
Total, Feminin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 1354684
Total, Feminin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 1353455
Total, Feminin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 1352360
Total, Feminin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 1352534
Total, Feminin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 1352984
Total, Feminin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 1352085
Total, Feminin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 1351226
Total, Feminin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 1349946
Total, Feminin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 1349761
Total, Feminin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 1348739
Total, Feminin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 1348900
Total, Feminin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 1349492
Total, Feminin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 1349484
Total, Feminin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 1349393
Total, Feminin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 1348478
Total, Feminin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 1347516
Total, Feminin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 1346299
Total, Feminin, Total, Regiunea VEST, Anul 1992, Numar persoane, 1082403
Total, Feminin, Total, Regiunea VEST, Anul 1993, Numar persoane, 1083845
Total, Feminin, Total, Regiunea VEST, Anul 1994, Numar persoane, 1082804
Total, Feminin, Total, Regiunea VEST, Anul 1995, Numar persoane, 1081486
Total, Feminin, Total, Regiunea VEST, Anul 1996, Numar persoane, 1078787
Total, Feminin, Total, Regiunea VEST, Anul 1997, Numar persoane, 1076103
Total, Feminin, Total, Regiunea VEST, Anul 1998, Numar persoane, 1072668
Total, Feminin, Total, Regiunea VEST, Anul 1999, Numar persoane, 1070341
Total, Feminin, Total, Regiunea VEST, Anul 2000, Numar persoane, 1067703
Total, Feminin, Total, Regiunea VEST, Anul 2001, Numar persoane, 1066160
Total, Feminin, Total, Regiunea VEST, Anul 2002, Numar persoane, 1065059
Total, Feminin, Total, Regiunea VEST, Anul 2003, Numar persoane, 1063437
Total, Feminin, Total, Regiunea VEST, Anul 2004, Numar persoane, 1061809
Total, Feminin, Total, Regiunea VEST, Anul 2005, Numar persoane, 1059532
Total, Feminin, Total, Regiunea VEST, Anul 2006, Numar persoane, 1056900
Total, Feminin, Total, Regiunea VEST, Anul 2007, Numar persoane, 1055333
Total, Feminin, Total, Regiunea VEST, Anul 2008, Numar persoane, 1054836
Total, Feminin, Total, Regiunea VEST, Anul 2009, Numar persoane, 1054049
Total, Feminin, Total, Regiunea VEST, Anul 2010, Numar persoane, 1052470
Total, Feminin, Total, Regiunea VEST, Anul 2011, Numar persoane, 1051341
Total, Feminin, Total, Regiunea VEST, Anul 2012, Numar persoane, 1048538
Total, Feminin, Total, Regiunea VEST, Anul 2013, Numar persoane, 1045999
Total, Feminin, Total, Regiunea VEST, Anul 2014, Numar persoane, 1042725
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 111766
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 105800
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 98148
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 91190
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 85788
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 82361
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 79813
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 78737
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 77507
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 77406
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 76830
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 76180
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 75858
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 75451
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 75484
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 75667
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 75954
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 76251
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 76786
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 76226
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 74835
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 73901
0- 4 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 72038
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 101126
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 94596
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 86676
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 79085
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 74110
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 71177
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 69755
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 69441
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 69187
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 70070
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 70407
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 69874
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 69896
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 70069
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 70262
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 70998
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 71718
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 72489
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 73209
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 72699
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 71592
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 70628
0- 4 ani, Masculin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 69075
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 1992, Numar persoane, 75533
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 1993, Numar persoane, 70964
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 1994, Numar persoane, 65829
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 1995, Numar persoane, 60743
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 1996, Numar persoane, 56981
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 1997, Numar persoane, 54387
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 1998, Numar persoane, 52610
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 1999, Numar persoane, 51418
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2000, Numar persoane, 50511
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2001, Numar persoane, 50545
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2002, Numar persoane, 50229
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2003, Numar persoane, 49557
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2004, Numar persoane, 48938
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2005, Numar persoane, 48772
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2006, Numar persoane, 48468
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2007, Numar persoane, 48711
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2008, Numar persoane, 49119
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2009, Numar persoane, 49429
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2010, Numar persoane, 49454
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2011, Numar persoane, 48884
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2012, Numar persoane, 47728
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2013, Numar persoane, 46620
0- 4 ani, Masculin, Total, Regiunea VEST, Anul 2014, Numar persoane, 45023
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 107067
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 101171
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 93653
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 86596
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 81253
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 77989
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 75803
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 75195
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 74178
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 74404
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 73796
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 73058
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 72442
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 71829
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 71733
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 72014
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 72263
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 72667
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 73265
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 72620
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 71388
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 70321
0- 4 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 68248
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 96615
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 90034
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 82382
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 75066
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 69932
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 67307
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 65830
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 65710
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 65526
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 66290
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 66579
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 66234
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 66024
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 66024
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 66463
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 67250
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 68021
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 68815
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 69265
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 68545
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 67321
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 66235
0- 4 ani, Feminin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 64438
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 1992, Numar persoane, 72468
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 1993, Numar persoane, 68300
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 1994, Numar persoane, 63207
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 1995, Numar persoane, 58131
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 1996, Numar persoane, 54555
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 1997, Numar persoane, 51689
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 1998, Numar persoane, 49870
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 1999, Numar persoane, 48751
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2000, Numar persoane, 47937
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2001, Numar persoane, 47787
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2002, Numar persoane, 47271
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2003, Numar persoane, 46569
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2004, Numar persoane, 46058
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2005, Numar persoane, 45793
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2006, Numar persoane, 45683
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2007, Numar persoane, 46192
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2008, Numar persoane, 46386
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2009, Numar persoane, 46762
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2010, Numar persoane, 46772
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2011, Numar persoane, 46301
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2012, Numar persoane, 45261
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2013, Numar persoane, 44535
0- 4 ani, Feminin, Total, Regiunea VEST, Anul 2014, Numar persoane, 42892
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 19175
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 18236
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 16818
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 16798
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 15807
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 15632
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 15619
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 15652
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 15525
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 15814
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 15035
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 14874
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 15200
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 14989
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 15757
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 15140
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 15099
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 15451
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 15456
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 15185
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 13827
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 14237
0 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 13565
0 ani, Masculin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 16507
0 ani, Masculin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 15677
0 ani, Masculin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 14278
0 ani, Masculin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 14374
0 ani, Masculin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 13594
0 ani, Masculin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 13547
0 ani, Masculin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 14304
0 ani, Masculin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 14086
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 14190
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 14548
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 13766
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 13669
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 14042
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 14296
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 14737
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 14498
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 14395
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 14799
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 15017
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 14197
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 13461
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 13492
0 ani, Masculin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 13238
