
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0- 4 ani, Feminin, Total, Harghita, Anul 2002, Numar persoane, 9205
0- 4 ani, Feminin, Total, Harghita, Anul 2003, Numar persoane, 9072
0- 4 ani, Feminin, Total, Harghita, Anul 2004, Numar persoane, 8904
0- 4 ani, Feminin, Total, Harghita, Anul 2005, Numar persoane, 8825
0- 4 ani, Feminin, Total, Harghita, Anul 2006, Numar persoane, 8897
0- 4 ani, Feminin, Total, Harghita, Anul 2007, Numar persoane, 8959
0- 4 ani, Feminin, Total, Harghita, Anul 2008, Numar persoane, 9068
0- 4 ani, Feminin, Total, Harghita, Anul 2009, Numar persoane, 9202
0- 4 ani, Feminin, Total, Harghita, Anul 2010, Numar persoane, 9184
0- 4 ani, Feminin, Total, Harghita, Anul 2011, Numar persoane, 9007
0- 4 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 8730
0- 4 ani, Feminin, Total, Mures, Anul 1999, Numar persoane, 15710
0- 4 ani, Feminin, Total, Mures, Anul 2000, Numar persoane, 15520
0- 4 ani, Feminin, Total, Mures, Anul 2001, Numar persoane, 15918
0- 4 ani, Feminin, Total, Mures, Anul 2002, Numar persoane, 16009
0- 4 ani, Feminin, Total, Mures, Anul 2003, Numar persoane, 15983
0- 4 ani, Feminin, Total, Mures, Anul 2004, Numar persoane, 15909
0- 4 ani, Feminin, Total, Mures, Anul 2005, Numar persoane, 15919
0- 4 ani, Feminin, Total, Mures, Anul 2006, Numar persoane, 15924
0- 4 ani, Feminin, Total, Mures, Anul 2007, Numar persoane, 15956
0- 4 ani, Feminin, Total, Mures, Anul 2008, Numar persoane, 15965
0- 4 ani, Feminin, Total, Mures, Anul 2009, Numar persoane, 15976
0- 4 ani, Feminin, Total, Mures, Anul 2010, Numar persoane, 15923
0- 4 ani, Feminin, Total, Mures, Anul 2011, Numar persoane, 15640
0- 4 ani, Feminin, Total, Mures, Anul 2012, Numar persoane, 15329
0 ani, Masculin, Total, Covasna, Anul 1999, Numar persoane, 1262
0 ani, Masculin, Total, Covasna, Anul 2000, Numar persoane, 1326
0 ani, Masculin, Total, Covasna, Anul 2001, Numar persoane, 1408
0 ani, Masculin, Total, Covasna, Anul 2002, Numar persoane, 1379
0 ani, Masculin, Total, Covasna, Anul 2003, Numar persoane, 1288
0 ani, Masculin, Total, Covasna, Anul 2004, Numar persoane, 1336
0 ani, Masculin, Total, Covasna, Anul 2005, Numar persoane, 1369
