Nem,Életkor,Város,Iskola,Háztartás,Vallás,Jövedelem,Munkaviszonya,Lakhely,Rászorulók segítése,,
nő,35-44,Igen,felsőfokú,5 +,4,999 RON -,Alkalmazott,Udvarhelyszék,6,,
férfi,25-34,Igen,felsőfokú,2,1,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
férfi,25-34,Igen,felsőfokú,3,2,1000 - 1999,Alkalmazott,Csíkszék,4,,
nő,35-44,Nem,felsőfokú,2,3,2000 - 2999,Alkalmazott,Udvarhelyszék,7,,
férfi,15-24,Igen,felsőfokú,4,0,1000 - 1999,Tanuló / diák,Udvarhelyszék,5,,
férfi,35-44,Nem,felsőfokú,5 +,4,1000 - 1999,Alkalmazott,Csíkszék,6,,
nő,35-44,Igen,felsőfokú,4,3,2000 - 2999,Alkalmazott,Csíkszék,4,,
nő,25-34,Nem,felsőfokú,5 +,4,999 RON -,Vállalkozó,Csíkszék,6,,
nő,25-34,Igen,középiskola,3,2,1000 - 1999,Alkalmazott,Csíkszék,3,,
nő,55-64,Igen,felsőfokú,2,3,3000 RON +,Alkalmazott,Csíkszék,5,,
férfi,25-34,Igen,felsőfokú,4,4,1000 - 1999,Vállalkozó,Udvarhelyszék,8,,
férfi,55-64,Nem,nincs,2,3,3000 RON +,Nyugdíjas,Orbaiszék,6,,
férfi,35-44,Igen,felsőfokú,3,-1,3000 RON +,Vállalkozó,Udvarhelyszék,4,,
nő,25-34,Nem,felsőfokú,2,3,2000 - 2999,Alkalmazott,Udvarhelyszék,5,,
férfi,35-44,Igen,elemi,3,2,999 RON -,Alkalmazott,Csíkszék,4,,
férfi,25-34,Igen,felsőfokú,3,4,2000 - 2999,Alkalmazott,Udvarhelyszék,4,,
férfi,25-34,Nem,felsőfokú,3,4,1000 - 1999,Alkalmazott,Gyergyószék,5,,
nő,35-44,Igen,felsőfokú,egyedül él,0,2000 - 2999,Vállalkozó,Udvarhelyszék,4,,
nő,25-34,Igen,felsőfokú,egyedül él,3,1000 - 1999,Alkalmazott,Marosszék,4,,
nő,55-64,Igen,középiskola,egyedül él,3,1000 - 1999,Háztartásbeli,Gyergyószék,4,,
férfi,15-24,Igen,középiskola,3,4,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
nő,25-34,Igen,felsőfokú,5 +,4,999 RON -,Háztartásbeli,Gyergyószék,6,,
férfi,65-74,Igen,középiskola,2,4,1000 - 1999,Nyugdíjas,Udvarhelyszék,4,,
férfi,25-34,Igen,középiskola,2,3,1000 - 1999,Tanuló / diák,Marosszék,5,,
nő,25-34,Igen,felsőfokú,2,1,1000 - 1999,Alkalmazott,Udvarhelyszék,5,,
férfi,15-24,Igen,elemi,4,4,1000 - 1999,Tanuló / diák,Udvarhelyszék,2,,
férfi,45-54,Igen,felsőfokú,2,-1,1000 - 1999,Vállalkozó,Udvarhelyszék,6,,
férfi,35-44,Igen,felsőfokú,2,0,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
férfi,25-34,Igen,felsőfokú,2,2,2000 - 2999,Vállalkozó,Udvarhelyszék,5,,
férfi,25-34,Igen,középiskola,4,3,999 RON -,Alkalmazott,Udvarhelyszék,3,,
férfi,25-34,Nem,középiskola,3,3,2000 - 2999,Vállalkozó,Udvarhelyszék,5,,
férfi,15-24,Igen,felsőfokú,5 +,2,2000 - 2999,Tanuló / diák,Gyergyószék,4,,
férfi,25-34,Nem,középiskola,5 +,3,999 RON -,Alkalmazott,Csíkszék,6,,
férfi,45-54,Nem,középiskola,5 +,-1,1000 - 1999,Nyugdíjas,Udvarhelyszék,6,,
férfi,45-54,Nem,középiskola,2,4,1000 - 1999,Vállalkozó,Udvarhelyszék,4,,
férfi,25-34,Nem,középiskola,2,3,3000 RON +,Alkalmazott,Csíkszék,6,,
férfi,45-54,Nem,felsőfokú,3,4,1000 - 1999,Egyéb,Csíkszék,7,,
férfi,25-34,Igen,felsőfokú,4,4,999 RON -,Alkalmazott,Udvarhelyszék,6,,
nő,45-54,Igen,felsőfokú,4,4,1000 - 1999,Alkalmazott,Csíkszék,8,,
férfi,15-24,Igen,felsőfokú,egyedül él,3,1000 - 1999,Alkalmazott,Csíkszék,6,,
férfi,65-74,Igen,felsőfokú,2,3,1000 - 1999,Nyugdíjas,Gyergyószék,4,,
nő,35-44,Igen,felsőfokú,2,3,3000 RON +,Alkalmazott,Bardóc-Miklósvárszék,6,,
férfi,15-24,Igen,középiskola,3,2,2000 - 2999,Tanuló / diák,Csíkszék,2,,
férfi,15-24,Nem,középiskola,4,3,1000 - 1999,Alkalmazott,Csíkszék,6,,
férfi,65-74,Igen,középiskola,2,3,2000 - 2999,Nyugdíjas,Csíkszék,7,,
nő,25-34,Nem,felsőfokú,4,3,1000 - 1999,Alkalmazott,Udvarhelyszék,4,,
nő,25-34,Igen,középiskola,4,1,1000 - 1999,Alkalmazott,Csíkszék,4,,
férfi,25-34,Igen,felsőfokú,2,2,3000 RON +,Alkalmazott,Csíkszék,4,,
nő,25-34,Igen,felsőfokú,2,2,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
férfi,25-34,Igen,felsőfokú,2,4,1000 - 1999,Munkanélküli,Csíkszék,6,,
férfi,25-34,Nem,doktori,3,0,3000 RON +,Alkalmazott,Csíkszék,3,,
nő,45-54,Igen,felsőfokú,3,3,1000 - 1999,Alkalmazott,Csíkszék,6,,
nő,45-54,Igen,felsőfokú,4,1,1000 - 1999,Alkalmazott,Sepsiszék,4,,
férfi,25-34,Nem,felsőfokú,3,2,1000 - 1999,Munkanélküli,Udvarhelyszék,6,,
férfi,25-34,Igen,felsőfokú,2,2,2000 - 2999,Vállalkozó,Csíkszék,7,,
férfi,15-24,Nem,középiskola,4,3,999 RON -,Tanuló / diák,Csíkszék,4,,
nő,35-44,Igen,felsőfokú,2,3,1000 - 1999,Egyéb,Udvarhelyszék,4,,
nő,45-54,Igen,felsőfokú,2,2,999 RON -,Alkalmazott,Udvarhelyszék,5,,
férfi,45-54,Nem,felsőfokú,4,4,1000 - 1999,Alkalmazott,Udvarhelyszék,7,,
nő,35-44,Igen,doktori,4,1,999 RON -,Alkalmazott,Csíkszék,5,,
férfi,25-34,Igen,felsőfokú,2,2,1000 - 1999,Vállalkozó,Udvarhelyszék,3,,
férfi,25-34,Igen,felsőfokú,4,1,1000 - 1999,Vállalkozó,Csíkszék,8,,
nő,25-34,Igen,felsőfokú,2,3,3000 RON +,Alkalmazott,Csíkszék,5,,
férfi,25-34,Igen,felsőfokú,4,2,999 RON -,Alkalmazott,Csíkszék,6,,
nő,45-54,Igen,középiskola,2,3,1000 - 1999,Alkalmazott,Udvarhelyszék,3,,
férfi,15-24,Igen,felsőfokú,4,3,2000 - 2999,Alkalmazott,Csíkszék,3,,
nő,15-24,Nem,középiskola,5 +,4,1000 - 1999,Tanuló / diák,Csíkszék,4,,
férfi,45-54,Igen,felsőfokú,4,0,2000 - 2999,Vállalkozó,Udvarhelyszék,6,,
férfi,55-64,Igen,felsőfokú,4,3,1000 - 1999,Vállalkozó,Csíkszék,6,,
nő,45-54,Igen,felsőfokú,2,3,1000 - 1999,Alkalmazott,Csíkszék,6,,
férfi,45-54,Nem,középiskola,4,1,2000 - 2999,Alkalmazott,Csíkszék,4,,
nő,45-54,Nem,felsőfokú,3,4,1000 - 1999,Vállalkozó,Udvarhelyszék,7,,
férfi,25-34,Igen,felsőfokú,2,2,1000 - 1999,Alkalmazott,Udvarhelyszék,3,,
férfi,25-34,Nem,középiskola,3,2,2000 - 2999,Alkalmazott,Udvarhelyszék,6,,
férfi,25-34,Igen,felsőfokú,4,3,1000 - 1999,Egyéb,Udvarhelyszék,5,,
férfi,55-64,Igen,középiskola,2,3,1000 - 1999,Nyugdíjas,Sepsiszék,6,,
nő,35-44,Igen,felsőfokú,4,0,2000 - 2999,Alkalmazott,Csíkszék,4,,
férfi,35-44,Igen,felsőfokú,2,1,1000 - 1999,Alkalmazott,Csíkszék,3,,
nő,65-74,Igen,középiskola,egyedül él,0,1000 - 1999,Nyugdíjas,Gyergyószék,6,,
nő,25-34,Igen,felsőfokú,3,1,2000 - 2999,Alkalmazott,Udvarhelyszék,6,,
nő,35-44,Igen,felsőfokú,egyedül él,2,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
nő,25-34,Nem,felsőfokú,3,4,2000 - 2999,Egyéb,Csíkszék,3,,
férfi,35-44,Igen,felsőfokú,3,0,3000 RON +,Alkalmazott,Csíkszék,6,,
férfi,15-24,Igen,elemi,2,4,2000 - 2999,Tanuló / diák,Csíkszék,6,,
nő,25-34,Nem,felsőfokú,3,1,1000 - 1999,Háztartásbeli,Udvarhelyszék,4,,
férfi,45-54,Nem,felsőfokú,4,4,1000 - 1999,Alkalmazott,Csíkszék,7,,
férfi,55-64,Igen,felsőfokú,3,1,3000 RON +,Vállalkozó,Udvarhelyszék,6,,
nő,25-34,Nem,középiskola,2,3,999 RON -,Munkanélküli,Udvarhelyszék,7,,
férfi,55-64,Igen,középiskola,2,4,1000 - 1999,Nyugdíjas,Udvarhelyszék,7,,
nő,55-64,Igen,felsőfokú,3,3,1000 - 1999,Alkalmazott,Sepsiszék,6,,
nő,35-44,Nem,felsőfokú,4,3,999 RON -,Alkalmazott,Csíkszék,8,,
férfi,45-54,Igen,felsőfokú,4,3,2000 - 2999,Alkalmazott,Csíkszék,3,,
férfi,65-74,Igen,felsőfokú,2,4,1000 - 1999,Nyugdíjas,Marosszék,6,,
férfi,35-44,Igen,felsőfokú,4,0,1000 - 1999,Alkalmazott,Marosszék,5,,
férfi,65-74,Nem,felsőfokú,egyedül él,4,1000 - 1999,Nyugdíjas,Csíkszék,6,,
férfi,65-74,Igen,középiskola,2,2,1000 - 1999,Nyugdíjas,Gyergyószék,3,,
