;0;Helyezés;Helyezés;Cégnév;Alkalmazottak száma 2018;Alkalmazottak száma 2017;Alkalmazottak száma 2016;region;nr;coords;kws;cms
53;4;4;S MODE SA;274;295;341;359;felso-haromszek;4;['45.9945886', ' 26.1382797'];"['keszruhagyartas', 'nadraggyartas', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Gy\xe1r u., 3\t
54;5;6;NEXXON SRL;225;223;184;161;felso-haromszek;5;['46.0091014', ' 26.1298075'];"['gumiabroncsok', 'autogumiabroncsok-es-belsok', 'gumiabroncs-forgalmazas', 'gumiabroncs-nagykereskedes', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Orb\xe1n Bal\xe1zs u., 14\t
55;6;5;EL CO SA;220;238;250;250;felso-haromszek;6;['45.9965860', ' 26.1403790'];"['ipari-keramia', 'elektromos-futotestek', 'femszerkezetek', 'matricagyartas', 'galvanizalas', 'villamossagi-felszerelesek', 'villamossagi-biztositek', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Gy\xe1r u., 9\t
56;7;7;SECONF SA;146;144;137;122;felso-haromszek;7;['46.041994', ' 26.303440 '];"['ferfinadrag', '', '""']";527060, Bereck, Kertl\xe1b u., 154A\t
57;8;8;TORO IMPEX SRL;132;140;186;178;felso-haromszek;8;['46.0524980', ' 26.2608730'];"['vagohid', 'h\\xfasfeldolgozas', 'h\\xfas-es-hentesaru', '', 'DAR\\xc1LT H\\xdaS', 'F\\xdcST\\xd6LT', 'F\\xd5TT TARJA', 'F\\xdcST\\xd6LT CS\\xdcL\\xd6K', 'KABANOS KOLB\\xc1SZ', 'H\\xc1ZI PARASZTKOLB\\xc1SZ', 'LENGYELKOLB\\xc1SZ', 'S\\xdcTNIVAL\\xd3 KOLB\\xc1SZ', 'CSABAI KOLB\\xc1SZ', 'F\\xdcST\\xd6LT CSONT', 'SERT\\xc9S VIRSLI', 'F\\xdcST\\xd6LT', 'F\\xd5TT COMB', 'F\\xdcST\\xd6LT', 'F\\xd5TT COMB', 'F\\xdcST\\xd6LT', 'F\\xd5TT KARAJ', 'SERT\\xc9S P\\xc1RIZSI', 'SONK\\xc1S P\\xc1RIZSI', 'PAPRIK\\xc1S SZAL\\xc1MI', 'SERT\\xc9SSZAL\\xc1MI', 'TORO SZAL\\xc1MI', 'F\\xdcST\\xd6LT H\\xc1ZISZALONNA', 'B\\xd5RSAJT""']";527110, Lemh\xe9ny, F\xf5 u., 357\t
58;9;12;IMPERIAL HOTEL MANAGEMENT SRL;127;108;76;47;felso-haromszek;9;['46.1163830', ' 25.9449430'];"['hotelek', 'szallasolas', '', '""']";527160, B\xe1lv\xe1nyosf\xfcrd\xf5, , Km 23 DN 11C\t
59;10;9;SKAT KART SRL;125;130;131;139;felso-haromszek;10;['46.009080 ', ' 26.129703 '];"['femb\\xfatorok', 'femszerkezetek', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Orb\xe1n Bal\xe1zs u., 16\t
60;11;10;TOP STAR 2000 SRL;125;123;123;119;felso-haromszek;11;['45.849575', ' 26.200451'];"['hotelek', 'szallasolas', '', '""']";525200, Kov\xe1szna, Eminescu,Mihai u., 225A\t
61;12;13;TURISM COVASNA SA;115;105;99;83;felso-haromszek;12;['45.844993 ', ' 26.166816 '];"['gyogykezelesek', 'hotelek', '', '""']";525200, Kov\xe1szna, 1918. December 1. u., 1-2\t
62;13;16;CONI TRANS EXPORTPACKAGING SRL;89;79;71;-;felso-haromszek;13;['45.851700', ' 26.182911'];"['csomagolastechnika', '', '""']";525200, Kov\xe1szna, Nagy\xe1llom\xe1s u., 32\t
63;14;17;JULIUS MEINL ROMANIA SRL;79;74;63;58;felso-haromszek;14;['45.994589 ', ' 26.138280 '];"['kaveimport', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Gy\xe1r u., 1A\t
64;15;14;POLIPROD SA;79;85;71;70;felso-haromszek;15;['45.994589 ', ' 26.138280 '];"['femmegmunkalas', 'munkagepek', '', 'f\\xe9mfeldolgoz\\xe1s', 'f\\xe9mforg\\xe1csol\\xe1s', 'homok rakod\\xf3k gy\\xe1rt\\xe1sa', 'h\\xf3eke', 'markol\\xf3k', 'sim\\xedt\\xf3 ek\\xe9k', 'Caterpillar', 'Aztec', 'Mecalac', 'JCB', 'Mailleux', 'Miller', 'Volvo', 'Pompes Eva', 'SRN Roulements', 'Bombardier', 'Bouygues', 'Aramine""']";525400, K\xe9zdiv\xe1s\xe1rhely, Gy\xe1r u., 1\t
65;16;15;EUROCOV SRL;73;80;78;69;felso-haromszek;16;['45.853539', ' 26.176332'];"['fakitermeles', 'tuzifa', '', '""']";525200, Kov\xe1szna, Als\xf3 P\xe1va u., 25\t
66;17;11;NAPA MODE SRL;70;113;118;118;felso-haromszek;17;[' 45.849511', ' 26.168940'];"['nadraggyartas', '', '""']";525200, Kov\xe1szna, Mesterek u., 6\t
67;18;18;GOSP COM SRL;69;73;73;75;felso-haromszek;18;['46.006966 ', ' 26.139653 '];"['vizellatas', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Budai Nagy Antal u., 1\t
68;19;19;PRODUCTIE BINGO SRL;67;62;61;59;felso-haromszek;19;['45.9409900', ' 26.2422930'];"['kenyer-es-pekaru', 'peksegek', '', '""']";527090, Gelence, F\xf5 u., 80\t
69;20;21;BIOFARM SRL;64;55;48;30;felso-haromszek;20;['45.990760', ' 26.137419'];"['kukoricaszaritas', 'mezogazdasag-es-novenytermesztes', 'novenyvedo-szerek', 'vegyszerek', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, \xc1llom\xe1s u., 56\t
70;21;20;DDCA ROMANIA SRL;58;56;56;48;felso-haromszek;21;['45.8842830', ' 26.1156100'];"['csomagolastechnika', 'raklapok', '', '""']";527193, Sz\xe9kelytam\xe1sfalva, , 21\t
71;22;;TTS COVASNA SRL;58;-;-;-;felso-haromszek;22;['45.84613', ' 26.21566'];"['hotelek', '', '""']";525200, Kov\xe1szna, Eminescu,Mihai u., 225\t
72;23;23;PRESTARI SERVICII ISTVANA SRL;50;52;53;53;felso-haromszek;23;['45.998078', ' 26.127823'];"['ajto-ablakgyartas', 'nyilaszarok', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Pet\xf5fi S\xe1ndor u., 9\t
73;24;25;MORARIT SI PANIFICATIE LUKACS COMPANY SRL;49;50;48;47;felso-haromszek;24;['46.055126 ', ' 26.125488 '];"['elelmiszerek', 'kozmetikai-cikkek', 'vegyes-uzletek', '', '""']";527153, K\xe9zdisz\xe1razpatak, F\xf5 u., 268/A\t
74;25;27;EUROCONSTRUCT SRL;47;44;44;45;felso-haromszek;25;['45.9978120', ' 26.1590580'];"['arufuvarozas', 'beton', 'cement', 'cserep-es-tegla', 'epitoanyag-lerakatok', 'glettek-es-nemesvakolatok', 'festekek-es-lakkok', 'zartszelveny', 'homok-es-kavics', 'betonvas', '', 'festekek', 'lakkok', 'betontelep', 'cement', 'vas', 'mesz', 'cserep', 'tegla', 'ragaszto', 'glettek', 'nemes vakolat', 'zart szelvenyek', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, M\xe1jus 1. u., 3\t
75;26;26;MONTECLAS SRL;47;47;45;29;felso-haromszek;26;['45.7566470', ' 26.2730090'];"['erdeszeti-kitermeles', '', '""']";527080, Kommand\xf3, , 33\t
76;27;24;MONTANA TRANS SRL;46;50;50;55;felso-haromszek;27;['45.834284', ' 26.070654'];"['b\\xfatorgyartas', 'fafeldolgozas', '', '""']";527050, Bar\xe1tos, F\xf5 u., 31B\t
77;28;39;ZABOLA ESTATE SRL;45;31;25;23;felso-haromszek;28;['45.8915563', ' 26.1980287'];"['hotelek', 'kastelyszallo', 'vendeglatas', '', '""']";527190, Zabola, , 437\t
78;29;30;TRANSGAT SRL;44;41;41;38;felso-haromszek;29;['45.853539 ', ' 26.176332 '];"['belfoldi-fuvarozas', 'kul--es-belfoldi-aruszallitas', 'lamberia', '', '""']";525200, Kov\xe1szna, Als\xf3 P\xe1va u., 18\t
79;30;28;CULTILIS SRL;43;43;54;54;felso-haromszek;30;['46.0002190', ' 26.1431640'];"['allattenyesztes', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Temet\xf5 u., 29/2\t
80;31;37;PRODUCTIE VOINA SRL;43;35;39;28;felso-haromszek;31;['46.0512490', ' 26.0422420'];"['fakitermeles', '', '""']";527160, Torja, F\xf5 u., 636\t
81;32;33;PROMOBIL SRL;43;40;39;40;felso-haromszek;32;['45.9992120', ' 26.1268710'];"['b\\xfator-rendelesre', 'b\\xfatorkereskedelem', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, R\xf3zsapall\xf3 u., 4\t
82;33;29;TRANSGAT SORT SRL;41;43;41;36;felso-haromszek;33;['45.996073', ' 26.126124'];"['homok-es-kavics', '', '""']";525200, Kov\xe1szna, Eminescu,Mihai u., 116\t
83;34;32;PRODUCTIE GARO SRL;40;40;36;37;felso-haromszek;34;['46.009080 ', ' 26.129703 '];"['csavarok-es-kotoelemek', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Orb\xe1n Bal\xe1zs u., 18\t
84;35;49;PRESTARI SERVICII CONI TRANS SRL;39;27;30;83;felso-haromszek;35;['45.851700', ' 26.182911'];"['allattenyesztes', '', '""']";525200, Kov\xe1szna, Nagy\xe1llom\xe1s u., 32\t
85;36;34;GOS TRANS COM SRL;37;37;36;36;felso-haromszek;36;['45.848660', ' 26.171202'];"['hulladekgazdalkodas', '', '""']";"525200, Kov\xe1szna, &#350;tefan cel Mare u., 2\t"
86;37;36;SLAGER SRL;36;36;36;32;felso-haromszek;37;['46.001851', ' 26.145744'];"['arufuvarozas', 'hutott-aru-szallitasa', 'nemzetkozi-aruszallitas', 'nemzetkozi-fuvarszervezes', 'spedicio', 'szallitas', 'szallitmanyozas', '', 'Textil \\xe1ru fuvaroz\\xe1sa', '1kg-t\\xf3l 40t-ig \\xe1ru sz\\xe1ll\\xedt\\xe1s""']";525400, K\xe9zdiv\xe1s\xe1rhely, V\xe1g\xf3h\xedd u., 33\t
87;38;>50;BENZ MAR SRL;35;24;28;25;felso-haromszek;38;['46.040239', ' 26.063746'];"['benzinkutak', 'uzemanyagok', '', '""']";527160, Torja, F\xf5 u., sz.n. - f.n.\t
88;39;31;FORTUNAFOREST SRL;35;40;41;47;felso-haromszek;39;['45.852373', ' 26.187329'];"['fahazak', 'hajopadlo', '', '""']";525200, Kov\xe1szna, H\xf5s\xf6k u., 9\t
89;40;40;ROGER SRL;34;30;26;25;felso-haromszek;40;['45.990760', ' 26.137419'];"['lakokocsi-forgalmazas', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, \xc1llom\xe1s u., 38\t
90;41;41;TRANS INTEX SRL;34;30;19;11;felso-haromszek;41;['46.0091210', ' 26.1298260'];"['szemelyszallitas', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Orb\xe1n Bal\xe1zs u., 7\t
91;42;22;DAMICOV SRL;33;53;57;57;felso-haromszek;42;['45.848660', ' 26.171202 '];"['kereskedelem', '', '""']";"525200, Kov\xe1szna, &#350;tefan cel Mare u., 132\t"
92;43;35;RO D TRANSPORT SRL;31;37;29;41;felso-haromszek;43;['45.990760', ' 26.137419'];"['nemzetkozi-szemelyszallitas', 'szemelyszallitas', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, \xc1llom\xe1s u., 89\t
93;44;43;DARI DEN SRL;29;29;26;27;felso-haromszek;44;['45.846955 ', ' 26.180297 '];"['gpl', '', '""']";525200, Kov\xe1szna, Pet\xf5fi S\xe1ndor u., 95\t
94;45;38;PROFITON SRL;28;31;31;27;felso-haromszek;45;['46.0020594', ' 26.12925949999999'];"['media', 'napilapok', 'sajto', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Margar\xe9ta u., 1/8B1\t
95;46;44;WONDERLAND SRL;28;29;28;29;felso-haromszek;46;['46.040239', ' 26.063746'];"['epitkezes', '', '""']";527160, Torja, F\xf5 u., 225\t
96;47;>50;BUJDOSO SRL;27;24;23;20;felso-haromszek;47;['46.002119 ', ' 26.138105 '];"['ettermek', 'vendeglok', 'rendezvenyek', 'rendezvenyszervezes', 'nyarikertek', 'napi-menu', '', 'ESK\\xdcV\\xd5S TEREM', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, 34-es Udvart\xe9r, 2\t
97;48;48;COMERT FUBOR SRL;27;27;24;23;felso-haromszek;48;['45.9409900', ' 26.2422930'];"['fakereskedelem', '', '""']";527090, Gelence, , 1136\t
98;49;42;COVASNALOG SRL;27;29;26;22;felso-haromszek;49;['45.850393', '  26.156173'];"['logisztika', 'raktarozas', '', '""']";525200, Kov\xe1szna, \xc1llom\xe1s utca, sz.n.\t
99;50;50;ROTRANS SRL;27;26;24;22;felso-haromszek;50;['46.050000', ' 26.266667'];"['logisztika', 'szallitasszervezes', '', '""']";527110, Lemh\xe9ny, F\xf5 u., 358\t
100;1;1;IRIS SERVICE CIUC SA;1 129;1 217;1 181;1 149;csikszek;1;['46.3597460', ' 25.7903730'];"['agyak', 'asztalosmunkak', 'butorgyartas', 'szekgyartas', 'szekrenyek', '', '""']";530144, Cs\xedkszereda, Vad\xe1sz u., 4\t
101;2;2;PERLA HARGHITEI SA;391;369;346;331;csikszek;2;['46.3120800', ' 25.8210600'];"['asvanyviz', '', '""']";537265, Cs\xedkszentkir\xe1ly, \xc1llom\xe1s u., 600\t
102;3;4;IMPERIAL WET SRL;373;320;61;1;csikszek;3;['46.3818200', ' 25.8184380'];"['nemzetkozi-aruszallitas', '', '""']";530224, Cs\xedkszereda, Tas Vez\xe9r u., 5\t
103;4;3;HARMOPAN SA;353;345;354;356;csikszek;4;['46.3651320', ' 25.7858560'];"['kenyeruzletek', 'peksegek', 'pektermekek', '', '""']";530154, Cs\xedkszereda, Hargita u., 46\t
104;5;5;TEHNO SISTEM ALARM SRL;231;251;83;4;csikszek;5;['46.3592720', ' 25.7976680'];"['orzo-vedo-szolgaltatasok', '', '""']";530131, Cs\xedkszereda, Sadoveanu, Mihail u., 17\t
105;6;10;HARVIZ SA;206;156;156;157;csikszek;6;['46.3624670', ' 25.7878160'];"['viz--es-csatornaszolgaltato', '', '""']";530153, Cs\xedkszereda, Ak\xe1cfa u., 1\t
106;7;19;CONFECTIA MIERCUREA CIUC SA;205;94;9;11;csikszek;7;['46.358269 ', ' 25.812759 '];"['keszruhagyartas', 'keszruhak', 'konfekcio', 'konfekcioipar', 'textilipar', '', '""']";530190, Cs\xedkszereda, Szentl\xe9lek u., 39\t
