;0;Helyezés;Helyezés;Cégnév;Alkalmazottak száma 2018;Alkalmazottak száma 2017;Alkalmazottak száma 2016;region;nr;coords;kws;cms
107;8;7;IMPEX AURORA SRL;174;168;180;226;csikszek;8;['46.3592080', ' 25.7965000'];"['epitkezes', 'epitoanyagok', '', '""']";530131, Cs\xedkszereda, V\xf6r\xf6smarty Mih\xe1ly u., 26\t
108;9;9;HAROLT SOCIETATE COOPERATIVA;160;159;144;160;csikszek;9;['46.3576670', ' 25.8047040'];"['keszruhagyartas', 'textilipar', '', '""']";530210, Cs\xedkszereda, Pet\xf5fi S\xe1ndor u., 53\t
109;10;12;APEMIN TUSNAD SA;158;143;136;137;csikszek;10;['46.2068660', ' 25.9119480'];"['asvanyviz-palackozas', '', '""']";537336, \xdajtusn\xe1d, \xc1llom\xe1s u., 599\t
110;11;13;CROWN COOL SRL;150;142;132;118;csikszek;11;['46.3821470', ' 25.7997740'];"['hutestechnika', 'hutogepek-forgalmazasa', 'ipari-hutok', '', '""']";530240, Cs\xedkszereda, Taploca u., 155\t
111;12;11;L ATELIER DE L ORANGERIE SRL;144;150;153;151;csikszek;12;['46.3700550', ' 25.8090150'];"['textilipar', '', '""']";530200, Cs\xedkszereda, Sz\xe9k u., 1\t
112;13;6;LACTATE HARGHITA SA;143;171;152;137;csikszek;13;['46.3579310', ' 25.8158730'];"['tejfeldolgozas', 'tejtermekek', '', '""']";530190, Cs\xedkszereda, Szentl\xe9lek u., 49\t
113;14;14;ING SERVICE SRL;131;114;133;127;csikszek;14;['46.3663050', ' 25.7729640'];"['\\xfat--es-hidepites', 'utak-es-hidak', '', '""']";530153, Cs\xedkszereda, Hajnal u., 73\t
114;15;16;IFPTR SRL;128;109;204;66;csikszek;15;['46.3622660', ' 25.8010930'];"['soforiskolak', '', '""']";530230, Cs\xedkszereda, Kossuth Lajos u., 22-24\t
115;16;>50;HARGHITA RETAIL SRL;120;7;0;0;csikszek;16;['46.35562', ' 25.81252'];"['elelmiszer-kereskedelem', '', '""']";530172, Cs\xedkszereda, Testv\xe9ris\xe9g sgt., 24-26\t
116;17;17;LIXID PROJECT SRL;112;100;86;49;csikszek;17;['46.2578590', ' 25.8863470'];"['sornagykereskedes', '', '""']";537285, Cs\xedkszentsimon, , 575\t
117;18;15;HARPLAST SRL;107;113;103;94;csikszek;18;['46.3655810', ' 25.7841370'];"['haztartasi-cikkek', 'muanyag-termekek', 'muanyagfroccsentes', 'muanyagok', '', '""']";530154, Cs\xedkszereda, Hargita u., 69\t
118;19;8;IN COM EURO SRL;100;160;160;160;csikszek;19;['46.4932010', ' 25.7458350'];"['peksegek', 'pektermekek', '', '""']";537071, Cs\xedkmadaras, F\xf5 u., 10\t
119;20;22;DIS. PROD. SRL;97;89;98;110;csikszek;20;['46.3706630', ' 25.7505370'];"['b\\xfatorfestes', '', '""']";530152, Cs\xedkszereda, Hargita u., 97\t
120;21;20;TUSNAD SA;97;94;94;93;csikszek;21;['46.146941 ', ' 25.860563 '];"['barok', 'ettermek', 'hotelek', 'szallodak', '', '""']";535100, Tusn\xe1df\xfcrd\xf5, Olt u., 87\t
121;22;24;ECO CSIK SRL;95;88;86;85;csikszek;22;['46.3624670', ' 25.7878160'];"['hulladekgazdalkodas', 'hulladekhasznositas', '', '""']";530153, Cs\xedkszereda, Ak\xe1cfa u., 1\t
122;23;21;MINERAL QUANTUM SRL;92;92;87;85;csikszek;23;['46.3120800', ' 25.8210600'];"['asvanyviz', 'asvanyviz-forgalmazas', '', '""']";537265, Cs\xedkszentkir\xe1ly, , 600\t
123;24;23;DAKOTA SECURITY SERVICE SRL;91;88;75;74;csikszek;24;['46.3621000', ' 25.7935200'];"['orzo-vedo-szolgaltatasok', '', '""']";530150, Cs\xedkszereda, Villanytelep u., 2\t
124;25;27;UNIO LUNCA SRL;87;74;70;72;csikszek;25;['46.5592880', ' 25.9541230'];"['peksegek', '', '""']";537152, S\xf6t\xe9tpatak, F\xf5 u., 138\t
125;26;25;M. TABAC SRL;82;82;80;68;csikszek;26;['46.3706630', ' 25.7505370'];"['dohanyaru-nagykereskedes', 'dohanyaruk', '', '""']";530152, Cs\xedkszereda, Hargita u., 97\t
126;27;28;MIDA SRL;80;74;70;68;csikszek;27;['46.3483024', ' 25.8027760'];"['automarka-kepviselet', 'autoszervizek', '', '""']";530141, Cs\xedkszereda, Brass\xf3i u., 67\t
127;28;29;LEMN PROD EX COM SA;74;73;70;68;csikszek;28;['46.5305690', ' 25.7615350'];"['b\\xfatorgyartas', '', '""']";537035, Cs\xedkkarcfalva, F\xf5 u., 100\t
128;29;32;COM ZOLD FENYO SRL;71;65;62;58;csikszek;29;['46.3706630', ' 25.7505370'];"['butorcentrum', 'butorgyartas', 'b\\xfatorok', 'karpitozott-butorgyartas', 'szivacslapok', '', '""']";530152, Cs\xedkszereda, Hargita u., 97\t
129;30;31;ISAPUR SRL;66;66;;61;csikszek;30;['46.4374820', ' 25.7531520'];"['aruhazak', 'bevasarlokozpontok', 'elelmiszerek', 'szupermarketek', 'vegyes-uzletek', '', '""']";537295, Mad\xe9falva, F\xf5 u., 780\t
130;31;>50;BAVARIA MAGLINE SRL;60;43;23;5;csikszek;31;['46.3654150', ' 25.8008850'];"['hasznalt-ruhak', 'hasznaltauto-kereskedes', '', '""']";530212, Cs\xedkszereda, Sz\xedv u., 9/B/1\t
131;32;36;METAGALAX SRL;60;58;64;58;csikszek;32;['46.3735850', ' 25.8003890'];"['eszterga--es-marosmunka', 'tervezes', '', '""']";530241, Cs\xedkszereda, H\xe1rsfa u., 19/A\t
132;33;26;SICULUS BAU SRL;57;74;68;59;csikszek;33;['46.3602170', ' 25.7969440'];"['epitkezes', 'epitkezes-a-tol-z-ig', 'epuletfel\\xfajitas', '', '""']";530130, Cs\xedkszereda, V\xf6r\xf6smarty Mih\xe1ly u., 16\t
133;34;34;JAMARO SRL;57;62;51;51;csikszek;34;['46.146941', ' 25.860563'];"['abc-uzletek', 'elelmiszerek', 'elelmiszeruzletek', 'vegyes-uzletek', '', '""']";535100, Tusn\xe1df\xfcrd\xf5, Olt u., 85 (f\xf6ldszint)\t
134;35;;MAX PROTECT SECURITY SRL;57;93;99;93;csikszek;35;['46.3622660', ' 25.8010930'];"['orzo-vedo-szolgaltatasok', '', '""']";530230, Cs\xedkszereda, Kossuth Lajos u., 22/A/4\t
135;36;35;EMER COM SRL;56;59;60;65;csikszek;36;['46.3625120', ' 25.7877480'];"['epitkezes', 'epitoanyag-lerakatok', 'epitoanyagok', 'furdoszoba-berendezesek', 'ipari-termekek', '', '""']";530153, Cs\xedkszereda, Ak\xe1cfa u., 3/B\t
136;37;49;DISTRIB PLUS SRL;52;45;39;28;csikszek;37;['46.3759820', ' 25.7353140'];"['ital-nagykereskedes', 'italkereskedes', '', '""']";530152, Cs\xedkszereda, Hargita u., 157\t
137;38;39;FENYO SRL;51;49;56;48;csikszek;38;['46.3586660', ' 25.8007240'];"['ettermek', 'szallodak', '', '""']";"530132, Cs\xedkszereda, B&#259;lcescu, Nicolae u., 11\t"
138;39;37;UNIC TRIO SRL;51;54;56;55;csikszek;39;['46.6556100', ' 25.8063930'];"['kenyer-es-pekaru', 'pektermekek', '', '""']";535200, Bal\xe1nb\xe1nya, 1918. December 1. u., 32/E\t
139;40;50;ENETIX SOFTWARE SRL;48;45;36;28;csikszek;40;['46.3710880', ' 25.8102030'];"['informatika', 'szoftverek', '', '""']";530111, Cs\xedkszereda, Sz\xe9k u., 7/A\t
140;41;45;MARIEN PRESSZO SRL;48;47;44;39;csikszek;41;['46.3584230', ' 25.8053230'];"['cukraszdak', 'sutemenyek-es-tortak', 'tortak', 'tortak-es-sutemenyek', '', '""']";530210, Cs\xedkszereda, Pet\xf5fi S\xe1ndor u., 34\t
141;42;43;SET PROD COM SRL;48;48;46;44;csikszek;42;['46.3578860', ' 25.8111240'];"['epitoanyagok', 'belsoepiteszet', '', '""']";530190, Cs\xedkszereda, Szentl\xe9lek u., 49/B\t
142;43;>50;FORESTARON SRL;46;43;42;37;csikszek;43;['46.5274470', ' 25.9579250'];"['fafeldolgozas', 'fureszaru', '', '""']";537155, Gyimesfels\xf5lok, F\xf5 u., 605\t
143;44;42;PRODIA SRL;46;48;58;57;csikszek;44;['46.364429 ', ' 25.798935 '];"['ver-analizisek', 'egeszsegugyi-intezmenyek', 'hematologiai-vizsgalat', 'koagulacios-vizsgalat', 'biokemiai-vizsgalat', 'immunologia-vizsgalat', 'bakteriologiai-vizsgalat', 'mikrobiologiai-vizsgalat', 'orvosi-laboratoriumok', '', '""']";530225, Cs\xedkszereda, Sz\xedv u., 12/8\t
144;45;>50;AFEROM TRANS SRL;45;42;39;38;csikszek;45;['46.361412', ' 25.786071'];"['belfoldi-teherfuvarozas', 'kulfoldi-teherfuvarozas', '', '""']";530153, Cs\xedkszereda, Ak\xe1cfa u., 3A\t
145;46;48;CONSIGNATIA KORALL SRL;45;45;40;37;csikszek;46;['46.3603200', ' 25.7991930'];"['ettermek', 'gyorsettermek', 'vendeglok', '', '""']";530103, Cs\xedkszereda, Piac u., 4\t
146;47;38;CSILLAG SRL;45;49;102;116;csikszek;47;['46.571134', ' 25.976961'];"['ettermek', 'hotelek', 'konferenciaterem', 'panziok', 'szallasolas', 'szallodak', 'turisztikai-szolgaltatasok', 'vendeglok', '', 'Kozmetika', 'fodr\\xe1szatok', 'szaun\\xe1k', 'fitness', 'jakuzzi""']";537145, Gyimesk\xf6z\xe9plok, F\xf5 u., 634\t
147;48;>50;MODEL SYSTEM SRL;45;45;29;29;csikszek;48;['46.4932010', ' 25.7458350'];"['aruszallitas', '', '""']";537071, Cs\xedkmadaras, , 701\t
148;49;>50;PRIMULA SRL;45;42;41;39;csikszek;49;['46.266350 ', ' 25.949280 '];"['pekaru', 'pekipar', 'peksegek', 'pektermekek', '', '""']";537280, Cs\xedkszentm\xe1rton, F\xf5 u., 367\t
149;50;>50;RDE HURON SRL;42;37;40;39;csikszek;50;['46.3509660', ' 25.8005250'];"['hulladekbegyujtes', 'hulladekhasznositas', 'szallitas', '', '""']";530111, Cs\xedkszereda, Bolyai u., 31\t
150;1;1;IKOS CONF SA;852;973;1 063;1 083;udvarhelyszek;1;['46.289768 ', ' 25.290034 '];"['keszruhagyartas', 'konfekcioipar', 'ruhauzletek', '', '""']";535600, Sz\xe9kelyudvarhely, R\xe1k\xf3czi Ferenc u., 40\t
151;2;2;NORADA SA;847;885;897;893;udvarhelyszek;2;['46.321000 ', ' 25.316920 '];"['keszruhagyartas', 'konfekcioipar', '', '""']";535600, Sz\xe9kelyudvarhely, Bethlenfalvi \xfa., 225\t
152;3;3;AMIGO & INTERCOST SRL;724;786;724;620;udvarhelyszek;3;['46.314643 ', ' 25.304518 '];"['ital-nagykereskedes', 'szeszes-ital-nagykereskedes', 'szeszes-italok', 'sornagykereskedes', '', '""']";535600, Sz\xe9kelyudvarhely, F\xe1sok u., 1A\t
153;4;4;ELAN TRIO SRL;513;529;660;669;udvarhelyszek;4;['46.289766', ' 25.290058'];"['elelmiszer-kereskedelem', 'elelmiszer-nagykereskedes', 'elelmiszerek', 'vegyes-uzletek', '', '""']";535600, Sz\xe9kelyudvarhely, R\xe1k\xf3czi Ferenc u., 90\t
154;5;5;COATS ROMANIA SRL;426;435;388;399;udvarhelyszek;5;['46.318101', ' 25.310742'];"['cernagyartas', 'textilipar', 'textilipari-kiegeszitok', '', '""']";"535600, Sz\xe9kelyudvarhely, B&#259;lcescu, Nicolae u., 2\t"
155;6;6;FAMOS SA;392;417;453;452;udvarhelyszek;6;['46.309722 ', ' 25.297480 '];"['b\\xfatorgyartas', 'b\\xfatorkereskedelem', '', '""']";535600, Sz\xe9kelyudvarhely, V\xe1s\xe1rt\xe9r u., 6\t
156;7;7;INFOPRESS GROUP SA;366;329;338;340;udvarhelyszek;7;['46.3290635', ' 25.3225476'];"['nyomdak', '', '""']";535600, Sz\xe9kelyudvarhely, Gutenberg t\xe9r, 1\t
157;8;9;MELINDA IMPEX INSTAL SRL;284;275;253;222;udvarhelyszek;8;['46.321000 ', ' 25.316920 '];"['epuletgepeszet', 'furdoszoba-berendezesek', 'napelemek', 'villamossag', '', '""']";535600, Sz\xe9kelyudvarhely, Bethlenfalvi \xfa., 314\t
158;9;8;OLIMPIC IMPORT EXPORT SRL;277;285;173;;udvarhelyszek;9;['46.3252760', ' 25.3151270'];"['autoszervizek', '', '""']";535600, Sz\xe9kelyudvarhely, Kadicsfalvi u., 25\t
159;10;10;GORDON PROD SRL;220;214;218;208;udvarhelyszek;10;['46.364486', ' 25.241958'];"['sajtgyartas', 'tejfeldolgozas', 'tejtermekek', '', '""']";537166, Sz\xe9kelyszentl\xe9lek, F\xf5 u., 2A\t
160;11;11;SELWERK SRL;209;207;201;171;udvarhelyszek;11;['46.3162060', ' 25.3064480'];"['femmegmunkalas', 'ontodek', '', '""']";535600, Sz\xe9kelyudvarhely, F\xe1sok u., 14/40\t
161;12;12;ALT TECHNOLOGIES TRANSYLVANIA SRL;204;198;186;176;udvarhelyszek;12;['46.385158', ' 25.216672'];"['legzsakgyartas', '', '""']";537165, Farkaslaka, , DN 13A 648\t
162;13;14;CETATE PRODUCTION SRL;203;193;173;161;udvarhelyszek;13;['46.850000 ', ' 25.433333 '];"['partisatrak', 'sorgarnit\\xfarak', 'sorsatorok-berlese', '', '""']";537364, Zetev\xe1ralja, F\xf5 u., 201/A\t
163;14;15;SZEL MOB SRL;181;183;184;175;udvarhelyszek;14;['46.282339', ' 25.027649'];"['b\\xfatorgyartas', '', '""']";535400, Sz\xe9kelykereszt\xfar, Berde M\xf3zes u., 61\t
164;15;>50;PRIMA PRESS SRL;169;5;6;6;udvarhelyszek;15;['46.30924', ' 25.30034'];"['filmkidolgozas', 'fotokonyv', 'hirportalok', 'lapkiadas', 'lapterjesztes', 'media', 'napilapok', 'reklamlap-terjesztes', 'reklamtevekenysegek', 'sajto', 'szerkesztosegek', '\\xfajsagok', '', '""']";535600, Sz\xe9kelyudvarhely, Bethlen G\xe1bor u., 55\t
165;16;16;DECORATION & LIGHTING GRUP SRL;159;168;142;136;udvarhelyszek;16;['46.297967 ', ' 25.035278'];"['dekoraciok', 'teremdiszites', 'vilagitastechnika', '', '""']";535400, Sz\xe9kelykereszt\xfar, Berde M\xf3zes u., 55C\t
166;17;17;MELINDA IMPEX STEEL SRL;159;154;150;148;udvarhelyszek;17;['46.321000 ', ' 25.316920 '];"['zartszelveny', 'csovek', 'profilok', 'hengerelt-termekek', 'lemezek', 'keriteshalo', 'betonacel', 'lemezleszabas', 'tablasitas', '', '\\xdeEAV\\xc3 RECTANGULAR\\xc3 \\xaaI P\\xc3TRAT\\xc3', '\\xdeEAV\\xc3 CONSTRUC\\xdeII', '\\xdeEAV\\xc3 NEAGR\\xc3', '\\xdeEAV\\xc3 ZINCAT\\xc3', 'PROFILE', 'LAMINATE', 'TABLE', 'PLAS\\xc3 SUDAT\\xc3', 'O&#538;EL BETON', 'SERVICII DE DEBITARE A TABLEI', 'HOLLOW SECTIONS', 'STRUCTURAL PIPES', 'PRESSURE TESTED PIPES', 'GALVANIZED PIPES', 'STEEL PROFILES', 'MERCHANT BARS', 'STEEL SHEETS', 'WELDED MESH', '', 'CUT TO LENGTH SERVICES OF STEEL COILS""']";535600, Sz\xe9kelyudvarhely, Bethlenfalvi \xfa., 314\t
167;18;18;ARAMIS RO SRL;156;152;141;143;udvarhelyszek;18;['46.311619 ', ' 25.306127 '];"['biztonsagtechnika', 'orzo-vedo-szolgaltatasok', '', '""']";535600, Sz\xe9kelyudvarhely, Ifj\xfas\xe1g bej\xe1rat, 1/3\t
168;19;22;APC UNIVERSAL PARTNER SRL;144;139;1;-;udvarhelyszek;19;['46.3169344', ' 25.3133555'];"['barkacs--es-vastermekek', '', '""']";535600, Sz\xe9kelyudvarhely, Lakatosok u., 8C/10\t
169;20;19;VIADUCT SRL;144;151;157;135;udvarhelyszek;20;['46.3228211', ' 25.3207769'];"['epitkezes', 'ipari-csarnokok-epitese', 'kanalizalasi-rendszerek', '\\xfat--es-hidepites', '', '""']";535600, Sz\xe9kelyudvarhely, Bethlenfalvi \xfa., 195/C\t
170;21;20;ABC IMPEX SRL;139;145;132;132;udvarhelyszek;21;['46.289768 ', ' 25.290034 '];"['csomagoloanyagok', 'nyomdak', '', '""']";535600, Sz\xe9kelyudvarhely, R\xe1k\xf3czi Ferenc u., 98\t
171;22;21;MOBILCOM IMPEX SRL;127;143;136;128;udvarhelyszek;22;['46.301410', ' 25.288944'];"['ajto-ablakgyartas', 'nyilaszarok', '', '""']";535600, Sz\xe9kelyudvarhely, 1918. December 1. u., 7\t
172;23;28;MULTIPLAND SRL;122;106;99;100;udvarhelyszek;23;['46.321000 ', ' 25.316920 '];"['epitkezes', '\\xfat--es-hidepites', '', '""']";535600, Sz\xe9kelyudvarhely, Budv\xe1r u., 35\t
173;24;24;NYKO SRL;118;120;118;113;udvarhelyszek;24;['46.3295821', ' 25.3313926'];"['epitkezesi-allvanyrendszerek', 'epitoipari-femszerkezetek', 'hegesztett-femszerkezetek', 'acelszerkezetek', 'aluminium-profilok', 'homlokzati-allvanyrendszerek', 'femmegmunkalas', 'femfeldolgozas', 'hegesztes', 'vasszerkezetek-epitese', '', '""']";535600, Sz\xe9kelyudvarhely, Bethlenfalvi \xfa., 229\t
174;25;25;GRANIT IMPEX SRL;116;116;113;112;udvarhelyszek;25;['46.341161', ' 25.340794'];"['ferfidivataru', 'gyerek-fehernemu', 'noi-fehernemu', 'varrodak', '', 'BOXER', 'TANGA', 'ALSO', 'TOP', 'CHILOT', 'MAIOU', 'ATLETA', 'ZOKNI', 'SOSETE', 'INDISPENSABILI', 'JEGERALSO', 'JEGER', 'JEGERFELSO', 'NOI TOP', 'MELLTARTO', 'MR.BIG', 'MRBIG', '""']";537025, Feny\xe9d, F\xf5 u., 160-161\t
175;26;23;RDE HARGHITA SRL;116;121;122;114;udvarhelyszek;26;['46.339628', ' 25.37967'];"['hulladekgazdalkodas', 'hulladekhasznositas', '', '""']";537026, Sz\xe9kelyudvarhely, Cekend tet\xf5, 0\t
176;27;26;TABULA SRL;111;116;118;106;udvarhelyszek;27;['46.289768 ', ' 25.290034 '];"['ajto-ablakgyartas', 'ajtogyartas', 'ajtoforgalmazas', 'ablakforgalmazas', 'ablakgyartas', '', '""']";535600, Sz\xe9kelyudvarhely, R\xe1k\xf3czi Ferenc u., 112\t
177;28;29;ELKA INTERNATIONAL SRL;104;103;120;9;udvarhelyszek;28;['46.291667', ' 25.035278'];"['nemzetkozi-aruszallitas', 'raktarozas', 'szallitmanyozas', 'vamszolgaltatasok', '', '""']";535400, Sz\xe9kelykereszt\xfar, Hargita u., 6\t
178;29;36;EURO ECOLOGIC SRL;100;87;77;63;udvarhelyszek;29;['46.350000 ', ' 25.530000 '];"['mobil-wc', 'mozgo-toalett', '', '""']";535807, Szentegyh\xe1za, Mihai Eminescu u., 9/18\t
179;30;30;MATPLAST SRL;92;99;99;97;udvarhelyszek;30;['46.318101', ' 25.310742'];"['femmegmunkalas', 'matricagyartas', 'szerszamgyartas', '', '""']";535600, Sz\xe9kelyudvarhely, Nicolae B\xe3lcescu u., 79/B\t
180;31;39;POEM DESIGN SRL;92;84;101;80;udvarhelyszek;31;['46.2826120', ' 25.0194720'];"['ajandektargyak', '', '""']";535400, Sz\xe9kelykereszt\xfar, Berde M\xf3zes u., 82/G\t
181;32;33;DYNAMIC SRL;91;92;94;103;udvarhelyszek;32;['46.290950', ' 25.047863'];"['textilipar', '', '""']";535400, Sz\xe9kelykereszt\xfar, Gy\xe1r u., 14/B\t
182;33;38;BENATI SRL;90;85;78;67;udvarhelyszek;33;['46.289414', ' 25.082957'];"['ajto-ablakgyartas', 'asztalosmunkak', 'nyilaszarok', '', '""']";537208, Betfalva, F\xf5 u., 10\t
183;34;34;MAXOLL SRL;90;89;84;79;udvarhelyszek;34;['46.2908950', ' 25.2900790'];"['csomagoloanyagok', 'nyomtatott-folia', 'nyomtatott-ragasztoszalag', 'folia-es-ragasztoszalag', 'foliazsakok-es-tasakok-gyartasa', '', 'ZSUGORF\\xd3LIA', 'STRETCH F\\xd3LIA', 'F\\xd3LIA', 'AGRO F\\xd3LIA', 'B\\xc1LA F\\xd3LIA\\r\\nFOLIE TERMO', 'FOLIE STRETCH', 'FOLIE', 'FOLIE AGRO', 'FOLIE DE BALOTAT\\r\\nSHRINKING FILM', 'STRETCH FILM', 'AGRO STRETCH FILM', 'BALE WRAP""']";535600, Sz\xe9kelyudvarhely, R\xe1k\xf3czi Ferenc u., 96\t
184;35;31;VIKING SRL;86;94;94;94;udvarhelyszek;35;['46.3073295', ' 25.2939758'];"['biztonsagi-rendszerek', 'epitkezes', 'foldelesmeres', 'karbantartas', 'kartyas-belepteto-rendszerek', 'mosas-tisztitas', 'munkavedelem', 'szallitas', 'takaritas', 'tuzolto-palackok', 'tuzoltosag-es-tuzvedelem-(psi)', 'tuzvedelmi-rendszerek', 'villanyszereles', 'foldmunkalatok', 'erogepek', '', '""']";535600, Sz\xe9kelyudvarhely, Tompa L\xe1szl\xf3 u., 34\t
185;36;46;EURATO SA;85;76;74;69;udvarhelyszek;36;['46.2848208', ' 25.2896932'];"['asztalosmunkak', 'autoklima-feltoltes-es-javitas', 'elektrosztatikus-porfestes', 'elelmiszeripari-gepek-es-alkatreszek', 'epuletgepeszet', 'hoszigetelt-hutoajtok', 'hullatarolo', 'hutestechnika', 'hutohazak', 'hutott-autofelepitmenyek', 'kereskedelmi-hutob\\xfatorok', 'klimaberendezesek', 'legkondicionalas', 'uzlet-berendezesek', '', 'Bitzer', 'Copeland', 'Maneurop', 'Aspera', 'R 134A', 'R 404A', 'R 407A', 'R 410A', 'Ganz', 'Dixel', 'tabl\\xe3 zincat\\xe3', 'vopsit\\xe3 electrostatic', 'plastifiat\\xe3 &#537;i compatibil\\xe3 alimentar', 'agregate BITZER', 'condensator', 'poliuretan expandat &#537;i \\xeent\\xe3rit', 'SIRMAN', 'Ma&#537;ini de feliat', 'Ma&#537;ini de tocat &#537;i m\\xe3cinat', 'Mixer de carne &#537;i ma&#537;in\\xe3 de umplut c\\xe2rna&#539;i', 'Fierestr\\xe3u oase', 'Ma&#537;in\\xe3 de cur\\xe3&#539;at cartofi', 't\\xe3ietori legume', 'mixere', 'Aparate de buc\\xe3t\\xe3rie', 'Aparate pentru bar', 'Patinoare artificiale', 'Accesorii instala\\xfeii frigorifice', 'Accesori pentru agregate frigorifice', 'Accesori pentru vaporizatoare', 'Accesori pentru linia de ulei', 'Accesori pentru camere frigorifice', 'Controllere &#537;i cutii electrice', 'Cabluri', 'conductori electrice &#537;i accesorii', 'Szeletel\\xf5g\\xe9pek', 'H\\xfasdar\\xe1l\\xf3k \\xe9s \\xf5rl\\xf5g\\xe9pek', 'H\\xfaskavar\\xf3k \\xe9s kolb\\xe1szt\\xf6lt\\xf5 g\\xe9pek', 'Csontf\\xfbr\\xe9szek', 'Krumplih\\xe1moz\\xf3 g\\xe9pek', 'z\\xf6lds\\xe9gv\\xe1g\\xf3k', 'mixerek', 'Konyhai seg\\xe9deszk\\xf6z\\xf6k', 'B\\xe1rokban haszn\\xe1lt eszk\\xf6z\\xf6k', 'Snack & Pizza g\\xe9pek', '\\r\\n\\r\\n\\r\\n\\r\\n\\r\\n\\r\\n""']";535600, Sz\xe9kelyudvarhely, R\xe1k\xf3czi Ferenc u., 124\t
186;37;40;MIKLOS STEEL SRL;84;83;59;34;udvarhelyszek;37;['46.372749', ' 25.358653'];"['kalyhak-es-kazanok', '', '""']";537027, K\xfck\xfcll\xf5kem\xe9nyfalva, F\xf5 u., 85\t
187;38;35;PERFEKT SRL;84;88;93;83;udvarhelyszek;38;['46.350000', ' 25.530000 '];"['elelmiszeruzletek', 'vegyes-uzletek', '', '""']";535800, Szentegyh\xe1za, G\xe1bor \xc1ron u., 2\t
188;39;50;AGM ECO CORPORATE SRL;83;68;36;2;udvarhelyszek;39;['46.3160230', ' 25.3117290'];"['pekaru', 'pekaru-es-peksutemenyek', 'pekseg-es-kenyersutes', 'peksegek', 'pektermekek', 'hazikenyer', 'pekipar', 'kalacs', 'kifli', 'szarazteszta', '', 'PIZZA', 'friss', 'p\\xe9kterm\\xe9kek', 'sz\\xe9kelyf\\xf6ldi p\\xe9ks\\xe9gek', 'pity\\xf3k\\xe1s keny\\xe9r', 'legnagyobb p\\xe9ks\\xe9g', 'ditr\\xf3', 'hargita megye', 'hargita megyei c\\xe9gek', 's\\xfcti', 'graham', 'teljes ki\\xf6rl\\xe9s\\xfb', 'k\\xfcrt\\xf6skal\\xe1cs', 'hagyom\\xe1nyos', 'hagyom\\xe1nyos \\xedzek', 'erd\\xe9lyi p\\xe9ks\\xe9g', '""']";535600, Sz\xe9kelyudvarhely, Cip\xe9szek u., 15\t
189;40;41;IMPAR SRL;82;81;76;81;udvarhelyszek;40;['46.3182629', ' 25.3078527'];"['akkumulatorok', 'autogumi-kereskedelem', 'autokozmetika', 'gumiabroncs-nagykereskedes', 'motorolajak', 'gumiabroncsok', 'mezogazdasagi-gepek-es-alkatreszek', 'autokellekek', 'kenoanyagok', '', 'FELNIK', '""']";535600, Sz\xe9kelyudvarhely, F\xe1sok u., 14/B\t
190;41;49;SAZY TRANS IMPEX SRL;80;72;69;60;udvarhelyszek;41;['46.3807660', ' 25.8010560'];"['epitoanyag-kereskedelem', 'epitoanyag-lerakatok', '', '""']";530240, Cs\xedkszereda, Taploca u., 168\t
191;42;37;IDA IMPEX SRL;78;87;101;110;udvarhelyszek;42;['46.305106', ' 25.294755 '];"['borkonfekcio', '', '""']";535600, Sz\xe9kelyudvarhely, V\xe1r u., 5\t
192;43;44;MAGDOLNA IMPEX SRL;78;78;78;77;udvarhelyszek;43;['46.305705 ', ' 25.294969 '];"['furdoszoba-berendezesek', 'kazanok', 'futestechnika', 'bojlerek', 'futotestek', 'kandallok', 'padlofutes', 'szolar-berendezesek', 'tuskabinok', 'kalyhak-es-kazanok', 'csaptelepek', 'furdokadak', 'festekek-es-lakkok', 'festekkavaras', 'padlo--es-fali-csempe', 'szigetelo-anyagok', 'zuhanykabin', '', '""']";535600, Sz\xe9kelyudvarhely, Nicolae B\xe3lcescu u., 2\t
193;44;42;ROSEAL SA;76;81;87;97;udvarhelyszek;44;['46.318101', ' 25.310742'];"['grafit', 'mechanikus-tomitesek', 'tomitogarnit\\xfarak', '', '""']";"535600, Sz\xe9kelyudvarhely, B&#259;lcescu, Nicolae u., 5A\t"
194;45;43;BRUTARUA BACHUS SRL;75;79;64;66;udvarhelyszek;45;['46.275010', ' 25.133594'];"['kenyer', 'kenyer-es-pekaru', 'peksegek', 'peksutemenyek', 'pektermekek-es-sutemenyek', '', '""']";537214, Nagygalambfalva, F\xf5 u., 422\t
195;46;32;JAKAB IMOB SRL;74;93;103;110;udvarhelyszek;46;['46.305186 ', ' 25.294755 '];"['ingatlanberbeadas', '', '""']";535600, Sz\xe9kelyudvarhely, V\xe1r u., 5\t
196;47;>50;TARNAVA MARE COOPERATIVA AGRICOLA;69;65;56;43;udvarhelyszek;47;['46.2813560', ' 25.0319140'];"['sajtgyartas', 'tejfeldolgozas', 'tejtermekek', '', '""']";535400, Sz\xe9kelykereszt\xfar, Orb\xe1n Bal\xe1zs u., 5\t
197;48;48;GILBARCO ACIS SRL;68;72;73;80;udvarhelyszek;48;['46.352334 ', ' 25.530000 '];"['benzinkutak-szervizelese', 'tartalytisztitas', '', '""']";535800, Szentegyh\xe1za, G\xe1bor \xc1ron u., 20\t
