X,Y,NAME,SIRUTA,OLD_POSTAL,RANG,TIP,SIRUTA_SUP,NAME_SUP,COUNTY,COUNTY_ID,COUNTY_MN,POP2002,REGION,REGION_ID,ENVIRO_TYP,SORT_CODE
24.617170122553329,46.452738828613178,Gruisor,115012,4329,V,23,114970,Acatari,Mures,26,MS,296,Centru,7,rural,2850005705567
24.655164321851053,46.480879006969339,Murgesti,115021,4329,V,23,114970,Acatari,Mures,26,MS,502,Centru,7,rural,2850005707837
24.681825714432023,46.458748944493657,Roteni,115030,4329,V,23,114970,Acatari,Mures,26,MS,851,Centru,7,rural,2850005710118
24.617352512578268,46.480705250574509,Stejeris,115049,4329,V,23,114970,Acatari,Mures,26,MS,350,Centru,7,rural,2850005711275
24.716537824937003,46.433519439844268,Suveica,115058,4331,V,23,114970,Acatari,Mures,26,MS,296,Centru,7,rural,2850005711476
24.647085787914957,46.446913980094088,Valenii,115067,4329,V,23,114970,Acatari,Mures,26,MS,786,Centru,7,rural,2850005713147
24.236951531910677,46.303924897846592,Adamus,115085,3230,IV,22,115076,Adamus,Mures,26,MS,2128,Centru,7,rural,2850008300027
24.183232784063019,46.352353603845167,Chincius,115094,3234,V,23,115076,Adamus,Mures,26,MS,40,Centru,7,rural,2850008702649
24.212774701632828,46.292180282467093,Cornesti,115101,3231,V,23,115076,Adamus,Mures,26,MS,1324,Centru,7,rural,2850008703261
24.196748134568214,46.296280411777104,Craiesti,115110,4264,V,23,115076,Adamus,Mures,26,MS,1291,Centru,7,rural,2850008703521
24.234430143669819,46.31997941524105,Dambau,115129,3233,V,23,115076,Adamus,Mures,26,MS,1229,Centru,7,rural,2850008703870
24.155156961926068,46.330742795660981,Herepea,115138,3235,V,23,115076,Adamus,Mures,26,MS,72,Centru,7,rural,2850008705800
24.829929918327668,46.894693756746605,Alunis,115156,4235,IV,22,115147,Alunis,Mures,26,MS,2154,Centru,7,rural,2850050300182
24.870002298568725,46.899082385560249,Fitcau,115165,4237,V,23,115147,Alunis,Mures,26,MS,481,Centru,7,rural,2850050704773
24.790950677406521,46.873963748694138,Lunca Muresului,115174,4235,V,23,115147,Alunis,Mures,26,MS,732,Centru,7,rural,2850050706852
24.818869358014265,46.125362029534195,Apold,115192,3081,IV,22,115183,Apold,Mures,26,MS,691,Centru,7,rural,2850069300251
24.902744548752384,46.147078729038057,Daia,115209,3082,V,23,115183,Apold,Mures,26,MS,574,Centru,7,rural,2850069703793
24.768940448636982,46.156380347096885,Saes,115218,3080,V,23,115183,Apold,Mures,26,MS,1112,Centru,7,rural,2850069711478
24.853685981565064,46.148430310132902,Vulcan,115227,3081,V,23,115183,Apold,Mures,26,MS,94,Centru,7,rural,2850069713581
24.106669805501163,46.429565148277035,Atintis,115245,4362,IV,22,115236,Atintis,Mures,26,MS,723,Centru,7,rural,2850095300361
24.024299345522888,46.386745721185818,Botez,115254,4363,V,23,115236,Atintis,Mures,26,MS,203,Centru,7,rural,2850095701445
24.040132436367475,46.394491995931027,Cecalaca,115263,4363,V,23,115236,Atintis,Mures,26,MS,436,Centru,7,rural,2850095702440
24.105241045680163,46.392678647431936,Istihaza,115272,4365,V,23,115236,Atintis,Mures,26,MS,223,Centru,7,rural,2850095706226
24.039772941833725,46.411334079780374,Maldaoci,115281,4361,V,23,115236,Atintis,Mures,26,MS,0,Centru,7,rural,2850095706962
24.133402248941433,46.422823396279853,Saniacob,115290,4356,V,23,115236,Atintis,Mures,26,MS,36,Centru,7,rural,2850095710609
24.478743124820014,46.374377553488884,Bahnea,115316,3248,IV,22,115307,Bahnea,Mures,26,MS,1850,Centru,7,rural,2850107300416
24.458465667064583,46.374067660985801,Bernadea,115325,3248,V,23,115307,Bahnea,Mures,26,MS,194,Centru,7,rural,2850107701024
24.512288138298445,46.272780768119816,Cund,115334,3089,V,23,115307,Bahnea,Mures,26,MS,197,Centru,7,rural,2850107703703
24.46276184412282,46.30560154183091,Daia,115343,3251,V,23,115307,Bahnea,Mures,26,MS,261,Centru,7,rural,2850107703794
24.517119173224472,46.30491657082937,Gogan,115352,3090,V,23,115307,Bahnea,Mures,26,MS,724,Centru,7,rural,2850107705377
24.461049579807206,46.276249613993059,Idiciu,115361,3251,V,23,115307,Bahnea,Mures,26,MS,371,Centru,7,rural,2850107706071
24.475459158614633,46.328885151099904,Lepindea,115370,3251,V,23,115307,Bahnea,Mures,26,MS,270,Centru,7,rural,2850107706587
24.373075892882756,46.579355885418543,Band,115398,4344,IV,22,115389,Band,Mures,26,MS,3441,Centru,7,rural,2850126300481
24.338442290662201,46.620416763104458,Draculea Bandului,115405,4344,V,23,115389,Band,Mures,26,MS,170,Centru,7,rural,2850126704278
24.314564859233851,46.642708316047802,Fanate,115414,4344,V,23,115389,Band,Mures,26,MS,312,Centru,7,rural,2850126704613
24.362732476072789,46.625961581374881,Fanatele Madarasului,115423,4344,V,23,115389,Band,Mures,26,MS,331,Centru,7,rural,2850126704618
24.303103829658539,46.650152544632327,Istan-Tau,115432,4344,V,23,115389,Band,Mures,26,MS,148,Centru,7,rural,2850126706225
24.434455649178922,46.604877062730544,Madaras,115441,4344,V,22,120502,Madaras,Mures,26,MS,1282,Centru,7,rural,2851503307077
24.35327525842721,46.5930218826798,Marasesti,115450,4344,V,23,115389,Band,Mures,26,MS,346,Centru,7,rural,2850126707207
24.287431568339738,46.645611652155139,Negrenii de Campie,115469,4344,V,23,115389,Band,Mures,26,MS,176,Centru,7,rural,2850126707958
24.354700230724724,46.543091640934108,Oroiu,115478,4344,V,23,115389,Band,Mures,26,MS,386,Centru,7,rural,2850126708352
24.345754311951588,46.510387372344354,Petea,115487,4344,V,23,115389,Band,Mures,26,MS,264,Centru,7,rural,2850126708756
24.41422849163537,46.584620740134959,Tiptelnic,115496,4344,V,23,115389,Band,Mures,26,MS,185,Centru,7,rural,2850126712412
24.300194081165003,46.637619038026365,Valea Mare,115502,4344,V,23,115389,Band,Mures,26,MS,239,Centru,7,rural,2850126712850
24.336064879486106,46.571067978052426,Valea Rece,115511,4344,V,23,115389,Band,Mures,26,MS,307,Centru,7,rural,2850126712944
24.65415994121711,46.886986087770318,Batos,115539,4251,IV,22,115520,Batos,Mures,26,MS,1001,Centru,7,rural,2850135300526
24.65799394997482,46.826321548747821,Dedrad,115548,4248,V,23,115520,Batos,Mures,26,MS,1424,Centru,7,rural,2850135703982
24.655690187506217,46.854736450155784,Goreni,115557,4249,V,23,115520,Batos,Mures,26,MS,1040,Centru,7,rural,2850135705420
24.618822270349728,46.93142731973181,Uila,115566,4252,V,23,115520,Batos,Mures,26,MS,559,Centru,7,rural,2850135712452
24.372283724812402,46.270713619033799,Bagaciu,115584,3239,IV,22,115575,Bagaciu,Mures,26,MS,1057,Centru,7,rural,2850144300589
24.341189945188159,46.263403235692437,Delenii,115593,3238,V,23,115575,Bagaciu,Mures,26,MS,1244,Centru,7,rural,2850144704016
24.50018972587776,46.713089785817438,Bala,115619,4266,IV,22,115600,Bala,Mures,26,MS,853,Centru,7,rural,2850150300628
24.510573741965501,46.730814368307662,Ercea,115628,4266,V,23,115600,Bala,Mures,26,MS,242,Centru,7,rural,2850150704511
24.690921295018949,46.4089065310365,Balauseri,115646,3267,IV,22,115637,Balauseri,Mures,26,MS,1290,Centru,7,rural,2850158300653
24.684785773218042,46.392270285934963,Agristeu,115655,3268,V,23,115637,Balauseri,Mures,26,MS,733,Centru,7,rural,2850158700070
24.729117617441208,46.392338525621604,Chendu,115664,3269,V,23,115637,Balauseri,Mures,26,MS,1628,Centru,7,rural,2850158702585
24.758547973179631,46.400925461693305,Dumitreni,115673,3270,V,23,115637,Balauseri,Mures,26,MS,613,Centru,7,rural,2850158704460
24.669114175672057,46.36656334033502,Filitelnic,115682,3271,V,23,115637,Balauseri,Mures,26,MS,270,Centru,7,rural,2850158704745
24.650914551968839,46.334106702193601,Senereus,115691,3272,V,23,115637,Balauseri,Mures,26,MS,680,Centru,7,rural,2850158710863
24.798139963310355,46.733000312156136,Beica de Jos,115717,4272,IV,22,115708,Beica de Jos,Mures,26,MS,781,Centru,7,rural,2850213300918
24.823076066710534,46.738646661798896,Beica de Sus,115726,4272,V,23,115708,Beica de Jos,Mures,26,MS,297,Centru,7,rural,2850213700919
24.852385961374186,46.726064722992128,Cacuciu,115735,4272,V,23,115708,Beica de Jos,Mures,26,MS,161,Centru,7,rural,2850213702112
24.817137363965351,46.702746918288547,Nadasa,115744,4277,V,23,115708,Beica de Jos,Mures,26,MS,319,Centru,7,rural,2850213707860
24.87474008214318,46.728889386590936,Sanmihai de Padure,115753,4274,V,23,115708,Beica de Jos,Mures,26,MS,334,Centru,7,rural,2850213710627
24.866479041852052,46.714754262543565,Serbeni,115762,4272,V,23,115708,Beica de Jos,Mures,26,MS,451,Centru,7,rural,2850213711543
24.091968296457182,46.374262520940995,Bichis,115780,4365,IV,22,115771,Bichis,Mures,26,MS,292,Centru,7,rural,2850253301071
24.065233443665996,46.352424348697078,Gambut,115799,4365,V,23,115771,Bichis,Mures,26,MS,210,Centru,7,rural,2850253705078
