,Koma-Szutra,GenItália,FuckTúra,Beez-Mute,Vá$örhely,Shakesbeer,UNI-GUNS,MozgéKonyak,Cum With Us,Szeszkimók,Beerluck,Búvármedvék,CheekLow,Sörnyetegek,Zsákmány,SZERVEZTEM,Me Of Us One,Magyar Szisztem,A Kocka Másik Oldala,In-Team,Szeszesújvár,Ű-Beer,.S!C'R,WaTtaFák,WhatsOn,WeSithek,Vá$örhlyOLÉÉÉ,K.O.SER,Hököl,Biolorgia,Weedrák,Verbunk,Strohgerek,proDUCKtive,FehérlóPhia,BorÁszok,SZŰRT,PopóLopók,Muratúra,ginSTABIL,IGNORE,BasszHattyúk,VanSör,Sörös-terv,BEER-ka,BarátOCool,RÁMSZESZ,amitakartok,ColaBorÉsÖn,Durgolax,Cheeky-Share,N@fing,AbszolÚt,diaknapos csapat,Mad Dogs,Drunkin' donuts,Lemonarchia,Fröccsögök,Etilalakulat,RoxtARRok,MegBORulunk,SzEscoBar
CS:GO,10,25,125,25,25,125,10,75,75,75,75,75,125,50,95,50,50,95,75,50,75,50,25,25,50,95,50,50,50,50,50,50,75,50,25,50,50,110,50,75,50,75,150,50,25,50,25,25,25,110,75,50,50,150,50,25,25,50,50,110,50,150
Csocsó,50,80,50,140,110,80,50,80,110,170,50,80,50,50,50,50,250,210,80,140,50,80,80,110,110,50,50,50,80,110,80,140,50,110,80,50,50,110,0,50,50,80,50,50,80,80,80,50,50,0,140,110,50,50,50,0,50,80,0,80,50,50
Dance Battle,180,240,130,240,240,130,180,80,80,300,300,80,130,180,80,180,80,80,130,80,300,80,80,80,80,80,130,180,80,0,130,0,130,130,80,80,0,130,80,80,80,130,80,80,80,80,80,80,80,130,80,80,80,80,80,80,80,80,80,130,80,80
Erotik,237,261,238,281,249,183,170,221,183,265,250,158,236,249,139,244,185,250,277,188,172,172,298,239,220,189,239,251,225,159,200,213,269,230,203,205,201,173,167,0,85,47,144,0,137,0,254,125,145,0,0,153,185,0,0,0,0,203,0,0,0,0
Férfi foci,300,130,130,90,50,250,130,50,90,50,90,50,0,50,90,50,90,90,90,50,50,50,50,130,50,50,90,50,50,50,90,50,90,50,225,90,50,170,50,90,90,50,90,130,50,130,50,50,50,170,170,50,90,50,170,50,90,50,50,130,50,50
Fotómaraton,165,142,200,136,200,161,200,130,112,200,114,200,94,0,200,128,126,153,153,169,153,200,146,163,98,165,102,200,124,124,156,110,116,108,90,78,84,138,82,200,165,80,104,102,76,96,0,108,92,0,88,0,0,144,86,153,0,0,124,0,0,0
Jenga,30,40,30,40,40,30,40,30,30,30,40,80,30,30,30,40,40,30,80,0,30,80,60,30,30,40,60,30,30,120,60,150,200,60,60,170,40,40,30,30,30,30,30,40,30,40,60,40,30,60,40,30,30,30,30,30,60,80,30,30,40,30
Karaoke,140,140,140,140,140,140,285,140,195,140,140,70,70,180,70,300,140,140,140,255,270,70,140,70,70,140,140,70,70,70,70,240,140,70,70,70,140,70,70,140,140,70,70,70,70,70,70,210,70,70,70,70,70,70,165,70,140,70,225,70,70,70
Kézilabda,200,130,225,50,90,130,170,50,130,50,90,90,250,50,90,90,50,50,170,90,50,50,90,170,50,50,90,170,130,50,50,50,50,50,130,50,90,90,90,90,90,50,50,130,50,50,50,50,50,50,130,50,130,90,0,50,90,50,0,130,30,0
Klán-Tour,210,250,180,250,250,180,210,235,235,125,125,235,180,120,175,120,190,175,200,165,125,190,220,220,145,175,140,120,140,150,140,150,200,140,220,145,150,160,170,165,170,200,130,170,155,140,155,185,155,160,165,145,190,130,115,185,185,115,140,160,115,130
Klán-Tour Night,210,180,180,180,180,180,210,250,250,230,230,250,180,190,170,190,150,170,160,185,230,150,120,120,110,170,125,190,145,155,125,155,160,125,120,110,155,140,130,185,130,160,115,130,135,145,135,165,135,140,185,110,150,115,105,165,165,105,145,140,105,115
Kosárlabda,90,50,250,130,130,130,50,130,90,170,50,50,130,170,200,130,50,50,50,170,50,50,50,50,130,90,225,50,50,90,50,90,50,90,50,90,90,90,130,90,50,90,50,50,50,50,50,50,50,50,90,50,0,90,90,50,90,50,90,170,0,0
Kultúrmaraton,189,265,168,350,275,255,206,325,240,123,213,270,210,249,252,300,280,179,290,237,150,183,180,159,216,195,246,198,167,234,126,174,141,231,117,204,222,156,147,144,129,177,135,186,225,165,120,0,138,162,105,219,111,243,192,260,108,114,171,132,153,0
LOL,75,125,110,125,125,110,75,75,75,95,95,75,110,50,50,50,25,50,150,25,95,25,10,10,25,50,0,50,75,50,10,50,150,10,0,25,50,50,75,25,75,150,50,75,50,75,50,50,50,50,25,25,25,50,10,50,50,0,75,50,10,50
Méta,90,170,130,90,250,300,90,130,130,90,90,50,90,200,90,130,50,225,90,130,50,50,50,90,50,50,50,50,50,90,90,130,50,50,130,170,170,90,50,50,90,50,50,50,50,50,50,50,50,50,50,50,90,50,50,50,90,130,50,30,90,0
Néptánc,155,131,140,158,185,113,149,119,164,95,41,125,122,35,185,0,29,86,25,152,225,143,149,23,71,41,50,33,200,140,119,86,131,110,74,71,0,62,98,134,71,89,44,107,104,62,92,31,104,170,0,27,77,0,47,164,0,167,0,53,62,0
Női foci,250,300,50,90,170,90,170,50,50,90,170,50,50,225,130,50,200,50,50,50,90,130,50,130,50,50,90,50,50,130,130,90,50,90,50,50,50,130,90,50,90,90,50,90,50,130,90,50,50,50,50,50,50,90,50,90,90,50,50,170,50,130
Póker,55,55,55,25,0,25,55,55,140,55,0,55,55,40,55,100,55,55,130,150,55,55,55,55,80,55,30,55,30,55,25,55,55,40,30,55,30,55,55,55,55,55,110,55,0,55,55,55,55,35,55,55,30,55,55,25,35,120,80,55,55,35
Röplabda,200,70,150,70,70,150,200,170,170,70,70,170,150,70,90,70,90,90,50,70,70,90,120,120,70,90,90,70,70,70,90,70,50,90,120,70,70,50,50,70,50,50,90,50,70,70,70,30,70,50,70,70,90,90,50,0,0,50,70,50,50,90
Sakk,30,160,60,40,40,30,40,110,30,30,30,130,30,30,50,60,40,30,50,30,40,40,50,30,30,40,30,40,50,40,30,40,40,50,30,40,50,0,30,90,30,30,0,30,40,30,30,30,40,30,0,30,40,30,0,50,60,50,30,60,40,0
Slam Poetry,180,140,180,140,140,180,180,190,190,50,50,190,180,50,180,50,200,180,50,50,50,200,130,130,130,180,50,50,130,50,50,50,50,50,130,130,50,50,150,50,150,50,50,150,50,130,50,50,50,50,50,130,200,50,50,50,50,50,130,50,50,50
Staféta,140,150,138,88,130,116,132,98,78,118,120,122,134,96,110,112,100,46,50,170,64,38,108,104,102,44,58,84,124,54,76,86,0,66,126,56,0,70,106,62,74,60,94,80,40,68,72,0,48,90,128,52,0,82,114,0,42,92,0,136,0,0
Táblé,30,50,60,30,30,40,30,60,90,50,30,160,50,30,50,50,40,30,30,40,30,40,30,50,110,40,30,30,60,30,130,30,40,40,30,30,60,40,40,0,30,30,40,30,30,40,0,0,30,40,0,30,30,30,30,50,30,40,30,0,40,40
Táncmaraton,347,347,342,345,349,345,341,342,347,288,345,287,246,349,284,190,263,337,341,319,288,337,298,346,348,350,348,277,349,346,296,345,338,345,325,283,342,344,315,328,348,341,335,342,346,341,345,350,343,339,295,146,0,0,207,183,332,0,63,0,340,0
Úszás,128,140,92,110,150,130,74,114,90,134,124,86,138,104,118,78,44,54,106,62,94,112,100,52,122,72,170,96,126,56,132,82,42,68,80,0,0,60,38,84,48,66,64,70,88,0,40,160,46,36,102,34,58,98,136,0,0,50,108,76,120,0
Összesen,5219,5140,4951,4841,4806,4766,4685,4594,4549,4426,4383,4350,4271,4216,4167,4082,4002,4001,3991,3984,3952,3898,3886,3885,3711,3700,3600,3570,3542,3473,3440,3434,3420,3411,3407,3405,3385,3380,3365,3274,3232,3158,3154,3108,3025,2999,2979,2919,2906,2889,2851,2813,2708,2678,2654,2653,2643,2620,2607,2523,2135,1584
