
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
Total, Total, Cluj, Anul 2004, Lei, 6208320
Total, Total, Cluj, Anul 2005, Lei, 784
Total, Total, Cluj, Anul 2006, Lei, 905
Total, Total, Cluj, Anul 2007, Lei, 1113
Total, Total, Cluj, Anul 2008, Lei, 1315
Total, Total, Maramures, Anul 1991, Lei, 7661
Total, Total, Maramures, Anul 1992, Lei, 21237
Total, Total, Maramures, Anul 1993, Lei, 58768
Total, Total, Maramures, Anul 1994, Lei, 131577
Total, Total, Maramures, Anul 1995, Lei, 204074
Total, Total, Maramures, Anul 1996, Lei, 301008
Total, Total, Maramures, Anul 1997, Lei, 583747
Total, Total, Maramures, Anul 1998, Lei, 873333
Total, Total, Maramures, Anul 1999, Lei, 1347417
Total, Total, Maramures, Anul 2000, Lei, 1812586
Total, Total, Maramures, Anul 2001, Lei, 2507084
Total, Total, Maramures, Anul 2002, Lei, 3271101
Total, Total, Maramures, Anul 2003, Lei, 4280440
Total, Total, Maramures, Anul 2004, Lei, 5001068
Total, Total, Maramures, Anul 2005, Lei, 596
Total, Total, Maramures, Anul 2006, Lei, 702
Total, Total, Maramures, Anul 2007, Lei, 843
Total, Total, Maramures, Anul 2008, Lei, 1018
Total, Total, Satu Mare, Anul 1991, Lei, 7160
Total, Total, Satu Mare, Anul 1992, Lei, 17745
Total, Total, Satu Mare, Anul 1993, Lei, 52799
Total, Total, Satu Mare, Anul 1994, Lei, 124228
Total, Total, Satu Mare, Anul 1995, Lei, 179970
Total, Total, Satu Mare, Anul 1996, Lei, 274648
Total, Total, Satu Mare, Anul 1997, Lei, 564037
Total, Total, Satu Mare, Anul 1998, Lei, 825082
Total, Total, Satu Mare, Anul 1999, Lei, 1313477
Total, Total, Satu Mare, Anul 2000, Lei, 1769881
Total, Total, Satu Mare, Anul 2001, Lei, 2461389
Total, Total, Satu Mare, Anul 2002, Lei, 3169704
Total, Total, Satu Mare, Anul 2003, Lei, 4397078
Total, Total, Satu Mare, Anul 2004, Lei, 5658355
Total, Total, Satu Mare, Anul 2005, Lei, 646
Total, Total, Satu Mare, Anul 2006, Lei, 778
Total, Total, Satu Mare, Anul 2007, Lei, 896
Total, Total, Satu Mare, Anul 2008, Lei, 1041
Total, Total, Salaj, Anul 1991, Lei, 7573
Total, Total, Salaj, Anul 1992, Lei, 19864
Total, Total, Salaj, Anul 1993, Lei, 58411
Total, Total, Salaj, Anul 1994, Lei, 133501
Total, Total, Salaj, Anul 1995, Lei, 196232
Total, Total, Salaj, Anul 1996, Lei, 282837
Total, Total, Salaj, Anul 1997, Lei, 572568
Total, Total, Salaj, Anul 1998, Lei, 978953
Total, Total, Salaj, Anul 1999, Lei, 1247288
Total, Total, Salaj, Anul 2000, Lei, 1858663
Total, Total, Salaj, Anul 2001, Lei, 2761062
Total, Total, Salaj, Anul 2002, Lei, 3539059
Total, Total, Salaj, Anul 2003, Lei, 4652912
Total, Total, Salaj, Anul 2004, Lei, 5686461
Total, Total, Salaj, Anul 2005, Lei, 689
Total, Total, Salaj, Anul 2006, Lei, 781
Total, Total, Salaj, Anul 2007, Lei, 920
Total, Total, Salaj, Anul 2008, Lei, 1076
Total, Total, Regiunea CENTRU, Anul 1991, Lei, 7357
Total, Total, Regiunea CENTRU, Anul 1992, Lei, 19731
Total, Total, Regiunea CENTRU, Anul 1993, Lei, 58276
Total, Total, Regiunea CENTRU, Anul 1994, Lei, 133808
Total, Total, Regiunea CENTRU, Anul 1995, Lei, 204820
Total, Total, Regiunea CENTRU, Anul 1996, Lei, 314817
Total, Total, Regiunea CENTRU, Anul 1997, Lei, 609491
Total, Total, Regiunea CENTRU, Anul 1998, Lei, 988380
Total, Total, Regiunea CENTRU, Anul 1999, Lei, 1422453
Total, Total, Regiunea CENTRU, Anul 2000, Lei, 1972759
Total, Total, Regiunea CENTRU, Anul 2001, Lei, 2732423
Total, Total, Regiunea CENTRU, Anul 2002, Lei, 3443870
Total, Total, Regiunea CENTRU, Anul 2003, Lei, 4446448
Total, Total, Regiunea CENTRU, Anul 2004, Lei, 5486944
Total, Total, Regiunea CENTRU, Anul 2005, Lei, 661
Total, Total, Regiunea CENTRU, Anul 2006, Lei, 779
Total, Total, Regiunea CENTRU, Anul 2007, Lei, 937
Total, Total, Regiunea CENTRU, Anul 2008, Lei, 1150
Total, Total, Alba, Anul 1991, Lei, 7280
Total, Total, Alba, Anul 1992, Lei, 19498
Total, Total, Alba, Anul 1993, Lei, 57456
Total, Total, Alba, Anul 1994, Lei, 132359
