
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
D Industria prelucratoare, Total, Dolj, Anul 1992, Lei, 18474
D Industria prelucratoare, Total, Dolj, Anul 1993, Lei, 54886
D Industria prelucratoare, Total, Dolj, Anul 1994, Lei, 131162
D Industria prelucratoare, Total, Dolj, Anul 1995, Lei, 216075
D Industria prelucratoare, Total, Dolj, Anul 1996, Lei, 321574
D Industria prelucratoare, Total, Dolj, Anul 1997, Lei, 625486
D Industria prelucratoare, Total, Dolj, Anul 1998, Lei, 968333
D Industria prelucratoare, Total, Dolj, Anul 1999, Lei, 1394171
D Industria prelucratoare, Total, Dolj, Anul 2000, Lei, 2225381
D Industria prelucratoare, Total, Dolj, Anul 2001, Lei, 2983832
D Industria prelucratoare, Total, Dolj, Anul 2002, Lei, 3634551
D Industria prelucratoare, Total, Dolj, Anul 2003, Lei, 4805014
D Industria prelucratoare, Total, Dolj, Anul 2004, Lei, 5817870
D Industria prelucratoare, Total, Dolj, Anul 2005, Lei, 707
D Industria prelucratoare, Total, Dolj, Anul 2006, Lei, 776
D Industria prelucratoare, Total, Dolj, Anul 2007, Lei, 908
D Industria prelucratoare, Total, Dolj, Anul 2008, Lei, 1076
D Industria prelucratoare, Total, Gorj, Anul 1991, Lei, 7176
D Industria prelucratoare, Total, Gorj, Anul 1992, Lei, 19203
D Industria prelucratoare, Total, Gorj, Anul 1993, Lei, 63127
D Industria prelucratoare, Total, Gorj, Anul 1994, Lei, 147559
D Industria prelucratoare, Total, Gorj, Anul 1995, Lei, 214296
D Industria prelucratoare, Total, Gorj, Anul 1996, Lei, 336100
D Industria prelucratoare, Total, Gorj, Anul 1997, Lei, 672879
D Industria prelucratoare, Total, Gorj, Anul 1998, Lei, 976706
D Industria prelucratoare, Total, Gorj, Anul 1999, Lei, 1417239
D Industria prelucratoare, Total, Gorj, Anul 2000, Lei, 1872400
D Industria prelucratoare, Total, Gorj, Anul 2001, Lei, 3014962
D Industria prelucratoare, Total, Gorj, Anul 2002, Lei, 3591810
D Industria prelucratoare, Total, Gorj, Anul 2003, Lei, 4813565
D Industria prelucratoare, Total, Gorj, Anul 2004, Lei, 5961146
D Industria prelucratoare, Total, Gorj, Anul 2005, Lei, 698
D Industria prelucratoare, Total, Gorj, Anul 2006, Lei, 733
D Industria prelucratoare, Total, Gorj, Anul 2007, Lei, 820
D Industria prelucratoare, Total, Gorj, Anul 2008, Lei, 992
D Industria prelucratoare, Total, Mehedinti, Anul 1991, Lei, 6252
D Industria prelucratoare, Total, Mehedinti, Anul 1992, Lei, 17381
D Industria prelucratoare, Total, Mehedinti, Anul 1993, Lei, 52846
D Industria prelucratoare, Total, Mehedinti, Anul 1994, Lei, 150497
D Industria prelucratoare, Total, Mehedinti, Anul 1995, Lei, 227430
D Industria prelucratoare, Total, Mehedinti, Anul 1996, Lei, 333310
D Industria prelucratoare, Total, Mehedinti, Anul 1997, Lei, 713518
D Industria prelucratoare, Total, Mehedinti, Anul 1998, Lei, 837095
D Industria prelucratoare, Total, Mehedinti, Anul 1999, Lei, 1518245
D Industria prelucratoare, Total, Mehedinti, Anul 2000, Lei, 2239542
D Industria prelucratoare, Total, Mehedinti, Anul 2001, Lei, 2996115
D Industria prelucratoare, Total, Mehedinti, Anul 2002, Lei, 3958915
D Industria prelucratoare, Total, Mehedinti, Anul 2003, Lei, 5039839
D Industria prelucratoare, Total, Mehedinti, Anul 2004, Lei, 6502185
D Industria prelucratoare, Total, Mehedinti, Anul 2005, Lei, 715
D Industria prelucratoare, Total, Mehedinti, Anul 2006, Lei, 815
D Industria prelucratoare, Total, Mehedinti, Anul 2007, Lei, 922
D Industria prelucratoare, Total, Mehedinti, Anul 2008, Lei, 1152
D Industria prelucratoare, Total, Olt, Anul 1991, Lei, 6750
D Industria prelucratoare, Total, Olt, Anul 1992, Lei, 18894
D Industria prelucratoare, Total, Olt, Anul 1993, Lei, 53433
D Industria prelucratoare, Total, Olt, Anul 1994, Lei, 133366
D Industria prelucratoare, Total, Olt, Anul 1995, Lei, 220403
D Industria prelucratoare, Total, Olt, Anul 1996, Lei, 355886
D Industria prelucratoare, Total, Olt, Anul 1997, Lei, 718211
D Industria prelucratoare, Total, Olt, Anul 1998, Lei, 1180349
D Industria prelucratoare, Total, Olt, Anul 1999, Lei, 1690345
D Industria prelucratoare, Total, Olt, Anul 2000, Lei, 2453190
D Industria prelucratoare, Total, Olt, Anul 2001, Lei, 3372329
D Industria prelucratoare, Total, Olt, Anul 2002, Lei, 4147571
D Industria prelucratoare, Total, Olt, Anul 2003, Lei, 4970729
D Industria prelucratoare, Total, Olt, Anul 2004, Lei, 5714935
D Industria prelucratoare, Total, Olt, Anul 2005, Lei, 693
D Industria prelucratoare, Total, Olt, Anul 2006, Lei, 788
D Industria prelucratoare, Total, Olt, Anul 2007, Lei, 904
D Industria prelucratoare, Total, Olt, Anul 2008, Lei, 1130
D Industria prelucratoare, Total, Valcea, Anul 1991, Lei, 7478
D Industria prelucratoare, Total, Valcea, Anul 1992, Lei, 20811
D Industria prelucratoare, Total, Valcea, Anul 1993, Lei, 57444
D Industria prelucratoare, Total, Valcea, Anul 1994, Lei, 133683
D Industria prelucratoare, Total, Valcea, Anul 1995, Lei, 216744
D Industria prelucratoare, Total, Valcea, Anul 1996, Lei, 339840
D Industria prelucratoare, Total, Valcea, Anul 1997, Lei, 634044
D Industria prelucratoare, Total, Valcea, Anul 1998, Lei, 962919
D Industria prelucratoare, Total, Valcea, Anul 1999, Lei, 1300165
D Industria prelucratoare, Total, Valcea, Anul 2000, Lei, 1882136
D Industria prelucratoare, Total, Valcea, Anul 2001, Lei, 2707540
D Industria prelucratoare, Total, Valcea, Anul 2002, Lei, 3304449
D Industria prelucratoare, Total, Valcea, Anul 2003, Lei, 3951838
D Industria prelucratoare, Total, Valcea, Anul 2004, Lei, 4887103
D Industria prelucratoare, Total, Valcea, Anul 2005, Lei, 541
D Industria prelucratoare, Total, Valcea, Anul 2006, Lei, 662
D Industria prelucratoare, Total, Valcea, Anul 2007, Lei, 842
D Industria prelucratoare, Total, Valcea, Anul 2008, Lei, 1020
D Industria prelucratoare, Total, Regiunea VEST, Anul 1991, Lei, 7332
D Industria prelucratoare, Total, Regiunea VEST, Anul 1992, Lei, 18701
D Industria prelucratoare, Total, Regiunea VEST, Anul 1993, Lei, 57068
D Industria prelucratoare, Total, Regiunea VEST, Anul 1994, Lei, 128737
D Industria prelucratoare, Total, Regiunea VEST, Anul 1995, Lei, 202986
D Industria prelucratoare, Total, Regiunea VEST, Anul 1996, Lei, 305885
D Industria prelucratoare, Total, Regiunea VEST, Anul 1997, Lei, 582654
D Industria prelucratoare, Total, Regiunea VEST, Anul 1998, Lei, 866424
D Industria prelucratoare, Total, Regiunea VEST, Anul 1999, Lei, 1329819
D Industria prelucratoare, Total, Regiunea VEST, Anul 2000, Lei, 1855672
D Industria prelucratoare, Total, Regiunea VEST, Anul 2001, Lei, 2526075
D Industria prelucratoare, Total, Regiunea VEST, Anul 2002, Lei, 3191667
D Industria prelucratoare, Total, Regiunea VEST, Anul 2003, Lei, 4303405
D Industria prelucratoare, Total, Regiunea VEST, Anul 2004, Lei, 5457995
D Industria prelucratoare, Total, Regiunea VEST, Anul 2005, Lei, 672
D Industria prelucratoare, Total, Regiunea VEST, Anul 2006, Lei, 725
D Industria prelucratoare, Total, Regiunea VEST, Anul 2007, Lei, 865
D Industria prelucratoare, Total, Regiunea VEST, Anul 2008, Lei, 1025
D Industria prelucratoare, Total, Arad, Anul 1991, Lei, 7040
D Industria prelucratoare, Total, Arad, Anul 1992, Lei, 16124
D Industria prelucratoare, Total, Arad, Anul 1993, Lei, 48435
D Industria prelucratoare, Total, Arad, Anul 1994, Lei, 110252
D Industria prelucratoare, Total, Arad, Anul 1995, Lei, 172694
D Industria prelucratoare, Total, Arad, Anul 1996, Lei, 272239
D Industria prelucratoare, Total, Arad, Anul 1997, Lei, 530474
D Industria prelucratoare, Total, Arad, Anul 1998, Lei, 830693
D Industria prelucratoare, Total, Arad, Anul 1999, Lei, 1172466
D Industria prelucratoare, Total, Arad, Anul 2000, Lei, 1927007
D Industria prelucratoare, Total, Arad, Anul 2001, Lei, 2299914
D Industria prelucratoare, Total, Arad, Anul 2002, Lei, 2909504
D Industria prelucratoare, Total, Arad, Anul 2003, Lei, 3942616
D Industria prelucratoare, Total, Arad, Anul 2004, Lei, 5041489
D Industria prelucratoare, Total, Arad, Anul 2005, Lei, 607
D Industria prelucratoare, Total, Arad, Anul 2006, Lei, 686
D Industria prelucratoare, Total, Arad, Anul 2007, Lei, 834
D Industria prelucratoare, Total, Arad, Anul 2008, Lei, 1005
D Industria prelucratoare, Total, Caras-Severin, Anul 1991, Lei, 6635
D Industria prelucratoare, Total, Caras-Severin, Anul 1992, Lei, 18491
D Industria prelucratoare, Total, Caras-Severin, Anul 1993, Lei, 55433
D Industria prelucratoare, Total, Caras-Severin, Anul 1994, Lei, 117705
D Industria prelucratoare, Total, Caras-Severin, Anul 1995, Lei, 195282
D Industria prelucratoare, Total, Caras-Severin, Anul 1996, Lei, 288252
D Industria prelucratoare, Total, Caras-Severin, Anul 1997, Lei, 550462
D Industria prelucratoare, Total, Caras-Severin, Anul 1998, Lei, 837127
D Industria prelucratoare, Total, Caras-Severin, Anul 1999, Lei, 1283498
D Industria prelucratoare, Total, Caras-Severin, Anul 2000, Lei, 1732406
D Industria prelucratoare, Total, Caras-Severin, Anul 2001, Lei, 2292823
D Industria prelucratoare, Total, Caras-Severin, Anul 2002, Lei, 2691765
D Industria prelucratoare, Total, Caras-Severin, Anul 2003, Lei, 3514728
D Industria prelucratoare, Total, Caras-Severin, Anul 2004, Lei, 4445221
D Industria prelucratoare, Total, Caras-Severin, Anul 2005, Lei, 555
D Industria prelucratoare, Total, Caras-Severin, Anul 2006, Lei, 608
D Industria prelucratoare, Total, Caras-Severin, Anul 2007, Lei, 725
D Industria prelucratoare, Total, Caras-Severin, Anul 2008, Lei, 861
D Industria prelucratoare, Total, Hunedoara, Anul 1991, Lei, 7626
D Industria prelucratoare, Total, Hunedoara, Anul 1992, Lei, 19573
D Industria prelucratoare, Total, Hunedoara, Anul 1993, Lei, 62405
D Industria prelucratoare, Total, Hunedoara, Anul 1994, Lei, 150480
D Industria prelucratoare, Total, Hunedoara, Anul 1995, Lei, 228967
D Industria prelucratoare, Total, Hunedoara, Anul 1996, Lei, 332582
D Industria prelucratoare, Total, Hunedoara, Anul 1997, Lei, 607528
D Industria prelucratoare, Total, Hunedoara, Anul 1998, Lei, 911371
D Industria prelucratoare, Total, Hunedoara, Anul 1999, Lei, 1404569
D Industria prelucratoare, Total, Hunedoara, Anul 2000, Lei, 1857778
D Industria prelucratoare, Total, Hunedoara, Anul 2001, Lei, 2621277
D Industria prelucratoare, Total, Hunedoara, Anul 2002, Lei, 3125785
D Industria prelucratoare, Total, Hunedoara, Anul 2003, Lei, 4187948
D Industria prelucratoare, Total, Hunedoara, Anul 2004, Lei, 5550390
D Industria prelucratoare, Total, Hunedoara, Anul 2005, Lei, 616
D Industria prelucratoare, Total, Hunedoara, Anul 2006, Lei, 656
D Industria prelucratoare, Total, Hunedoara, Anul 2007, Lei, 795
D Industria prelucratoare, Total, Hunedoara, Anul 2008, Lei, 948
D Industria prelucratoare, Total, Timis, Anul 1991, Lei, 7612
D Industria prelucratoare, Total, Timis, Anul 1992, Lei, 19670
D Industria prelucratoare, Total, Timis, Anul 1993, Lei, 59301
D Industria prelucratoare, Total, Timis, Anul 1994, Lei, 129943
D Industria prelucratoare, Total, Timis, Anul 1995, Lei, 204315
D Industria prelucratoare, Total, Timis, Anul 1996, Lei, 312257
D Industria prelucratoare, Total, Timis, Anul 1997, Lei, 607785
D Industria prelucratoare, Total, Timis, Anul 1998, Lei, 873571
D Industria prelucratoare, Total, Timis, Anul 1999, Lei, 1403546
D Industria prelucratoare, Total, Timis, Anul 2000, Lei, 1862069
D Industria prelucratoare, Total, Timis, Anul 2001, Lei, 2699724
D Industria prelucratoare, Total, Timis, Anul 2002, Lei, 3522777
D Industria prelucratoare, Total, Timis, Anul 2003, Lei, 4790750
D Industria prelucratoare, Total, Timis, Anul 2004, Lei, 5937418
D Industria prelucratoare, Total, Timis, Anul 2005, Lei, 778
D Industria prelucratoare, Total, Timis, Anul 2006, Lei, 822
D Industria prelucratoare, Total, Timis, Anul 2007, Lei, 959
D Industria prelucratoare, Total, Timis, Anul 2008, Lei, 1114
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1990, Lei, 3969
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1991, Lei, 10020
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1992, Lei, 30947
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1993, Lei, 97115
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1994, Lei, 228765
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1995, Lei, 317502
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1996, Lei, 471698
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1997, Lei, 1055735
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1998, Lei, 1835405
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 1999, Lei, 2396737
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 2000, Lei, 3406634
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 2001, Lei, 4825591
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 2002, Lei, 5863807
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 2003, Lei, 7516409
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 2004, Lei, 9015358
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 2005, Lei, 1176
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 2006, Lei, 1348
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 2007, Lei, 1577
E Energie electrica si termica  gaze si apa, Total, TOTAL, Anul 2008, Lei, 2063
E Energie electrica si termica  gaze si apa, Total, MACROREGIUNEA UNU, Anul 2008, Lei, 1920
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 1991, Lei, 10766
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 1992, Lei, 30115
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 1993, Lei, 91530
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 1994, Lei, 218433
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 1995, Lei, 297877
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 1996, Lei, 448836
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 1997, Lei, 969026
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 1998, Lei, 1714991
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 1999, Lei, 2244831
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 2000, Lei, 3240768
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 2001, Lei, 4485472
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 2002, Lei, 5345554
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 2003, Lei, 7301554
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 2004, Lei, 8682618
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 2005, Lei, 1143
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 2006, Lei, 1254
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 2007, Lei, 1480
E Energie electrica si termica  gaze si apa, Total, Regiunea NORD-VEST, Anul 2008, Lei, 1895
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 1991, Lei, 12210
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 1992, Lei, 35414
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 1993, Lei, 107070
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 1994, Lei, 252490
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 1995, Lei, 349406
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 1996, Lei, 575429
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 1997, Lei, 1136533
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 1998, Lei, 1987953
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 1999, Lei, 2530717
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 2000, Lei, 3537533
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 2001, Lei, 5137813
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 2002, Lei, 5651229
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 2003, Lei, 7930643
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 2004, Lei, 9570666
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 2005, Lei, 1242
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 2006, Lei, 1254
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 2007, Lei, 1529
E Energie electrica si termica  gaze si apa, Total, Bihor, Anul 2008, Lei, 1841
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 1991, Lei, 9279
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 1992, Lei, 26365
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 1993, Lei, 83115
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 1994, Lei, 200452
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 1995, Lei, 258718
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 1996, Lei, 401240
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 1997, Lei, 869047
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 1998, Lei, 1443083
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 1999, Lei, 1893364
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 2000, Lei, 2928837
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 2001, Lei, 3878120
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 2002, Lei, 4742706
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 2003, Lei, 6385861
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 2004, Lei, 7393280
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 2005, Lei, 974
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 2006, Lei, 1081
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 2007, Lei, 1316
E Energie electrica si termica  gaze si apa, Total, Bistrita-Nasaud, Anul 2008, Lei, 1626
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 1991, Lei, 9989
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 1992, Lei, 27692
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 1993, Lei, 86740
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 1994, Lei, 212129
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 1995, Lei, 283650
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 1996, Lei, 423978
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 1997, Lei, 956203
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 1998, Lei, 1676300
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 1999, Lei, 2245113
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 2000, Lei, 3303020
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 2001, Lei, 4445744
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 2002, Lei, 5514150
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 2003, Lei, 7710396
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 2004, Lei, 9532363
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 2005, Lei, 1148
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 2006, Lei, 1404
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 2007, Lei, 1582
E Energie electrica si termica  gaze si apa, Total, Cluj, Anul 2008, Lei, 2097
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 1991, Lei, 11017
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 1992, Lei, 28787
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 1993, Lei, 78213
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 1994, Lei, 184394
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 1995, Lei, 263074
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 1996, Lei, 383228
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 1997, Lei, 842756
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 1998, Lei, 1542139
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 1999, Lei, 2096939
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 2000, Lei, 3022489
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 2001, Lei, 4222812
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 2002, Lei, 5185520
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 2003, Lei, 7038612
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 2004, Lei, 7109669
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 2005, Lei, 1004
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 2006, Lei, 1070
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 2007, Lei, 1382
E Energie electrica si termica  gaze si apa, Total, Maramures, Anul 2008, Lei, 1922
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 1991, Lei, 9431
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 1992, Lei, 25725
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 1993, Lei, 83354
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 1994, Lei, 192055
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 1995, Lei, 272450
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 1996, Lei, 374465
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 1997, Lei, 799037
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 1998, Lei, 1395522
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 1999, Lei, 1910462
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 2000, Lei, 2829298
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 2001, Lei, 3761593
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 2002, Lei, 4704593
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 2003, Lei, 6191272
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 2004, Lei, 7892691
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 2005, Lei, 1286
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 2006, Lei, 1237
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 2007, Lei, 1413
E Energie electrica si termica  gaze si apa, Total, Satu Mare, Anul 2008, Lei, 1793
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 1991, Lei, 10485
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 1992, Lei, 30563
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 1993, Lei, 97223
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 1994, Lei, 228144
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 1995, Lei, 320743
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 1996, Lei, 446592
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 1997, Lei, 994876
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 1998, Lei, 1901100
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 1999, Lei, 2332145
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 2000, Lei, 3171685
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 2001, Lei, 4410126
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 2002, Lei, 5574198
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 2003, Lei, 6496438
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 2004, Lei, 7542538
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 2005, Lei, 1148
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 2006, Lei, 1164
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 2007, Lei, 1277
E Energie electrica si termica  gaze si apa, Total, Salaj, Anul 2008, Lei, 1594
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 1991, Lei, 9016
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 1992, Lei, 30323
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 1993, Lei, 89733
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 1994, Lei, 214349
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 1995, Lei, 301787
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 1996, Lei, 429887
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 1997, Lei, 977732
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 1998, Lei, 1726507
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 1999, Lei, 2226052
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 2000, Lei, 3209514
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 2001, Lei, 4388368
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 2002, Lei, 5602497
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 2003, Lei, 7248878
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 2004, Lei, 8757586
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 2005, Lei, 1159
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 2006, Lei, 1341
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 2007, Lei, 1535
E Energie electrica si termica  gaze si apa, Total, Regiunea CENTRU, Anul 2008, Lei, 1941
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 1991, Lei, 8572
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 1992, Lei, 28273
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 1993, Lei, 85969
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 1994, Lei, 205940
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 1995, Lei, 309245
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 1996, Lei, 415214
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 1997, Lei, 945782
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 1998, Lei, 1648504
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 1999, Lei, 2104549
E Energie electrica si termica  gaze si apa, Total, Alba, Anul 2000, Lei, 3330030
