
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, Dambovita, Anul 2011, Lei, 1254
TOTAL, Total, Dambovita, Anul 2012, Lei, 1323
TOTAL, Total, Dambovita, Anul 2013, Lei, 1412
TOTAL, Total, Giurgiu, Anul 2008, Lei, 1161
TOTAL, Total, Giurgiu, Anul 2009, Lei, 1265
TOTAL, Total, Giurgiu, Anul 2010, Lei, 1254
TOTAL, Total, Giurgiu, Anul 2011, Lei, 1236
TOTAL, Total, Giurgiu, Anul 2012, Lei, 1240
TOTAL, Total, Giurgiu, Anul 2013, Lei, 1332
TOTAL, Total, Ialomita, Anul 2008, Lei, 1087
TOTAL, Total, Ialomita, Anul 2009, Lei, 1131
TOTAL, Total, Ialomita, Anul 2010, Lei, 1134
TOTAL, Total, Ialomita, Anul 2011, Lei, 1161
TOTAL, Total, Ialomita, Anul 2012, Lei, 1212
TOTAL, Total, Ialomita, Anul 2013, Lei, 1239
TOTAL, Total, Prahova, Anul 2008, Lei, 1323
TOTAL, Total, Prahova, Anul 2009, Lei, 1403
TOTAL, Total, Prahova, Anul 2010, Lei, 1389
TOTAL, Total, Prahova, Anul 2011, Lei, 1400
TOTAL, Total, Prahova, Anul 2012, Lei, 1510
TOTAL, Total, Prahova, Anul 2013, Lei, 1542
TOTAL, Total, Teleorman, Anul 2008, Lei, 1100
TOTAL, Total, Teleorman, Anul 2009, Lei, 1122
TOTAL, Total, Teleorman, Anul 2010, Lei, 1124
TOTAL, Total, Teleorman, Anul 2011, Lei, 1139
TOTAL, Total, Teleorman, Anul 2012, Lei, 1168
TOTAL, Total, Teleorman, Anul 2013, Lei, 1236
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Lei, 1810
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Lei, 1817
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Lei, 1946
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Lei, 2086
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Lei, 2187
TOTAL, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Lei, 2265
TOTAL, Total, Ilfov, Anul 2008, Lei, 1560
TOTAL, Total, Ilfov, Anul 2009, Lei, 1697
TOTAL, Total, Ilfov, Anul 2010, Lei, 1717
TOTAL, Total, Ilfov, Anul 2011, Lei, 1862
TOTAL, Total, Ilfov, Anul 2012, Lei, 1994
TOTAL, Total, Ilfov, Anul 2013, Lei, 1960
TOTAL, Total, Municipiul Bucuresti, Anul 2008, Lei, 1838
TOTAL, Total, Municipiul Bucuresti, Anul 2009, Lei, 1831
TOTAL, Total, Municipiul Bucuresti, Anul 2010, Lei, 1973
TOTAL, Total, Municipiul Bucuresti, Anul 2011, Lei, 2114
TOTAL, Total, Municipiul Bucuresti, Anul 2012, Lei, 2213
TOTAL, Total, Municipiul Bucuresti, Anul 2013, Lei, 2304
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2008, Lei, 1231
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2009, Lei, 1287
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2010, Lei, 1297
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2011, Lei, 1331
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2012, Lei, 1399
TOTAL, Total, MACROREGIUNEA PATRU, Anul 2013, Lei, 1467
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Lei, 1260
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Lei, 1308
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Lei, 1299
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Lei, 1330
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Lei, 1377
TOTAL, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Lei, 1433
TOTAL, Total, Dolj, Anul 2008, Lei, 1216
TOTAL, Total, Dolj, Anul 2009, Lei, 1302
TOTAL, Total, Dolj, Anul 2010, Lei, 1269
TOTAL, Total, Dolj, Anul 2011, Lei, 1332
TOTAL, Total, Dolj, Anul 2012, Lei, 1370
TOTAL, Total, Dolj, Anul 2013, Lei, 1465
TOTAL, Total, Gorj, Anul 2008, Lei, 1503
TOTAL, Total, Gorj, Anul 2009, Lei, 1490
TOTAL, Total, Gorj, Anul 2010, Lei, 1520
TOTAL, Total, Gorj, Anul 2011, Lei, 1528
TOTAL, Total, Gorj, Anul 2012, Lei, 1584
TOTAL, Total, Gorj, Anul 2013, Lei, 1608
TOTAL, Total, Mehedinti, Anul 2008, Lei, 1261
TOTAL, Total, Mehedinti, Anul 2009, Lei, 1296
TOTAL, Total, Mehedinti, Anul 2010, Lei, 1321
TOTAL, Total, Mehedinti, Anul 2011, Lei, 1298
TOTAL, Total, Mehedinti, Anul 2012, Lei, 1294
TOTAL, Total, Mehedinti, Anul 2013, Lei, 1367
TOTAL, Total, Olt, Anul 2008, Lei, 1192
TOTAL, Total, Olt, Anul 2009, Lei, 1263
TOTAL, Total, Olt, Anul 2010, Lei, 1214
TOTAL, Total, Olt, Anul 2011, Lei, 1225
TOTAL, Total, Olt, Anul 2012, Lei, 1317
TOTAL, Total, Olt, Anul 2013, Lei, 1379
TOTAL, Total, Valcea, Anul 2008, Lei, 1162
TOTAL, Total, Valcea, Anul 2009, Lei, 1176
TOTAL, Total, Valcea, Anul 2010, Lei, 1190
TOTAL, Total, Valcea, Anul 2011, Lei, 1241
TOTAL, Total, Valcea, Anul 2012, Lei, 1282
TOTAL, Total, Valcea, Anul 2013, Lei, 1295
TOTAL, Total, Regiunea VEST, Anul 2008, Lei, 1207
TOTAL, Total, Regiunea VEST, Anul 2009, Lei, 1270
TOTAL, Total, Regiunea VEST, Anul 2010, Lei, 1295
TOTAL, Total, Regiunea VEST, Anul 2011, Lei, 1332
TOTAL, Total, Regiunea VEST, Anul 2012, Lei, 1416
TOTAL, Total, Regiunea VEST, Anul 2013, Lei, 1492
TOTAL, Total, Arad, Anul 2008, Lei, 1143
TOTAL, Total, Arad, Anul 2009, Lei, 1215
TOTAL, Total, Arad, Anul 2010, Lei, 1246
TOTAL, Total, Arad, Anul 2011, Lei, 1286
TOTAL, Total, Arad, Anul 2012, Lei, 1338
TOTAL, Total, Arad, Anul 2013, Lei, 1402
TOTAL, Total, Caras-Severin, Anul 2008, Lei, 1054
TOTAL, Total, Caras-Severin, Anul 2009, Lei, 1148
TOTAL, Total, Caras-Severin, Anul 2010, Lei, 1174
TOTAL, Total, Caras-Severin, Anul 2011, Lei, 1157
TOTAL, Total, Caras-Severin, Anul 2012, Lei, 1213
TOTAL, Total, Caras-Severin, Anul 2013, Lei, 1227
TOTAL, Total, Hunedoara, Anul 2008, Lei, 1157
TOTAL, Total, Hunedoara, Anul 2009, Lei, 1231
TOTAL, Total, Hunedoara, Anul 2010, Lei, 1204
TOTAL, Total, Hunedoara, Anul 2011, Lei, 1187
TOTAL, Total, Hunedoara, Anul 2012, Lei, 1289
TOTAL, Total, Hunedoara, Anul 2013, Lei, 1311
TOTAL, Total, Timis, Anul 2008, Lei, 1319
TOTAL, Total, Timis, Anul 2009, Lei, 1357
TOTAL, Total, Timis, Anul 2010, Lei, 1409
TOTAL, Total, Timis, Anul 2011, Lei, 1483
TOTAL, Total, Timis, Anul 2012, Lei, 1581
TOTAL, Total, Timis, Anul 2013, Lei, 1704
TOTAL, Masculin, TOTAL, Anul 2011, Lei, 1530
TOTAL, Masculin, TOTAL, Anul 2012, Lei, 1581
TOTAL, Masculin, TOTAL, Anul 2013, Lei, 1640
TOTAL, Masculin, MACROREGIUNEA UNU, Anul 2011, Lei, 1306
TOTAL, Masculin, MACROREGIUNEA UNU, Anul 2012, Lei, 1367
TOTAL, Masculin, MACROREGIUNEA UNU, Anul 2013, Lei, 1405
TOTAL, Masculin, Regiunea NORD-VEST, Anul 2011, Lei, 1267
TOTAL, Masculin, Regiunea NORD-VEST, Anul 2012, Lei, 1333
TOTAL, Masculin, Regiunea NORD-VEST, Anul 2013, Lei, 1367
TOTAL, Masculin, Bihor, Anul 2011, Lei, 1164
TOTAL, Masculin, Bihor, Anul 2012, Lei, 1193
TOTAL, Masculin, Bihor, Anul 2013, Lei, 1166
TOTAL, Masculin, Bistrita-Nasaud, Anul 2011, Lei, 1159
TOTAL, Masculin, Bistrita-Nasaud, Anul 2012, Lei, 1187
TOTAL, Masculin, Bistrita-Nasaud, Anul 2013, Lei, 1201
TOTAL, Masculin, Cluj, Anul 2011, Lei, 1533
TOTAL, Masculin, Cluj, Anul 2012, Lei, 1634
TOTAL, Masculin, Cluj, Anul 2013, Lei, 1728
TOTAL, Masculin, Maramures, Anul 2011, Lei, 1065
TOTAL, Masculin, Maramures, Anul 2012, Lei, 1179
TOTAL, Masculin, Maramures, Anul 2013, Lei, 1156
TOTAL, Masculin, Satu Mare, Anul 2011, Lei, 1135
TOTAL, Masculin, Satu Mare, Anul 2012, Lei, 1182
TOTAL, Masculin, Satu Mare, Anul 2013, Lei, 1291
TOTAL, Masculin, Salaj, Anul 2011, Lei, 1196
TOTAL, Masculin, Salaj, Anul 2012, Lei, 1202
TOTAL, Masculin, Salaj, Anul 2013, Lei, 1272
TOTAL, Masculin, Regiunea CENTRU, Anul 2011, Lei, 1347
TOTAL, Masculin, Regiunea CENTRU, Anul 2012, Lei, 1400
TOTAL, Masculin, Regiunea CENTRU, Anul 2013, Lei, 1444
TOTAL, Masculin, Alba, Anul 2011, Lei, 1319
TOTAL, Masculin, Alba, Anul 2012, Lei, 1355
TOTAL, Masculin, Alba, Anul 2013, Lei, 1401
TOTAL, Masculin, Brasov, Anul 2011, Lei, 1453
TOTAL, Masculin, Brasov, Anul 2012, Lei, 1542
TOTAL, Masculin, Brasov, Anul 2013, Lei, 1539
TOTAL, Masculin, Covasna, Anul 2011, Lei, 1066
TOTAL, Masculin, Covasna, Anul 2012, Lei, 1117
TOTAL, Masculin, Covasna, Anul 2013, Lei, 1122
TOTAL, Masculin, Harghita, Anul 2011, Lei, 1078
TOTAL, Masculin, Harghita, Anul 2012, Lei, 1088
TOTAL, Masculin, Harghita, Anul 2013, Lei, 1131
TOTAL, Masculin, Mures, Anul 2011, Lei, 1320
TOTAL, Masculin, Mures, Anul 2012, Lei, 1391
TOTAL, Masculin, Mures, Anul 2013, Lei, 1437
TOTAL, Masculin, Sibiu, Anul 2011, Lei, 1487
TOTAL, Masculin, Sibiu, Anul 2012, Lei, 1519
TOTAL, Masculin, Sibiu, Anul 2013, Lei, 1624
TOTAL, Masculin, MACROREGIUNEA DOI, Anul 2011, Lei, 1308
TOTAL, Masculin, MACROREGIUNEA DOI, Anul 2012, Lei, 1325
