
Categorii de salariati, Sexe, CAEN Rev.2  (activitati ale economiei nationale), Ani, UM: Lei RON, Valoare
Total, Total, 13 Fabricarea produselor textile, Anul 2003, Lei RON, 354
Total, Total, 13 Fabricarea produselor textile, Anul 2004, Lei RON, 453
Total, Total, 13 Fabricarea produselor textile, Anul 2005, Lei RON, 519
Total, Total, 13 Fabricarea produselor textile, Anul 2006, Lei RON, 575
Total, Total, 13 Fabricarea produselor textile, Anul 2007, Lei RON, 696
Total, Total, 13 Fabricarea produselor textile, Anul 2008, Lei RON, 853
Total, Total, 13 Fabricarea produselor textile, Anul 2009, Lei RON, 979
Total, Total, 13 Fabricarea produselor textile, Anul 2010, Lei RON, 1057
Total, Total, 13 Fabricarea produselor textile, Anul 2011, Lei RON, 1161
Total, Total, 13 Fabricarea produselor textile, Anul 2012, Lei RON, 1218
Total, Total, 13 Fabricarea produselor textile, Anul 2013, Lei RON, 1279
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2000, Lei RON, 149
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2001, Lei RON, 195
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2002, Lei RON, 235
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2003, Lei RON, 327
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2004, Lei RON, 430
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2005, Lei RON, 493
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2006, Lei RON, 526
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2007, Lei RON, 639
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2008, Lei RON, 750
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2009, Lei RON, 773
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2010, Lei RON, 858
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2011, Lei RON, 909
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2012, Lei RON, 958
Total, Total, 14 Fabricarea articolelor de imbracaminte, Anul 2013, Lei RON, 1006
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2000, Lei RON, 133
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2001, Lei RON, 187
