
Categorii de salariati, Sexe, CAEN Rev.2  (activitati ale economiei nationale), Ani, UM: Lei RON, Valoare
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2000, Lei RON, 186
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2001, Lei RON, 265
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2002, Lei RON, 327
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2003, Lei RON, 451
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2004, Lei RON, 578
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2005, Lei RON, 714
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2006, Lei RON, 766
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2007, Lei RON, 922
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2008, Lei RON, 1195
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2009, Lei RON, 1249
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2010, Lei RON, 1103
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2011, Lei RON, 1076
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2012, Lei RON, 1148
Total, Total, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2013, Lei RON, 1216
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2000, Lei RON, 147
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2001, Lei RON, 188
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2002, Lei RON, 313
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2003, Lei RON, 307
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2004, Lei RON, 375
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2005, Lei RON, 459
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2006, Lei RON, 543
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2007, Lei RON, 603
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2008, Lei RON, 780
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2009, Lei RON, 818
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2010, Lei RON, 824
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2011, Lei RON, 852
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2012, Lei RON, 929
Total, Total, S  ALTE ACTIVITATI DE SERVICII, Anul 2013, Lei RON, 991
Total, Masculin, TOTAL, Anul 2003, Lei RON, 527
Total, Masculin, TOTAL, Anul 2004, Lei RON, 643
Total, Masculin, TOTAL, Anul 2005, Lei RON, 796
Total, Masculin, TOTAL, Anul 2006, Lei RON, 922
Total, Masculin, TOTAL, Anul 2007, Lei RON, 1095
Total, Masculin, TOTAL, Anul 2008, Lei RON, 1348
Total, Masculin, TOTAL, Anul 2009, Lei RON, 1405
Total, Masculin, TOTAL, Anul 2010, Lei RON, 1466
Total, Masculin, TOTAL, Anul 2011, Lei RON, 1530
Total, Masculin, TOTAL, Anul 2012, Lei RON, 1581
Total, Masculin, TOTAL, Anul 2013, Lei RON, 1640
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2003, Lei RON, 383
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2004, Lei RON, 482
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2005, Lei RON, 535
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2006, Lei RON, 623
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2007, Lei RON, 746
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2008, Lei RON, 919
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2009, Lei RON, 1014
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2010, Lei RON, 1029
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2011, Lei RON, 1053
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2012, Lei RON, 1105
Total, Masculin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2013, Lei RON, 1190
Total, Masculin, INDUSTRIE, Anul 2003, Lei RON, 556
Total, Masculin, INDUSTRIE, Anul 2004, Lei RON, 676
Total, Masculin, INDUSTRIE, Anul 2005, Lei RON, 835
Total, Masculin, INDUSTRIE, Anul 2006, Lei RON, 944
Total, Masculin, INDUSTRIE, Anul 2007, Lei RON, 1104
Total, Masculin, INDUSTRIE, Anul 2008, Lei RON, 1343
Total, Masculin, INDUSTRIE, Anul 2009, Lei RON, 1463
Total, Masculin, INDUSTRIE, Anul 2010, Lei RON, 1549
Total, Masculin, INDUSTRIE, Anul 2011, Lei RON, 1646
Total, Masculin, INDUSTRIE, Anul 2012, Lei RON, 1722
Total, Masculin, INDUSTRIE, Anul 2013, Lei RON, 1783
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2003, Lei RON, 837
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2004, Lei RON, 992
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2005, Lei RON, 1259
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2006, Lei RON, 1536
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2007, Lei RON, 1821
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2008, Lei RON, 2282
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2009, Lei RON, 2372
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2010, Lei RON, 2427
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2011, Lei RON, 2553
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2012, Lei RON, 2756
Total, Masculin, B  INDUSTRIA EXTRACTIVA, Anul 2013, Lei RON, 2909
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2003, Lei RON, 494
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2004, Lei RON, 608
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2005, Lei RON, 736
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2006, Lei RON, 832
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2007, Lei RON, 984
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2008, Lei RON, 1174
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2009, Lei RON, 1276
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2010, Lei RON, 1373
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2011, Lei RON, 1479
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2012, Lei RON, 1554
Total, Masculin, C  INDUSTRIA PRELUCRATOARE, Anul 2013, Lei RON, 1633
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2003, Lei RON, 893
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2004, Lei RON, 1048
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2005, Lei RON, 1375
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2006, Lei RON, 1556
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2007, Lei RON, 1797
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2008, Lei RON, 2429
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2009, Lei RON, 2621
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2010, Lei RON, 2700
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2011, Lei RON, 2816
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2012, Lei RON, 2925
Total, Masculin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2013, Lei RON, 2950
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2003, Lei RON, 451
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2004, Lei RON, 561
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2005, Lei RON, 677
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2006, Lei RON, 790
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2007, Lei RON, 923
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2008, Lei RON, 1166
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2009, Lei RON, 1253
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2010, Lei RON, 1255
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2011, Lei RON, 1332
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2012, Lei RON, 1389
Total, Masculin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2013, Lei RON, 1384
Total, Masculin, F  CONSTRUCTII, Anul 2003, Lei RON, 421
Total, Masculin, F  CONSTRUCTII, Anul 2004, Lei RON, 522
Total, Masculin, F  CONSTRUCTII, Anul 2005, Lei RON, 625
Total, Masculin, F  CONSTRUCTII, Anul 2006, Lei RON, 706
Total, Masculin, F  CONSTRUCTII, Anul 2007, Lei RON, 871
Total, Masculin, F  CONSTRUCTII, Anul 2008, Lei RON, 1139
Total, Masculin, F  CONSTRUCTII, Anul 2009, Lei RON, 1041
Total, Masculin, F  CONSTRUCTII, Anul 2010, Lei RON, 1105
Total, Masculin, F  CONSTRUCTII, Anul 2011, Lei RON, 1215
Total, Masculin, F  CONSTRUCTII, Anul 2012, Lei RON, 1165
Total, Masculin, F  CONSTRUCTII, Anul 2013, Lei RON, 1158
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2003, Lei RON, 411
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2004, Lei RON, 497
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2005, Lei RON, 654
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2006, Lei RON, 750
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2007, Lei RON, 912
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2008, Lei RON, 1128
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2009, Lei RON, 1158
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2010, Lei RON, 1334
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2011, Lei RON, 1355
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2012, Lei RON, 1447
Total, Masculin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2013, Lei RON, 1398
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2003, Lei RON, 599
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2004, Lei RON, 723
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2005, Lei RON, 851
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2006, Lei RON, 980
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2007, Lei RON, 1158
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2008, Lei RON, 1454
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2009, Lei RON, 1537
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2010, Lei RON, 1562
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2011, Lei RON, 1591
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2012, Lei RON, 1606
Total, Masculin, H  TRANSPORT SI DEPOZITARE, Anul 2013, Lei RON, 1606
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2003, Lei RON, 361
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2004, Lei RON, 468
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2005, Lei RON, 504
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2006, Lei RON, 588
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2007, Lei RON, 712
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2008, Lei RON, 800
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2009, Lei RON, 861
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2010, Lei RON, 832
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2011, Lei RON, 893
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2012, Lei RON, 911
Total, Masculin, I  HOTELURI SI RESTAURANTE, Anul 2013, Lei RON, 960
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2003, Lei RON, 1091
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2004, Lei RON, 1199
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2005, Lei RON, 1639
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2006, Lei RON, 1814
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2007, Lei RON, 2007
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2008, Lei RON, 2174
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2009, Lei RON, 2499
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2010, Lei RON, 2834
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2011, Lei RON, 3117
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2012, Lei RON, 3119
Total, Masculin, J  INFORMATII SI COMUNICATII, Anul 2013, Lei RON, 3233
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2003, Lei RON, 1439
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2004, Lei RON, 1682
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2005, Lei RON, 2314
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2006, Lei RON, 2627
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2007, Lei RON, 2909
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2008, Lei RON, 3741
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2009, Lei RON, 3675
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2010, Lei RON, 3844
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2011, Lei RON, 4167
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2012, Lei RON, 4292
Total, Masculin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2013, Lei RON, 4488
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2003, Lei RON, 445
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2004, Lei RON, 515
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2005, Lei RON, 686
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2006, Lei RON, 743
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2007, Lei RON, 1287
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2008, Lei RON, 1290
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2009, Lei RON, 1184
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2010, Lei RON, 1206
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2011, Lei RON, 1352
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2012, Lei RON, 1256
Total, Masculin, L  TRANZACTII IMOBILIARE, Anul 2013, Lei RON, 1356
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2003, Lei RON, 602
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2004, Lei RON, 753
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2005, Lei RON, 909
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2006, Lei RON, 1034
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2007, Lei RON, 1352
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2008, Lei RON, 1755
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2009, Lei RON, 1910
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2010, Lei RON, 1957
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2011, Lei RON, 2126
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2012, Lei RON, 2268
Total, Masculin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2013, Lei RON, 2434
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2003, Lei RON, 298
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2004, Lei RON, 357
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2005, Lei RON, 444
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2006, Lei RON, 499
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2007, Lei RON, 616
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2008, Lei RON, 779
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2009, Lei RON, 822
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2010, Lei RON, 880
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2011, Lei RON, 903
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2012, Lei RON, 946
Total, Masculin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2013, Lei RON, 1044
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2003, Lei RON, 728
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2004, Lei RON, 858
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2005, Lei RON, 1191
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2006, Lei RON, 1594
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2007, Lei RON, 1898
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2008, Lei RON, 2250
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2009, Lei RON, 2059
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2010, Lei RON, 1848
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2011, Lei RON, 1841
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2012, Lei RON, 2021
Total, Masculin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2013, Lei RON, 2321
Total, Masculin, P  INVATAMANT, Anul 2003, Lei RON, 524
Total, Masculin, P  INVATAMANT, Anul 2004, Lei RON, 729
Total, Masculin, P  INVATAMANT, Anul 2005, Lei RON, 911
Total, Masculin, P  INVATAMANT, Anul 2006, Lei RON, 1198
Total, Masculin, P  INVATAMANT, Anul 2007, Lei RON, 1356
Total, Masculin, P  INVATAMANT, Anul 2008, Lei RON, 1740
Total, Masculin, P  INVATAMANT, Anul 2009, Lei RON, 1754
Total, Masculin, P  INVATAMANT, Anul 2010, Lei RON, 1511
Total, Masculin, P  INVATAMANT, Anul 2011, Lei RON, 1450
Total, Masculin, P  INVATAMANT, Anul 2012, Lei RON, 1500
Total, Masculin, P  INVATAMANT, Anul 2013, Lei RON, 1701
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2003, Lei RON, 472
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2004, Lei RON, 576
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2005, Lei RON, 752
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2006, Lei RON, 949
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2007, Lei RON, 1124
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2008, Lei RON, 1375
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2009, Lei RON, 1486
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2010, Lei RON, 1338
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2011, Lei RON, 1324
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2012, Lei RON, 1446
Total, Masculin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2013, Lei RON, 1627
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2003, Lei RON, 476
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2004, Lei RON, 617
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2005, Lei RON, 768
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2006, Lei RON, 810
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2007, Lei RON, 1050
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2008, Lei RON, 1237
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2009, Lei RON, 1285
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2010, Lei RON, 1125
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2011, Lei RON, 1113
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2012, Lei RON, 1216
Total, Masculin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2013, Lei RON, 1290
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2003, Lei RON, 355
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2004, Lei RON, 434
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2005, Lei RON, 524
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2006, Lei RON, 651
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2007, Lei RON, 738
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2008, Lei RON, 887
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2009, Lei RON, 963
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2010, Lei RON, 951
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2011, Lei RON, 979
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2012, Lei RON, 1065
