;0;Cégnév;Alkalmazottak száma 2017;Alkalmazottak száma 2016;Alkalmazottak száma 2015;Alkalmazottak száma 2014;region;nr;coords;kws;cms
132;33;CONFECTIA MC BRAND SRL;65;96;100;105;csikszek;33;['46.358269 ', ' 25.812759 '];"['keszruhagyartas', 'keszruhak', 'konfekcio', 'konfekcioipar', 'textilipar', '', '""']";530190, Cs\xedkszereda, Szentl\xe9lek u., 39\t
133;34;JAMARO SRL;62;51;51;48;csikszek;34;['46.146941', ' 25.860563'];"['abc-uzletek', 'elelmiszerek', 'elelmiszeruzletek', 'vegyes-uzletek', '', '""']";535100, Tusn\xe1df\xfcrd\xf5, Olt u., 85 (f\xf6ldszint)\t
134;35;EMER COM SRL;59;60;65;64;csikszek;35;['46.3625120', ' 25.7877480'];"['epitkezes', 'epitoanyag-lerakatok', 'epitoanyagok', 'furdoszoba-berendezesek', 'ipari-termekek', '', '""']";530153, Cs\xedkszereda, Ak\xe1cfa u., 3/B\t
135;36;METAGALAX SRL;58;64;58;42;csikszek;36;['46.3735850', ' 25.8003890'];"['eszterga--es-marosmunka', 'tervezes', '', '""']";530241, Cs\xedkszereda, H\xe1rsfa u., 19/A\t
136;37;UNIC TRIO SRL;54;56;55;54;csikszek;37;['46.6556100', ' 25.8063930'];"['kenyer-es-pekaru', 'pektermekek', '', '""']";535200, Bal\xe1nb\xe1nya, 1918. December 1. u., 32/E\t
137;38;CSILLAG SRL;49;102;116;130;csikszek;38;['46.571134', ' 25.976961'];"['ettermek', 'hotelek', 'konferenciaterem', 'panziok', 'szallasolas', 'szallodak', 'turisztikai-szolgaltatasok', 'vendeglok', '', 'Kozmetika', 'fodr\\xe1szatok', 'szaun\\xe1k', 'fitness', 'jakuzzi""']";537145, Gyimesk\xf6z\xe9plok, F\xf5 u., 634\t
138;39;FENYO SRL;49;56;48;48;csikszek;39;['46.3586660', ' 25.8007240'];"['ettermek', 'szallodak', '', '""']";"530132, Cs\xedkszereda, B&#259;lcescu, Nicolae u., 11\t"
139;40;CONFECŢIA MC ATELIER SRL;48;100;104;122;csikszek;40;['46.358269 ', ' 25.812759 '];"['keszruhagyartas', 'keszruhak', 'konfekcio', 'konfekcioipar', 'textilipar', '', '""']";530190, Cs\xedkszereda, Szentl\xe9lek u., 39\t
140;41;ILM COM SRL;48;56;47;50;csikszek;41;['46.3651760', ' 25.7856600'];"['nagybani-kereskedelem', 'nagybani-lerakat', '', '""']";530154, Cs\xedkszereda, Hargita u., 38\t
141;42;PRODIA SRL;48;58;57;59;csikszek;42;['46.364429 ', ' 25.798935 '];"['ver-analizisek', 'egeszsegugyi-intezmenyek', 'hematologiai-vizsgalat', 'koagulacios-vizsgalat', 'biokemiai-vizsgalat', 'immunologia-vizsgalat', 'bakteriologiai-vizsgalat', 'mikrobiologiai-vizsgalat', 'orvosi-laboratoriumok', '', '""']";530225, Cs\xedkszereda, Sz\xedv u., 12/8\t
142;43;SET PROD COM SRL;48;46;44;38;csikszek;43;['46.3578860', ' 25.8111240'];"['epitoanyagok', 'belsoepiteszet', '', '""']";530190, Cs\xedkszereda, Szentl\xe9lek u., 49/B\t
143;44;ALUTUS SA;47;51;41;51;csikszek;44;['46.3694580', ' 25.7723090'];"['nyomdak', '', '""']";530154, Cs\xedkszereda, Hargita u., 108/A\t
144;45;MARIEN PRESSZO SRL;47;44;39;35;csikszek;45;['46.3584230', ' 25.8053230'];"['cukraszdak', 'sutemenyek-es-tortak', 'tortak', 'tortak-es-sutemenyek', '', '""']";530210, Cs\xedkszereda, Pet\xf5fi S\xe1ndor u., 34\t
145;46;DECEAN SRL;46;45;49;50;csikszek;46;['46.3544090', ' 25.8026990'];"['etkezde', 'ettermek', 'vendeglok', '', '""']";530110, Cs\xedkszereda, Z\xf6ld P\xe9ter u., 4\t
146;47;BINGO STAR SRL;45;50;33;53;csikszek;47;['46.3546680', ' 25.7906390'];"['szerencsejatekok', '', '""']";530143, Cs\xedkszereda, F\xfcrd\xf5 u., 50\t
147;48;CONSIGNATIA KORALL SRL;45;40;37;40;csikszek;48;['46.3603200', ' 25.7991930'];"['ettermek', 'gyorsettermek', 'vendeglok', '', '""']";530103, Cs\xedkszereda, Piac u., 4\t
148;49;DISTRIB PLUS SRL;45;39;28;25;csikszek;49;['46.3759820', ' 25.7353140'];"['ital-nagykereskedes', 'italkereskedes', '', '""']";530152, Cs\xedkszereda, Hargita u., 157\t
149;50;ENETIX SOFTWARE SRL;45;36;28;24;csikszek;50;['46.3710880', ' 25.8102030'];"['informatika', 'szoftverek', '', '""']";530111, Cs\xedkszereda, Sz\xe9k u., 7/A\t
150;1;IKOS CONF SA;973;1 063;1 083;1 129;udvarhelyszek;1;['46.289768 ', ' 25.290034 '];"['keszruhagyartas', 'konfekcioipar', 'ruhauzletek', '', '""']";535600, Sz\xe9kelyudvarhely, R\xe1k\xf3czi Ferenc u., 40\t
151;2;NORADA SA;885;897;893;890;udvarhelyszek;2;['46.321000 ', ' 25.316920 '];"['keszruhagyartas', 'konfekcioipar', '', '""']";535600, Sz\xe9kelyudvarhely, Bethlenfalvi \xfa., 225\t
152;3;AMIGO & INTERCOST SRL;786;724;620;631;udvarhelyszek;3;['46.314643 ', ' 25.304518 '];"['ital-nagykereskedes', 'szeszes-ital-nagykereskedes', 'szeszes-italok', '', '""']";535600, Sz\xe9kelyudvarhely, F\xe1sok u., 1A\t
153;4;ELAN TRIO SRL;529;660;669;670;udvarhelyszek;4;['46.289766', ' 25.290058'];"['elelmiszer-kereskedelem', 'elelmiszer-nagykereskedes', 'elelmiszerek', 'vegyes-uzletek', '', '""']";535600, Sz\xe9kelyudvarhely, R\xe1k\xf3czi Ferenc u., 90\t
154;5;COATS ROMANIA SRL;435;388;399;413;udvarhelyszek;5;['46.318101', ' 25.310742'];"['cernagyartas', 'textilipar', 'textilipari-kiegeszitok', '', '""']";"535600, Sz\xe9kelyudvarhely, B&#259;lcescu, Nicolae u., 2\t"
155;6;FAMOS SA;417;453;452;479;udvarhelyszek;6;['46.309722 ', ' 25.297480 '];"['b\\xfatorgyartas', 'b\\xfatorkereskedelem', '', '""']";535600, Sz\xe9kelyudvarhely, V\xe1s\xe1rt\xe9r u., 6\t
156;7;INFOPRESS GROUP SA;329;338;340;321;udvarhelyszek;7;['46.3290635', ' 25.3225476'];"['nyomdak', '', '""']";535600, Sz\xe9kelyudvarhely, Gutenberg t\xe9r, 1\t
157;8;OLIMPIC IMPORT EXPORT SRL;285;173;;4;udvarhelyszek;8;['46.3252760', ' 25.3151270'];"['autoszervizek', '', '""']";535600, Sz\xe9kelyudvarhely, Kadicsfalvi u., 25\t
