;0;Cégnév;Árbevétel 2017 (RON);Árbevétel 2016 (RON);Árbevétel 2015 (RON);Árbevétel 2014 (RON);region;nr;coords;kws;cms
70;21;EUROCONSTRUCT SRL;12 664 199;8 555 352;11 605 779;11 858 092;felso-haromszek;21;['45.9978120', ' 26.1590580'];"['arufuvarozas', 'beton', 'cement', 'cserep-es-tegla', 'epitoanyag-lerakatok', 'glettek-es-nemesvakolatok', 'festekek-es-lakkok', 'zartszelveny', 'homok-es-kavics', 'betonvas', '', 'festekek', 'lakkok', 'betontelep', 'cement', 'vas', 'mesz', 'cserep', 'tegla', 'ragaszto', 'glettek', 'nemes vakolat', 'zart szelvenyek', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, M\xe1jus 1. u., 3\t
71;22;S MODE SA;12 424 193;10 988 251;14 862 212;16 876 047;felso-haromszek;22;['45.9945886', ' 26.1382797'];"['keszruhagyartas', 'nadraggyartas', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Gy\xe1r u., 3\t
72;23;TURISM COVASNA SA;12 120 757;11 254 632;9 665 694;10 079 313;felso-haromszek;23;['45.844993 ', ' 26.166816 '];"['gyogykezelesek', 'hotelek', '', '""']";525200, Kov\xe1szna, 1918. December 1. u., 1-2\t
73;24;SICULCOM SRL;11 953 115;11 050 028;10 740 426;12 252 826;felso-haromszek;24;['45.9959310', ' 26.1560090'];"['ettermek', 'vendeglok', 'rendezvenyek', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Bem J\xf3zsef u., 63/A\t
74;25;FERMA CERNAT SRL;11 620 742;6 391 394;4 281 996;4 569 059;felso-haromszek;25;['45.9500000', ' 26.0333330'];"['zoldsegtermesztes', '', '""']";527070, Csern\xe1ton, , 654/C\t
75;26;LINS & WEINZIERL EXPORTPACKAGING SRL;11 428 420;9 954 323;9 338 785;6 667 951;felso-haromszek;26;['45.851700', ' 26.182911'];"['csomagoloanyagok', '', '""']";525200, Kov\xe1szna, Nagy\xe1llom\xe1s u., 32\t
76;27;GEORGIAN TRANSPORT SRL;10 903 648;14 421 891;16 623 711;30 186 021;felso-haromszek;27;['45.848424', ' 26.195612'];"['aruszallitas', '', '""']";525200, Kov\xe1szna, Cuza Voda u., 44\t
77;28;SLAGER SRL;10 853 913;9 348 239;9 425 692;8 618 983;felso-haromszek;28;['46.001851', ' 26.145744'];"['arufuvarozas', 'hutott-aru-szallitasa', 'nemzetkozi-aruszallitas', 'nemzetkozi-fuvarszervezes', 'spedicio', 'szallitas', 'szallitmanyozas', '', 'Textil \\xe1ru fuvaroz\\xe1sa', '1kg-t\\xf3l 40t-ig \\xe1ru sz\\xe1ll\\xedt\\xe1s""']";525400, K\xe9zdiv\xe1s\xe1rhely, V\xe1g\xf3h\xedd u., 33\t
78;29;AGROWEST BMB SRL;10 271 662;10 107 975;9 992 347;11 025 678;felso-haromszek;29;['45.959291', ' 26.034927'];"['mezogazdasagi-gepek-es-szerszamok', 'szerszamok-es-szerszamgepek', '', '""']";527070, Csern\xe1ton, F\xf5 u., 654\t
79;30;AGRICO M SRL;9 400 301;7 643 351;6 376 915;5 701 521;felso-haromszek;30;['46.0066320', ' 26.1326700'];"['burgonya-vetomag', 'b\\xfazavetomag', 'etkezesi-burgonya', 'lisztb\\xfaza', 'mustarmag', 'repcemag', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Ady Endre u., 43\t
80;31;TRIMEX SERVICII SRL;8 928 863;13 535 129;10 185 155;8 239 848;felso-haromszek;31;['46.040239', ' 26.063746'];"['epitoanyagok', 'mutragya', '', '""']";527160, Torja, F\xf5 u., 7\t
