
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2012, Mii EURO, 32251
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2012, Mii EURO, 36994
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2012, Mii EURO, 31195
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2012, Mii EURO, 21979
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2013, Mii EURO, 23997
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2013, Mii EURO, 28946
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2013, Mii EURO, 28202
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2013, Mii EURO, 32716
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2013, Mii EURO, 30788
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2013, Mii EURO, 32520
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2013, Mii EURO, 35912
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2013, Mii EURO, 37111
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2013, Mii EURO, 36773
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2013, Mii EURO, 37219
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2013, Mii EURO, 31974
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2013, Mii EURO, 27468
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2014, Mii EURO, 26091
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2014, Mii EURO, 32459
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2014, Mii EURO, 34708
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2014, Mii EURO, 37485
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2014, Mii EURO, 37802
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2014, Mii EURO, 37269
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2014, Mii EURO, 45371
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2014, Mii EURO, 35298
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2014, Mii EURO, 41862
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2014, Mii EURO, 40068
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2014, Mii EURO, 35654
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2014, Mii EURO, 28417
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2015, Mii EURO, 28977
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2015, Mii EURO, 35774
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2015, Mii EURO, 47174
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2015, Mii EURO, 38929
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2015, Mii EURO, 42475
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2015, Mii EURO, 47396
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2015, Mii EURO, 50077
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2015, Mii EURO, 46434
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2015, Mii EURO, 51368
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2015, Mii EURO, 48339
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2015, Mii EURO, 46218
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2015, Mii EURO, 41392
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2016, Mii EURO, 36879
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2016, Mii EURO, 52605
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2016, Mii EURO, 56189
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2016, Mii EURO, 55768
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2016, Mii EURO, 54636
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2016, Mii EURO, 56322
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2016, Mii EURO, 52290
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2016, Mii EURO, 56405
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2016, Mii EURO, 56935
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2016, Mii EURO, 53125
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2016, Mii EURO, 52449
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2016, Mii EURO, 46267
TOTAL, 45. Pluta si articole din pluta, Luna ianuarie 2011, Mii EURO, 272
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2011, Mii EURO, 346
TOTAL, 45. Pluta si articole din pluta, Luna martie 2011, Mii EURO, 332
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2011, Mii EURO, 424
TOTAL, 45. Pluta si articole din pluta, Luna mai 2011, Mii EURO, 365
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2011, Mii EURO, 167
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2011, Mii EURO, 507
TOTAL, 45. Pluta si articole din pluta, Luna august 2011, Mii EURO, 326
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2011, Mii EURO, 287
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2011, Mii EURO, 634
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2011, Mii EURO, 1070
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2011, Mii EURO, 237
TOTAL, 45. Pluta si articole din pluta, Luna ianuarie 2012, Mii EURO, 266
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2012, Mii EURO, 549
TOTAL, 45. Pluta si articole din pluta, Luna martie 2012, Mii EURO, 309
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2012, Mii EURO, 402
TOTAL, 45. Pluta si articole din pluta, Luna mai 2012, Mii EURO, 585
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2012, Mii EURO, 374
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2012, Mii EURO, 384
TOTAL, 45. Pluta si articole din pluta, Luna august 2012, Mii EURO, 168
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2012, Mii EURO, 347
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2012, Mii EURO, 715
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2012, Mii EURO, 545
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2012, Mii EURO, 469
TOTAL, 45. Pluta si articole din pluta, Luna ianuarie 2013, Mii EURO, 312
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2013, Mii EURO, 223
TOTAL, 45. Pluta si articole din pluta, Luna martie 2013, Mii EURO, 496
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2013, Mii EURO, 433
TOTAL, 45. Pluta si articole din pluta, Luna mai 2013, Mii EURO, 375
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2013, Mii EURO, 524
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2013, Mii EURO, 318
TOTAL, 45. Pluta si articole din pluta, Luna august 2013, Mii EURO, 295
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2013, Mii EURO, 489
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2013, Mii EURO, 580
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2013, Mii EURO, 481
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2013, Mii EURO, 256
TOTAL, 45. Pluta si articole din pluta, Luna ianuarie 2014, Mii EURO, 383
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2014, Mii EURO, 297
TOTAL, 45. Pluta si articole din pluta, Luna martie 2014, Mii EURO, 526
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2014, Mii EURO, 392
TOTAL, 45. Pluta si articole din pluta, Luna mai 2014, Mii EURO, 411
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2014, Mii EURO, 525
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2014, Mii EURO, 561
