
Categorii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii mc, Valoare
Total, Alba, Anul 1997, Mii metri cubi, 326.8
Total, Alba, Anul 1998, Mii metri cubi, 375.4
Total, Alba, Anul 1999, Mii metri cubi, 332.7
Total, Alba, Anul 2000, Mii metri cubi, 361
Total, Alba, Anul 2001, Mii metri cubi, 398.5
Total, Alba, Anul 2002, Mii metri cubi, 427.3
Total, Alba, Anul 2003, Mii metri cubi, 376.3
Total, Alba, Anul 2004, Mii metri cubi, 321.9
Total, Alba, Anul 2005, Mii metri cubi, 355.4
Total, Alba, Anul 2006, Mii metri cubi, 469.2
Total, Alba, Anul 2007, Mii metri cubi, 413.5
Total, Alba, Anul 2008, Mii metri cubi, 426.5
Total, Alba, Anul 2009, Mii metri cubi, 397.8
Total, Alba, Anul 2010, Mii metri cubi, 526.3
Total, Alba, Anul 2011, Mii metri cubi, 665.3
Total, Alba, Anul 2012, Mii metri cubi, 664.7
Total, Alba, Anul 2013, Mii metri cubi, 589.9
Total, Alba, Anul 2014, Mii metri cubi, 642.7
Total, Alba, Anul 2015, Mii metri cubi, 499.3
Total, Brasov, Anul 1990, Mii metri cubi, 547.6
Total, Brasov, Anul 1991, Mii metri cubi, 498.9
Total, Brasov, Anul 1992, Mii metri cubi, 417.6
Total, Brasov, Anul 1993, Mii metri cubi, 375.8
Total, Brasov, Anul 1994, Mii metri cubi, 404.5
Total, Brasov, Anul 1995, Mii metri cubi, 435.5
Total, Brasov, Anul 1996, Mii metri cubi, 480.6
Total, Brasov, Anul 1997, Mii metri cubi, 484.1
Total, Brasov, Anul 1998, Mii metri cubi, 449.8
Total, Brasov, Anul 1999, Mii metri cubi, 534.3
Total, Brasov, Anul 2000, Mii metri cubi, 500.2
Total, Brasov, Anul 2001, Mii metri cubi, 482.7
Total, Brasov, Anul 2002, Mii metri cubi, 494.1
Total, Brasov, Anul 2003, Mii metri cubi, 503.9
Total, Brasov, Anul 2004, Mii metri cubi, 497.9
Total, Brasov, Anul 2005, Mii metri cubi, 516.6
Total, Brasov, Anul 2006, Mii metri cubi, 453.2
Total, Brasov, Anul 2007, Mii metri cubi, 600.9
Total, Brasov, Anul 2008, Mii metri cubi, 646.8
Total, Brasov, Anul 2009, Mii metri cubi, 695.3
Total, Brasov, Anul 2010, Mii metri cubi, 815.7
Total, Brasov, Anul 2011, Mii metri cubi, 761.6
Total, Brasov, Anul 2012, Mii metri cubi, 738.7
Total, Brasov, Anul 2013, Mii metri cubi, 846.9
Total, Brasov, Anul 2014, Mii metri cubi, 766.6
Total, Brasov, Anul 2015, Mii metri cubi, 868
Total, Covasna, Anul 1990, Mii metri cubi, 475
Total, Covasna, Anul 1991, Mii metri cubi, 410.5
Total, Covasna, Anul 1992, Mii metri cubi, 460.6
Total, Covasna, Anul 1993, Mii metri cubi, 410.7
Total, Covasna, Anul 1994, Mii metri cubi, 447.3
Total, Covasna, Anul 1995, Mii metri cubi, 560.5
Total, Covasna, Anul 1996, Mii metri cubi, 1474.2
Total, Covasna, Anul 1997, Mii metri cubi, 1155
Total, Covasna, Anul 1998, Mii metri cubi, 655.8
Total, Covasna, Anul 1999, Mii metri cubi, 497.2
Total, Covasna, Anul 2000, Mii metri cubi, 466.7
Total, Covasna, Anul 2001, Mii metri cubi, 355.6
Total, Covasna, Anul 2002, Mii metri cubi, 354.5
Total, Covasna, Anul 2003, Mii metri cubi, 423.3
Total, Covasna, Anul 2004, Mii metri cubi, 555.7
Total, Covasna, Anul 2005, Mii metri cubi, 545.5
Total, Covasna, Anul 2006, Mii metri cubi, 462.8
Total, Covasna, Anul 2007, Mii metri cubi, 485.4
Total, Covasna, Anul 2008, Mii metri cubi, 443.6
Total, Covasna, Anul 2009, Mii metri cubi, 495.7
Total, Covasna, Anul 2010, Mii metri cubi, 511.6
Total, Covasna, Anul 2011, Mii metri cubi, 545.3
Total, Covasna, Anul 2012, Mii metri cubi, 576.4
Total, Covasna, Anul 2013, Mii metri cubi, 626.2
Total, Covasna, Anul 2014, Mii metri cubi, 632.9
Total, Covasna, Anul 2015, Mii metri cubi, 541.9
Total, Harghita, Anul 1990, Mii metri cubi, 1050.2
Total, Harghita, Anul 1991, Mii metri cubi, 868.3
Total, Harghita, Anul 1992, Mii metri cubi, 726
Total, Harghita, Anul 1993, Mii metri cubi, 633.8
Total, Harghita, Anul 1994, Mii metri cubi, 585
Total, Harghita, Anul 1995, Mii metri cubi, 1295.7
Total, Harghita, Anul 1996, Mii metri cubi, 863
Total, Harghita, Anul 1997, Mii metri cubi, 1284.2
Total, Harghita, Anul 1998, Mii metri cubi, 1191.5
Total, Harghita, Anul 1999, Mii metri cubi, 1231.7
Total, Harghita, Anul 2000, Mii metri cubi, 1131.5
Total, Harghita, Anul 2001, Mii metri cubi, 728.8
Total, Harghita, Anul 2002, Mii metri cubi, 992.6
Total, Harghita, Anul 2003, Mii metri cubi, 1005.1
Total, Harghita, Anul 2004, Mii metri cubi, 966.1
Total, Harghita, Anul 2005, Mii metri cubi, 1063.9
Total, Harghita, Anul 2006, Mii metri cubi, 955.2
Total, Harghita, Anul 2007, Mii metri cubi, 1172.1
Total, Harghita, Anul 2008, Mii metri cubi, 1279
Total, Harghita, Anul 2009, Mii metri cubi, 972.8
Total, Harghita, Anul 2010, Mii metri cubi, 999.8
Total, Harghita, Anul 2011, Mii metri cubi, 1031.2
Total, Harghita, Anul 2012, Mii metri cubi, 983.9
Total, Harghita, Anul 2013, Mii metri cubi, 1095.5
Total, Harghita, Anul 2014, Mii metri cubi, 1042.8
Total, Harghita, Anul 2015, Mii metri cubi, 1035.1
Total, Mures, Anul 1990, Mii metri cubi, 718.2
Total, Mures, Anul 1991, Mii metri cubi, 678.5
Total, Mures, Anul 1992, Mii metri cubi, 598.1
Total, Mures, Anul 1993, Mii metri cubi, 512.3
Total, Mures, Anul 1994, Mii metri cubi, 439.8
