
Categorii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii mc, Valoare
Diverse specii tari, Covasna, Anul 1992, Mii metri cubi, 36.5
Diverse specii tari, Covasna, Anul 1993, Mii metri cubi, 32
Diverse specii tari, Covasna, Anul 1994, Mii metri cubi, 28.6
Diverse specii tari, Covasna, Anul 1995, Mii metri cubi, 29.1
Diverse specii tari, Covasna, Anul 1996, Mii metri cubi, 19.3
Diverse specii tari, Covasna, Anul 1997, Mii metri cubi, 23.8
Diverse specii tari, Covasna, Anul 1998, Mii metri cubi, 21.9
Diverse specii tari, Covasna, Anul 1999, Mii metri cubi, 19.5
Diverse specii tari, Covasna, Anul 2000, Mii metri cubi, 21.6
Diverse specii tari, Covasna, Anul 2001, Mii metri cubi, 17.3
Diverse specii tari, Covasna, Anul 2002, Mii metri cubi, 19.8
Diverse specii tari, Covasna, Anul 2003, Mii metri cubi, 24.8
Diverse specii tari, Covasna, Anul 2004, Mii metri cubi, 37.8
Diverse specii tari, Covasna, Anul 2005, Mii metri cubi, 33.5
Diverse specii tari, Covasna, Anul 2006, Mii metri cubi, 27.2
Diverse specii tari, Covasna, Anul 2007, Mii metri cubi, 30.5
Diverse specii tari, Covasna, Anul 2008, Mii metri cubi, 32.6
Diverse specii tari, Covasna, Anul 2009, Mii metri cubi, 35.1
Diverse specii tari, Covasna, Anul 2010, Mii metri cubi, 34.2
Diverse specii tari, Covasna, Anul 2011, Mii metri cubi, 38.6
Diverse specii tari, Covasna, Anul 2012, Mii metri cubi, 43.3
Diverse specii tari, Covasna, Anul 2013, Mii metri cubi, 50.7
Diverse specii tari, Covasna, Anul 2014, Mii metri cubi, 49.7
Diverse specii tari, Covasna, Anul 2015, Mii metri cubi, 43.6
Diverse specii tari, Harghita, Anul 1990, Mii metri cubi, 26.5
Diverse specii tari, Harghita, Anul 1991, Mii metri cubi, 24.9
Diverse specii tari, Harghita, Anul 1992, Mii metri cubi, 14.3
Diverse specii tari, Harghita, Anul 1993, Mii metri cubi, 13
Diverse specii tari, Harghita, Anul 1994, Mii metri cubi, 9.2
Diverse specii tari, Harghita, Anul 1995, Mii metri cubi, 10.3
Diverse specii tari, Harghita, Anul 1996, Mii metri cubi, 7.5
Diverse specii tari, Harghita, Anul 1997, Mii metri cubi, 7.5
Diverse specii tari, Harghita, Anul 1998, Mii metri cubi, 7.7
Diverse specii tari, Harghita, Anul 1999, Mii metri cubi, 9.8
Diverse specii tari, Harghita, Anul 2000, Mii metri cubi, 13.7
Diverse specii tari, Harghita, Anul 2001, Mii metri cubi, 10
Diverse specii tari, Harghita, Anul 2002, Mii metri cubi, 11.6
Diverse specii tari, Harghita, Anul 2003, Mii metri cubi, 10.6
Diverse specii tari, Harghita, Anul 2004, Mii metri cubi, 11.3
Diverse specii tari, Harghita, Anul 2005, Mii metri cubi, 14.2
Diverse specii tari, Harghita, Anul 2006, Mii metri cubi, 15.2
Diverse specii tari, Harghita, Anul 2007, Mii metri cubi, 14.4
Diverse specii tari, Harghita, Anul 2008, Mii metri cubi, 26
Diverse specii tari, Harghita, Anul 2009, Mii metri cubi, 20.3
Diverse specii tari, Harghita, Anul 2010, Mii metri cubi, 16.3
Diverse specii tari, Harghita, Anul 2011, Mii metri cubi, 22.5
Diverse specii tari, Harghita, Anul 2012, Mii metri cubi, 29.3
Diverse specii tari, Harghita, Anul 2013, Mii metri cubi, 27.4
Diverse specii tari, Harghita, Anul 2014, Mii metri cubi, 25.5
Diverse specii tari, Harghita, Anul 2015, Mii metri cubi, 31.5
Diverse specii tari, Mures, Anul 1990, Mii metri cubi, 53.3
Diverse specii tari, Mures, Anul 1991, Mii metri cubi, 74.2
Diverse specii tari, Mures, Anul 1992, Mii metri cubi, 74.7
Diverse specii tari, Mures, Anul 1993, Mii metri cubi, 74.1
Diverse specii tari, Mures, Anul 1994, Mii metri cubi, 44.7
Diverse specii tari, Mures, Anul 1995, Mii metri cubi, 49.2
Diverse specii tari, Mures, Anul 1996, Mii metri cubi, 43
Diverse specii tari, Mures, Anul 1997, Mii metri cubi, 42.7
Diverse specii tari, Mures, Anul 1998, Mii metri cubi, 34.9
Diverse specii tari, Mures, Anul 1999, Mii metri cubi, 44.4
Diverse specii tari, Mures, Anul 2000, Mii metri cubi, 57.6
Diverse specii tari, Mures, Anul 2001, Mii metri cubi, 63.2
Diverse specii tari, Mures, Anul 2002, Mii metri cubi, 56.1
Diverse specii tari, Mures, Anul 2003, Mii metri cubi, 76.8
Diverse specii tari, Mures, Anul 2004, Mii metri cubi, 81
Diverse specii tari, Mures, Anul 2005, Mii metri cubi, 93
Diverse specii tari, Mures, Anul 2006, Mii metri cubi, 93.5
Diverse specii tari, Mures, Anul 2007, Mii metri cubi, 80.7
Diverse specii tari, Mures, Anul 2008, Mii metri cubi, 82.9
Diverse specii tari, Mures, Anul 2009, Mii metri cubi, 103.1
Diverse specii tari, Mures, Anul 2010, Mii metri cubi, 56.2
Diverse specii tari, Mures, Anul 2011, Mii metri cubi, 108.6
Diverse specii tari, Mures, Anul 2012, Mii metri cubi, 111.4
Diverse specii tari, Mures, Anul 2013, Mii metri cubi, 96.7
Diverse specii tari, Mures, Anul 2014, Mii metri cubi, 107.2
Diverse specii tari, Mures, Anul 2015, Mii metri cubi, 49.6
Diverse specii moi, TOTAL, Anul 1990, Mii metri cubi, 1761.7
Diverse specii moi, TOTAL, Anul 1991, Mii metri cubi, 1768.7
Diverse specii moi, TOTAL, Anul 1992, Mii metri cubi, 1524.4
Diverse specii moi, TOTAL, Anul 1993, Mii metri cubi, 1452.2
Diverse specii moi, TOTAL, Anul 1994, Mii metri cubi, 1228.3
Diverse specii moi, TOTAL, Anul 1995, Mii metri cubi, 1300
Diverse specii moi, TOTAL, Anul 1996, Mii metri cubi, 1251.5
Diverse specii moi, TOTAL, Anul 1997, Mii metri cubi, 1163.9
Diverse specii moi, TOTAL, Anul 1998, Mii metri cubi, 1044.9
Diverse specii moi, TOTAL, Anul 1999, Mii metri cubi, 1092.9
Diverse specii moi, TOTAL, Anul 2000, Mii metri cubi, 1366.2
Diverse specii moi, TOTAL, Anul 2001, Mii metri cubi, 1273.8
Diverse specii moi, TOTAL, Anul 2002, Mii metri cubi, 1478.3
Diverse specii moi, TOTAL, Anul 2003, Mii metri cubi, 1450.2
Diverse specii moi, TOTAL, Anul 2004, Mii metri cubi, 1588.6
Diverse specii moi, TOTAL, Anul 2005, Mii metri cubi, 1378.4
Diverse specii moi, TOTAL, Anul 2006, Mii metri cubi, 1375
Diverse specii moi, TOTAL, Anul 2007, Mii metri cubi, 1412.1
Diverse specii moi, TOTAL, Anul 2008, Mii metri cubi, 1317.7
Diverse specii moi, TOTAL, Anul 2009, Mii metri cubi, 1148.2
Diverse specii moi, TOTAL, Anul 2010, Mii metri cubi, 1155
Diverse specii moi, TOTAL, Anul 2011, Mii metri cubi, 1315.4
Diverse specii moi, TOTAL, Anul 2012, Mii metri cubi, 1432.5
Diverse specii moi, TOTAL, Anul 2013, Mii metri cubi, 1423.3
Diverse specii moi, TOTAL, Anul 2014, Mii metri cubi, 1287.6
Diverse specii moi, TOTAL, Anul 2015, Mii metri cubi, 1416.2
Diverse specii moi, Covasna, Anul 1990, Mii metri cubi, 36.6
Diverse specii moi, Covasna, Anul 1991, Mii metri cubi, 29.6
Diverse specii moi, Covasna, Anul 1992, Mii metri cubi, 35.5
Diverse specii moi, Covasna, Anul 1993, Mii metri cubi, 25.9
Diverse specii moi, Covasna, Anul 1994, Mii metri cubi, 23.8
Diverse specii moi, Covasna, Anul 1995, Mii metri cubi, 20.3
Diverse specii moi, Covasna, Anul 1996, Mii metri cubi, 15.8
Diverse specii moi, Covasna, Anul 1997, Mii metri cubi, 18.3
Diverse specii moi, Covasna, Anul 1998, Mii metri cubi, 19.6
Diverse specii moi, Covasna, Anul 1999, Mii metri cubi, 22.3
Diverse specii moi, Covasna, Anul 2000, Mii metri cubi, 17.4
Diverse specii moi, Covasna, Anul 2001, Mii metri cubi, 14.7
Diverse specii moi, Covasna, Anul 2002, Mii metri cubi, 11.4
Diverse specii moi, Covasna, Anul 2003, Mii metri cubi, 13.7
Diverse specii moi, Covasna, Anul 2004, Mii metri cubi, 17.1
Diverse specii moi, Covasna, Anul 2005, Mii metri cubi, 11.4
Diverse specii moi, Covasna, Anul 2006, Mii metri cubi, 9.8
Diverse specii moi, Covasna, Anul 2007, Mii metri cubi, 12
Diverse specii moi, Covasna, Anul 2008, Mii metri cubi, 14.4
Diverse specii moi, Covasna, Anul 2009, Mii metri cubi, 17.5
Diverse specii moi, Covasna, Anul 2010, Mii metri cubi, 15.9
Diverse specii moi, Covasna, Anul 2011, Mii metri cubi, 19.5
Diverse specii moi, Covasna, Anul 2012, Mii metri cubi, 21.1
Diverse specii moi, Covasna, Anul 2013, Mii metri cubi, 23.2
Diverse specii moi, Covasna, Anul 2014, Mii metri cubi, 21.3
Diverse specii moi, Covasna, Anul 2015, Mii metri cubi, 18
Diverse specii moi, Harghita, Anul 1990, Mii metri cubi, 25.4
Diverse specii moi, Harghita, Anul 1991, Mii metri cubi, 16.4
Diverse specii moi, Harghita, Anul 1992, Mii metri cubi, 14
Diverse specii moi, Harghita, Anul 1993, Mii metri cubi, 12.3
Diverse specii moi, Harghita, Anul 1994, Mii metri cubi, 6.5
Diverse specii moi, Harghita, Anul 1995, Mii metri cubi, 7.2
Diverse specii moi, Harghita, Anul 1996, Mii metri cubi, 7.8
Diverse specii moi, Harghita, Anul 1997, Mii metri cubi, 7.4
Diverse specii moi, Harghita, Anul 1998, Mii metri cubi, 6.9
Diverse specii moi, Harghita, Anul 1999, Mii metri cubi, 8
Diverse specii moi, Harghita, Anul 2000, Mii metri cubi, 9.1
Diverse specii moi, Harghita, Anul 2001, Mii metri cubi, 4.9
Diverse specii moi, Harghita, Anul 2002, Mii metri cubi, 7.4
Diverse specii moi, Harghita, Anul 2003, Mii metri cubi, 4.2
Diverse specii moi, Harghita, Anul 2004, Mii metri cubi, 6.3
Diverse specii moi, Harghita, Anul 2005, Mii metri cubi, 7.3
Diverse specii moi, Harghita, Anul 2006, Mii metri cubi, 4.1
Diverse specii moi, Harghita, Anul 2007, Mii metri cubi, 6.8
Diverse specii moi, Harghita, Anul 2008, Mii metri cubi, 11
Diverse specii moi, Harghita, Anul 2009, Mii metri cubi, 8.9
Diverse specii moi, Harghita, Anul 2010, Mii metri cubi, 6.9
Diverse specii moi, Harghita, Anul 2011, Mii metri cubi, 11.4
Diverse specii moi, Harghita, Anul 2012, Mii metri cubi, 11.8
Diverse specii moi, Harghita, Anul 2013, Mii metri cubi, 16.9
Diverse specii moi, Harghita, Anul 2014, Mii metri cubi, 12.9
Diverse specii moi, Harghita, Anul 2015, Mii metri cubi, 15.5
Diverse specii moi, Mures, Anul 1990, Mii metri cubi, 30.4
Diverse specii moi, Mures, Anul 1991, Mii metri cubi, 51.7
Diverse specii moi, Mures, Anul 1992, Mii metri cubi, 35.5
Diverse specii moi, Mures, Anul 1993, Mii metri cubi, 36.2
Diverse specii moi, Mures, Anul 1994, Mii metri cubi, 23.8
Diverse specii moi, Mures, Anul 1995, Mii metri cubi, 39.5
Diverse specii moi, Mures, Anul 1996, Mii metri cubi, 14.2
Diverse specii moi, Mures, Anul 1997, Mii metri cubi, 18.4
Diverse specii moi, Mures, Anul 1998, Mii metri cubi, 17.2
Diverse specii moi, Mures, Anul 1999, Mii metri cubi, 16.2
Diverse specii moi, Mures, Anul 2000, Mii metri cubi, 22.4
Diverse specii moi, Mures, Anul 2001, Mii metri cubi, 19.6
Diverse specii moi, Mures, Anul 2002, Mii metri cubi, 18.7
Diverse specii moi, Mures, Anul 2003, Mii metri cubi, 22.6
Diverse specii moi, Mures, Anul 2004, Mii metri cubi, 21.7
Diverse specii moi, Mures, Anul 2005, Mii metri cubi, 17.9
Diverse specii moi, Mures, Anul 2006, Mii metri cubi, 16.8
Diverse specii moi, Mures, Anul 2007, Mii metri cubi, 14.9
Diverse specii moi, Mures, Anul 2008, Mii metri cubi, 15.2
Diverse specii moi, Mures, Anul 2009, Mii metri cubi, 15.1
Diverse specii moi, Mures, Anul 2010, Mii metri cubi, 12.4
Diverse specii moi, Mures, Anul 2011, Mii metri cubi, 23.9
Diverse specii moi, Mures, Anul 2012, Mii metri cubi, 20.5
Diverse specii moi, Mures, Anul 2013, Mii metri cubi, 18.2
Diverse specii moi, Mures, Anul 2014, Mii metri cubi, 17.9
Diverse specii moi, Mures, Anul 2015, Mii metri cubi, 8.4
