
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2011, Mii EURO, 122399
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2011, Mii EURO, 115953
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2011, Mii EURO, 127044
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2011, Mii EURO, 129409
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2011, Mii EURO, 128730
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2011, Mii EURO, 106174
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2012, Mii EURO, 117528
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2012, Mii EURO, 107979
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2012, Mii EURO, 147915
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2012, Mii EURO, 129216
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2012, Mii EURO, 149675
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2012, Mii EURO, 144607
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2012, Mii EURO, 141380
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2012, Mii EURO, 129275
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2012, Mii EURO, 134573
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2012, Mii EURO, 150564
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2012, Mii EURO, 148182
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2012, Mii EURO, 112640
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2013, Mii EURO, 132676
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2013, Mii EURO, 137916
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2013, Mii EURO, 165565
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2013, Mii EURO, 168400
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2013, Mii EURO, 166432
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2013, Mii EURO, 161237
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2013, Mii EURO, 175029
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2013, Mii EURO, 151338
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2013, Mii EURO, 160427
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2013, Mii EURO, 173607
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2013, Mii EURO, 156728
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2013, Mii EURO, 130753
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2014, Mii EURO, 141146
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2014, Mii EURO, 154300
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2014, Mii EURO, 171601
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2014, Mii EURO, 167650
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2014, Mii EURO, 164559
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2014, Mii EURO, 161593
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2014, Mii EURO, 163439
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2014, Mii EURO, 131079
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2014, Mii EURO, 160028
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2014, Mii EURO, 158587
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2014, Mii EURO, 144645
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2014, Mii EURO, 136426
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2015, Mii EURO, 138730
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2015, Mii EURO, 148645
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2015, Mii EURO, 171185
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2015, Mii EURO, 165989
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2015, Mii EURO, 168649
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2015, Mii EURO, 157260
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2015, Mii EURO, 158963
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2015, Mii EURO, 134591
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2015, Mii EURO, 143136
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2015, Mii EURO, 151034
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2015, Mii EURO, 141521
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2015, Mii EURO, 128879
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2016, Mii EURO, 125267
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2016, Mii EURO, 137849
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2016, Mii EURO, 151578
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2016, Mii EURO, 145116
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2016, Mii EURO, 145597
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2016, Mii EURO, 142217
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2016, Mii EURO, 130774
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2016, Mii EURO, 131173
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2016, Mii EURO, 139238
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2016, Mii EURO, 136652
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2016, Mii EURO, 142947
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2016, Mii EURO, 114432
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2011, Mii EURO, 7
TOTAL, 45. Pluta si articole din pluta, Luna mai 2011, Mii EURO, 4
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2011, Mii EURO, 10
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2011, Mii EURO, 11
TOTAL, 45. Pluta si articole din pluta, Luna august 2011, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2011, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2011, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2011, Mii EURO, 6
TOTAL, 45. Pluta si articole din pluta, Luna martie 2012, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2012, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2012, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna august 2012, Mii EURO, 47
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2012, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2012, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2012, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2012, Mii EURO, 4
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2013, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna martie 2013, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2013, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2013, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2013, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2013, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2013, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna ianuarie 2014, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2014, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna martie 2014, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2014, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna mai 2014, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2014, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2014, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna august 2014, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2014, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2014, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2014, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2014, Mii EURO, 28
TOTAL, 45. Pluta si articole din pluta, Luna ianuarie 2015, Mii EURO, 1
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2015, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna martie 2015, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2015, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna mai 2015, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2015, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2015, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna august 2015, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2015, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2015, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2015, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2015, Mii EURO, 14
TOTAL, 45. Pluta si articole din pluta, Luna ianuarie 2016, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2016, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna martie 2016, Mii EURO, 4
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2016, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna mai 2016, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2016, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2016, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna august 2016, Mii EURO, 5
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2016, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2016, Mii EURO, 2
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2016, Mii EURO, 3
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2016, Mii EURO, 5
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2011, Mii EURO, 37
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2011, Mii EURO, 19
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2011, Mii EURO, 43
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2011, Mii EURO, 23
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2011, Mii EURO, 6
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2011, Mii EURO, 26
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2011, Mii EURO, 12
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2011, Mii EURO, 69
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2011, Mii EURO, 4
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2011, Mii EURO, 13
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2011, Mii EURO, 3
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2011, Mii EURO, 1
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2012, Mii EURO, 2
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2012, Mii EURO, 38
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2012, Mii EURO, 16
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2012, Mii EURO, 8
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2012, Mii EURO, 44
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2012, Mii EURO, 11
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2012, Mii EURO, 1
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2012, Mii EURO, 5
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2012, Mii EURO, 33
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2012, Mii EURO, 35
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2012, Mii EURO, 7
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2012, Mii EURO, 1
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2013, Mii EURO, 38
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2013, Mii EURO, 2
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2013, Mii EURO, 3
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2013, Mii EURO, 2
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2013, Mii EURO, 16
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2013, Mii EURO, 7
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2013, Mii EURO, 4
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2013, Mii EURO, 24
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2013, Mii EURO, 3
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2013, Mii EURO, 16
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2013, Mii EURO, 3
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2013, Mii EURO, 30
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2014, Mii EURO, 6
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2014, Mii EURO, 5
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2014, Mii EURO, 3
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2014, Mii EURO, 8
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2014, Mii EURO, 9
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2014, Mii EURO, 10
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2014, Mii EURO, 16
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2014, Mii EURO, 13
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2014, Mii EURO, 22
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2014, Mii EURO, 5
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2014, Mii EURO, 8
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2014, Mii EURO, 10
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2015, Mii EURO, 37
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2015, Mii EURO, 5
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2015, Mii EURO, 5
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2015, Mii EURO, 7
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2015, Mii EURO, 27
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2015, Mii EURO, 23
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2015, Mii EURO, 8
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2015, Mii EURO, 4
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2015, Mii EURO, 20
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2015, Mii EURO, 8
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2015, Mii EURO, 27
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2015, Mii EURO, 13
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2016, Mii EURO, 5
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2016, Mii EURO, 20
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2016, Mii EURO, 12
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2016, Mii EURO, 25
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2016, Mii EURO, 22
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2016, Mii EURO, 64
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2016, Mii EURO, 15
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2016, Mii EURO, 9
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2016, Mii EURO, 26
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2016, Mii EURO, 18
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2016, Mii EURO, 32
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2016, Mii EURO, 16
