
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
Alba, X. Hirtie si articole din acestea, Luna noiembrie 2013, Mii EURO, 3479
Alba, X. Hirtie si articole din acestea, Luna decembrie 2013, Mii EURO, 3502
Alba, X. Hirtie si articole din acestea, Luna ianuarie 2014, Mii EURO, 1837
Alba, X. Hirtie si articole din acestea, Luna februarie 2014, Mii EURO, 2782
Alba, X. Hirtie si articole din acestea, Luna martie 2014, Mii EURO, 2707
Alba, X. Hirtie si articole din acestea, Luna aprilie 2014, Mii EURO, 2849
Alba, X. Hirtie si articole din acestea, Luna mai 2014, Mii EURO, 3210
Alba, X. Hirtie si articole din acestea, Luna iunie 2014, Mii EURO, 3386
Alba, X. Hirtie si articole din acestea, Luna iulie 2014, Mii EURO, 3212
Alba, X. Hirtie si articole din acestea, Luna august 2014, Mii EURO, 3408
Alba, X. Hirtie si articole din acestea, Luna septembrie 2014, Mii EURO, 3982
Alba, X. Hirtie si articole din acestea, Luna octombrie 2014, Mii EURO, 4267
Alba, X. Hirtie si articole din acestea, Luna noiembrie 2014, Mii EURO, 2980
Alba, X. Hirtie si articole din acestea, Luna decembrie 2014, Mii EURO, 4128
Alba, X. Hirtie si articole din acestea, Luna ianuarie 2015, Mii EURO, 3660
Alba, X. Hirtie si articole din acestea, Luna februarie 2015, Mii EURO, 3284
Alba, X. Hirtie si articole din acestea, Luna martie 2015, Mii EURO, 3260
Alba, X. Hirtie si articole din acestea, Luna aprilie 2015, Mii EURO, 3690
Alba, X. Hirtie si articole din acestea, Luna mai 2015, Mii EURO, 3648
Alba, X. Hirtie si articole din acestea, Luna iunie 2015, Mii EURO, 3864
Alba, X. Hirtie si articole din acestea, Luna iulie 2015, Mii EURO, 4339
Alba, X. Hirtie si articole din acestea, Luna august 2015, Mii EURO, 2897
Alba, X. Hirtie si articole din acestea, Luna septembrie 2015, Mii EURO, 4407
Alba, X. Hirtie si articole din acestea, Luna octombrie 2015, Mii EURO, 3387
Alba, X. Hirtie si articole din acestea, Luna noiembrie 2015, Mii EURO, 4114
Alba, X. Hirtie si articole din acestea, Luna decembrie 2015, Mii EURO, 4903
Alba, X. Hirtie si articole din acestea, Luna ianuarie 2016, Mii EURO, 5148
Alba, X. Hirtie si articole din acestea, Luna februarie 2016, Mii EURO, 3612
Alba, X. Hirtie si articole din acestea, Luna martie 2016, Mii EURO, 5291
Alba, X. Hirtie si articole din acestea, Luna aprilie 2016, Mii EURO, 4358
Alba, X. Hirtie si articole din acestea, Luna mai 2016, Mii EURO, 3975
Alba, X. Hirtie si articole din acestea, Luna iunie 2016, Mii EURO, 4148
Alba, X. Hirtie si articole din acestea, Luna iulie 2016, Mii EURO, 4757
Alba, X. Hirtie si articole din acestea, Luna august 2016, Mii EURO, 4703
Alba, X. Hirtie si articole din acestea, Luna septembrie 2016, Mii EURO, 4647
Alba, X. Hirtie si articole din acestea, Luna octombrie 2016, Mii EURO, 5375
Alba, X. Hirtie si articole din acestea, Luna noiembrie 2016, Mii EURO, 5226
Alba, X. Hirtie si articole din acestea, Luna decembrie 2016, Mii EURO, 6670
Arad, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2011, Mii EURO, 453
Arad, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2011, Mii EURO, 584
Arad, IX. Produse din lemn  exclusiv mobilier, Luna martie 2011, Mii EURO, 587
Arad, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2011, Mii EURO, 500
Arad, IX. Produse din lemn  exclusiv mobilier, Luna mai 2011, Mii EURO, 657
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2011, Mii EURO, 633
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2011, Mii EURO, 545
Arad, IX. Produse din lemn  exclusiv mobilier, Luna august 2011, Mii EURO, 492
Arad, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2011, Mii EURO, 575
Arad, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2011, Mii EURO, 649
Arad, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2011, Mii EURO, 774
Arad, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2011, Mii EURO, 382
Arad, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2012, Mii EURO, 471
Arad, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2012, Mii EURO, 598
Arad, IX. Produse din lemn  exclusiv mobilier, Luna martie 2012, Mii EURO, 772
Arad, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2012, Mii EURO, 869
Arad, IX. Produse din lemn  exclusiv mobilier, Luna mai 2012, Mii EURO, 670
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2012, Mii EURO, 644
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2012, Mii EURO, 688
Arad, IX. Produse din lemn  exclusiv mobilier, Luna august 2012, Mii EURO, 647
Arad, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2012, Mii EURO, 761
Arad, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2012, Mii EURO, 765
Arad, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2012, Mii EURO, 523
Arad, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2012, Mii EURO, 609
Arad, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2013, Mii EURO, 632
Arad, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2013, Mii EURO, 707
Arad, IX. Produse din lemn  exclusiv mobilier, Luna martie 2013, Mii EURO, 672
Arad, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2013, Mii EURO, 709
Arad, IX. Produse din lemn  exclusiv mobilier, Luna mai 2013, Mii EURO, 653
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2013, Mii EURO, 607
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2013, Mii EURO, 910
Arad, IX. Produse din lemn  exclusiv mobilier, Luna august 2013, Mii EURO, 709
Arad, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2013, Mii EURO, 867
Arad, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2013, Mii EURO, 1067
Arad, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2013, Mii EURO, 730
Arad, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2013, Mii EURO, 463
Arad, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2014, Mii EURO, 484
Arad, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2014, Mii EURO, 600
Arad, IX. Produse din lemn  exclusiv mobilier, Luna martie 2014, Mii EURO, 801
Arad, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2014, Mii EURO, 739
Arad, IX. Produse din lemn  exclusiv mobilier, Luna mai 2014, Mii EURO, 688
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2014, Mii EURO, 742
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2014, Mii EURO, 787
Arad, IX. Produse din lemn  exclusiv mobilier, Luna august 2014, Mii EURO, 608
Arad, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2014, Mii EURO, 721
Arad, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2014, Mii EURO, 856
Arad, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2014, Mii EURO, 769
Arad, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2014, Mii EURO, 470
Arad, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2015, Mii EURO, 597
Arad, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2015, Mii EURO, 807
Arad, IX. Produse din lemn  exclusiv mobilier, Luna martie 2015, Mii EURO, 907
Arad, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2015, Mii EURO, 719
Arad, IX. Produse din lemn  exclusiv mobilier, Luna mai 2015, Mii EURO, 799
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2015, Mii EURO, 698
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2015, Mii EURO, 904
Arad, IX. Produse din lemn  exclusiv mobilier, Luna august 2015, Mii EURO, 745
Arad, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2015, Mii EURO, 942
Arad, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2015, Mii EURO, 922
Arad, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2015, Mii EURO, 724
Arad, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2015, Mii EURO, 674
Arad, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2016, Mii EURO, 510
Arad, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2016, Mii EURO, 965
Arad, IX. Produse din lemn  exclusiv mobilier, Luna martie 2016, Mii EURO, 862
Arad, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2016, Mii EURO, 972
Arad, IX. Produse din lemn  exclusiv mobilier, Luna mai 2016, Mii EURO, 866
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2016, Mii EURO, 965
Arad, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2016, Mii EURO, 757
Arad, IX. Produse din lemn  exclusiv mobilier, Luna august 2016, Mii EURO, 708
Arad, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2016, Mii EURO, 927
Arad, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2016, Mii EURO, 984
Arad, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2016, Mii EURO, 1037
Arad, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2016, Mii EURO, 720
Arad, X. Hirtie si articole din acestea, Luna ianuarie 2011, Mii EURO, 1380
Arad, X. Hirtie si articole din acestea, Luna februarie 2011, Mii EURO, 1178
Arad, X. Hirtie si articole din acestea, Luna martie 2011, Mii EURO, 2526
Arad, X. Hirtie si articole din acestea, Luna aprilie 2011, Mii EURO, 1313
Arad, X. Hirtie si articole din acestea, Luna mai 2011, Mii EURO, 1527
Arad, X. Hirtie si articole din acestea, Luna iunie 2011, Mii EURO, 1590
Arad, X. Hirtie si articole din acestea, Luna iulie 2011, Mii EURO, 1489
Arad, X. Hirtie si articole din acestea, Luna august 2011, Mii EURO, 1184
Arad, X. Hirtie si articole din acestea, Luna septembrie 2011, Mii EURO, 1415
Arad, X. Hirtie si articole din acestea, Luna octombrie 2011, Mii EURO, 1554
Arad, X. Hirtie si articole din acestea, Luna noiembrie 2011, Mii EURO, 1482
Arad, X. Hirtie si articole din acestea, Luna decembrie 2011, Mii EURO, 1340
Arad, X. Hirtie si articole din acestea, Luna ianuarie 2012, Mii EURO, 1420
Arad, X. Hirtie si articole din acestea, Luna februarie 2012, Mii EURO, 1450
Arad, X. Hirtie si articole din acestea, Luna martie 2012, Mii EURO, 1422
Arad, X. Hirtie si articole din acestea, Luna aprilie 2012, Mii EURO, 1224
Arad, X. Hirtie si articole din acestea, Luna mai 2012, Mii EURO, 1374
Arad, X. Hirtie si articole din acestea, Luna iunie 2012, Mii EURO, 3886
Arad, X. Hirtie si articole din acestea, Luna iulie 2012, Mii EURO, 1771
Arad, X. Hirtie si articole din acestea, Luna august 2012, Mii EURO, 1592
Arad, X. Hirtie si articole din acestea, Luna septembrie 2012, Mii EURO, 1447
Arad, X. Hirtie si articole din acestea, Luna octombrie 2012, Mii EURO, 1963
Arad, X. Hirtie si articole din acestea, Luna noiembrie 2012, Mii EURO, 1713
Arad, X. Hirtie si articole din acestea, Luna decembrie 2012, Mii EURO, 1184
Arad, X. Hirtie si articole din acestea, Luna ianuarie 2013, Mii EURO, 1466
Arad, X. Hirtie si articole din acestea, Luna februarie 2013, Mii EURO, 1982
Arad, X. Hirtie si articole din acestea, Luna martie 2013, Mii EURO, 1700
Arad, X. Hirtie si articole din acestea, Luna aprilie 2013, Mii EURO, 1477
Arad, X. Hirtie si articole din acestea, Luna mai 2013, Mii EURO, 2330
Arad, X. Hirtie si articole din acestea, Luna iunie 2013, Mii EURO, 2742
Arad, X. Hirtie si articole din acestea, Luna iulie 2013, Mii EURO, 3912
Arad, X. Hirtie si articole din acestea, Luna august 2013, Mii EURO, 1209
Arad, X. Hirtie si articole din acestea, Luna septembrie 2013, Mii EURO, 1641
Arad, X. Hirtie si articole din acestea, Luna octombrie 2013, Mii EURO, 1706
